2025-02-10 08:24:16.82 | vgervais | APP_v5.O.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-10 08:24:19.76 | vgervais | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 
2025-02-10 08:24:19.80 | vgervais | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 0,0391 secondes

2025-02-10 08:24:19.83 | vgervais | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-10 08:24:19.87 | vgervais | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 0,0449 secondes

2025-02-10 08:24:19.96 | vgervais | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 0,6348 secondes

2025-02-10 08:24:19.00 | vgervais | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-10 08:24:20.46 | vgervais | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 0,4629 secondes

2025-02-10 08:24:20.50 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,2051 secondes

2025-02-10 08:24:28.63 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-10 08:24:28.68 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0527 secondes

2025-02-10 08:24:33.18 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | aut | 
2025-02-10 08:24:33.22 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0469 secondes

2025-02-10 08:24:33.38 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-10 08:24:33.45 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-10 08:24:33.49 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

2025-02-10 08:24:33.52 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 5 | 
2025-02-10 08:24:33.56 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-10 08:24:33.60 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2227 secondes

2025-02-10 08:24:33.64 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-10 08:24:33.68 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

2025-02-10 08:24:33.72 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | z_Administratif_Autres non chargeables | 
2025-02-10 08:24:33.77 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0645 secondes

2025-02-10 08:24:35.64 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-10 08:24:35.69 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 10-02-2025, 600, 15 | 
2025-02-10 08:24:37.20 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 1,5156 secondes

2025-02-10 08:24:38.03 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-10 08:24:38.07 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 10-02-2025, 600, 15 | 
2025-02-10 08:24:39.90 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 1,8359 secondes

2025-02-10 08:24:45.10 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-10 08:24:45.15 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 2025-02-10, 600, 15 | 
2025-02-10 08:24:45.20 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,0547 secondes

2025-02-10 08:24:45.24 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1484 secondes

2025-02-10 08:24:45.28 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-10 08:24:45.32 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/02-10-2025 | 
2025-02-10 08:24:45.40 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0859 secondes

2025-02-10 08:24:45.45 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/02-10-2025 | 
2025-02-10 08:24:45.49 | vgervais | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-10 08:24:45.53 | vgervais | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-10 08:24:45.57 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-10 08:24:45.69 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1230 secondes

2025-02-10 08:24:45.74 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-10 08:24:45.83 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0898 secondes

2025-02-10 08:24:45.87 | vgervais | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3379 secondes

2025-02-10 08:24:45.91 | vgervais | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-10 08:24:46.03 | vgervais | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1250 secondes

2025-02-10 08:24:46.07 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-10 08:24:46.14 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0762 secondes

2025-02-10 08:24:46.18 | vgervais | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6914 secondes

2025-02-10 08:24:46.24 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/02-10-2025 | 0,8164 secondes

2025-02-10 08:24:46.29 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 1,0195 secondes

2025-02-10 08:27:00.80 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Lecture Mémo Guillaume de Guillaume + Suivis de dossier + Planning + Autre + Rencpntre Tax GPT (présentation0 | 
2025-02-10 08:27:00.86 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0605 secondes

2025-02-10 08:27:03.96 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 1.8 | 
2025-02-10 08:27:04.01 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0508 secondes

2025-02-10 08:27:04.04 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtHeures_Exit | 1,80 | 
2025-02-10 08:27:04.09 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0449 secondes

2025-02-10 08:27:04.99 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 
2025-02-10 08:27:05.03 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 0,0488 secondes

2025-02-10 08:27:05.74 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-10 08:27:05.79 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-10 08:27:05.83 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-10 08:27:05.87 | vgervais | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0449 secondes

2025-02-10 08:27:05.91 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-10 08:27:06.59 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,6855 secondes

2025-02-10 08:27:06.63 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-10 08:27:06.68 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0625 secondes

2025-02-10 08:27:06.72 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/2025-02-10 | 
2025-02-10 08:27:06.80 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0762 secondes

2025-02-10 08:27:06.84 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-10 | 
2025-02-10 08:27:06.88 | vgervais | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-10 08:27:06.91 | vgervais | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-10 08:27:06.96 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-10 08:27:07.09 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1309 secondes

2025-02-10 08:27:07.13 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-10 08:27:07.21 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0898 secondes

2025-02-10 08:27:07.25 | vgervais | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3438 secondes

2025-02-10 08:27:07.29 | vgervais | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-10 08:27:07.41 | vgervais | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1230 secondes

2025-02-10 08:27:07.45 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-10 08:27:07.51 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0645 secondes

2025-02-10 08:27:07.54 | vgervais | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6699 secondes

2025-02-10 08:27:07.61 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-10 | 0,7734 secondes

2025-02-10 08:27:07.64 | vgervais | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 1,8574 secondes

2025-02-10 08:27:07.68 | vgervais | APP_v5.O.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 1,9473 secondes

2025-02-10 08:50:58.71 | User | APP_v5.P.0.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-10 08:50:58.80 | User | APP_v5.P.0.xlsb | Validation d'accès serveur terminée |  | 0,0098 secondes

2025-02-10 08:50:58.85 | User | APP_v5.P.0.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-10 08:50:58.94 | User | APP_v5.P.0.xlsb | modAppli:CreateUserActiveFile |  | 0,0957 secondes

2025-02-10 08:50:58.98 | User | APP_v5.P.0.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-10 08:50:59.04 | User | APP_v5.P.0.xlsb | modAppli:SetupUserDateFormat |  | 0,0566 secondes

2025-02-10 08:50:59.08 | User | APP_v5.P.0.xlsb | modAppli:BackupMasterFile |  | 
2025-02-10 08:50:59.54 | User | APP_v5.P.0.xlsb | modAppli:BackupMasterFile |  | 0,4688 secondes

2025-02-10 08:50:59.59 | User | APP_v5.P.0.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-10 08:50:59.71 | User | APP_v5.P.0.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,1328 secondes

2025-02-10 08:50:59.76 | User | APP_v5.P.0.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-10 08:50:59.82 | User | APP_v5.P.0.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0664 secondes

2025-02-10 08:50:59.89 | User | APP_v5.P.0.xlsb | modAppli:CodeEssentielDepart |  | 0,1465 secondes

2025-02-10 08:51:08.34 | User | APP_v5.P.0.xlsb | modMenu:menuTEC_Click |  | 
2025-02-10 08:51:08.42 | User | APP_v5.P.0.xlsb | modMenu:menuTEC_Click |  | 0,0938 secondes

2025-02-10 08:51:09.91 | User | APP_v5.P.0.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-10 08:51:10.02 | User | APP_v5.P.0.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,1172 secondes

2025-02-10 08:51:10.08 | User | APP_v5.P.0.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-10 08:51:10.14 | User | APP_v5.P.0.xlsb | modImport:Client_List_Import_All |  | 
2025-02-10 08:51:10.79 | User | APP_v5.P.0.xlsb | modImport:ResizeTable |  | 
2025-02-10 08:51:10.85 | User | APP_v5.P.0.xlsb | modImport:ResizeTable |  | 0,0645 secondes

2025-02-10 08:51:10.89 | User | APP_v5.P.0.xlsb | modImport:ApplyFormatting |  | 
2025-02-10 08:51:10.94 | User | APP_v5.P.0.xlsb | modImport:ApplyFormatting |  | 0,0586 secondes

2025-02-10 08:51:11.06 | User | APP_v5.P.0.xlsb | modImport:Client_List_Import_All |  | 0,1699 secondes

2025-02-10 08:51:11.10 | User | APP_v5.P.0.xlsb | modImport:TEC_Import_All |  | 
2025-02-10 08:51:11.74 | User | APP_v5.P.0.xlsb | modImport:TEC_Import_All |  | 0,6406 secondes

2025-02-10 08:51:11.82 | User | APP_v5.P.0.xlsb | ufSaisieHeures:UserForm_Activate |  | 0,7207 secondes

2025-02-10 08:51:13.20 | User | APP_v5.P.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-10 08:51:13.25 | User | APP_v5.P.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0566 secondes

2025-02-10 08:51:18.51 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-10 08:51:18.56 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Complete_Date | 2025-02-07, 600, 15 | 
2025-02-10 08:51:18.60 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Complete_Date |  | 0,0469 secondes

2025-02-10 08:51:18.65 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,0957 secondes

2025-02-10 08:51:18.70 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-10 08:51:18.75 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 4/02-07-2025 | 
2025-02-10 08:51:18.88 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1328 secondes

2025-02-10 08:51:18.94 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 4/02-07-2025 | 
2025-02-10 08:51:18.00 | User | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-10 08:51:19.04 | User | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-10 08:51:19.09 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-10 08:51:19.24 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1660 secondes

2025-02-10 08:51:19.29 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-10 08:51:19.44 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1543 secondes

2025-02-10 08:51:19.49 | User | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,1992 secondes

2025-02-10 08:51:19.53 | User | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-10 08:51:19.72 | User | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1895 secondes

2025-02-10 08:51:19.76 | User | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-10 08:51:19.93 | User | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,1777 secondes

2025-02-10 08:51:19.99 | User | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,2383 secondes

2025-02-10 08:51:20.20 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 4/02-07-2025 | 0,4492 secondes

2025-02-10 08:51:20.25 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,4980 secondes

2025-02-10 08:51:41.11 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-10 08:51:41.17 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Complete_Date | 2025-02-08, 600, 15 | 
2025-02-10 08:51:41.23 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Complete_Date |  | 0,0781 secondes

2025-02-10 08:51:41.29 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1309 secondes

2025-02-10 08:51:41.34 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-10 08:51:41.40 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 4/02-08-2025 | 
2025-02-10 08:51:41.52 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1230 secondes

2025-02-10 08:51:41.56 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 4/02-08-2025 | 
2025-02-10 08:51:41.62 | User | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-10 08:51:41.67 | User | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-10 08:51:41.72 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-10 08:51:41.87 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1602 secondes

2025-02-10 08:51:41.92 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-10 08:51:42.04 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1309 secondes

2025-02-10 08:51:42.09 | User | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,1738 secondes

2025-02-10 08:51:42.13 | User | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-10 08:51:42.26 | User | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1367 secondes

2025-02-10 08:51:42.30 | User | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-10 08:51:42.38 | User | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0840 secondes

2025-02-10 08:51:42.43 | User | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,1309 secondes

2025-02-10 08:51:42.59 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 4/02-08-2025 | 0,2949 secondes

2025-02-10 08:51:42.63 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,3379 secondes

2025-02-10 08:51:49.58 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | A | 
2025-02-10 08:51:49.63 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0566 secondes

2025-02-10 08:51:51.62 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-10 08:51:51.68 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0664 secondes

2025-02-10 08:51:51.73 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | z_Administratif_Autres non chargeables | 
2025-02-10 08:51:51.77 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0508 secondes

2025-02-10 08:52:00.28 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Comptabilité du cabinet 
 | 
2025-02-10 08:52:00.33 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0645 secondes

2025-02-10 08:52:01.89 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .5 | 
2025-02-10 08:52:01.96 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0723 secondes

2025-02-10 08:52:02.01 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit | 0,50 | 
2025-02-10 08:52:02.05 | User | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0547 secondes

2025-02-10 08:52:03.17 | User | APP_v5.P.0.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 
2025-02-10 08:52:03.21 | User | APP_v5.P.0.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 0,0527 secondes

2025-02-10 08:52:03.99 | User | APP_v5.P.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-10 08:52:04.03 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-10 08:52:04.08 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-10 08:52:04.13 | User | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0566 secondes

2025-02-10 08:52:04.20 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-10 08:52:05.11 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,9180 secondes

2025-02-10 08:52:05.16 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-10 08:52:05.28 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,1270 secondes

2025-02-10 08:52:05.32 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 4/2025-02-08 | 
2025-02-10 08:52:05.48 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1621 secondes

2025-02-10 08:52:05.53 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 4/2025-02-08 | 
2025-02-10 08:52:05.61 | User | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-10 08:52:05.65 | User | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-10 08:52:05.70 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-10 08:52:05.86 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1719 secondes

2025-02-10 08:52:05.91 | User | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
