2025-02-07 09:36:45.86 | Guillaume | APP_v5.O.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-07 09:37:01.41 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,2656 secondes

2025-02-07 09:37:01.89 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-07 09:37:02.05 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 07/02/25, 600, 15 | 
2025-02-07 09:37:02.20 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,2422 secondes

2025-02-07 09:37:02.36 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,5664 secondes

2025-02-07 09:37:02.52 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-07 09:37:02.68 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/07/02/25 | 
2025-02-07 09:37:03.43 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,8398 secondes

2025-02-07 09:37:03.59 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 
2025-02-07 09:37:03.88 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-07 09:37:04.02 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-07 09:37:04.18 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-07 09:37:04.57 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,4648 secondes

2025-02-07 09:37:04.70 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-07 09:37:04.98 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,3477 secondes

2025-02-07 09:37:05.13 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 1,1719 secondes

2025-02-07 09:37:05.26 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-07 09:37:07.50 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 2,3086 secondes

2025-02-07 09:37:07.63 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-07 09:37:08.00 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,4414 secondes

2025-02-07 09:37:08.14 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 4,3398 secondes

2025-02-07 09:37:08.38 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 4,8633 secondes

2025-02-07 09:37:08.53 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 6,0859 secondes

2025-02-07 09:37:59.66 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | LOGI | 
2025-02-07 09:37:59.80 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,2070 secondes

2025-02-07 09:38:00.86 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 9299-2593 Québec Inc. [anciennement Informat] [Luc Grenier] Logiciels | 
2025-02-07 09:38:00.98 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,1953 secondes

2025-02-07 09:38:01.12 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 9299-2593 Québec Inc. [anciennement Informat] [Luc Grenier] | 
2025-02-07 09:38:01.25 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,2031 secondes

2025-02-07 09:38:05.95 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 
2025-02-07 09:38:09.84 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-07 09:38:09.99 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,2148 secondes

2025-02-07 09:38:11.61 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-07 09:38:11.75 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 0,1992 secondes

2025-02-07 09:38:12.45 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-07 09:38:12.62 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,2344 secondes

2025-02-07 09:38:12.75 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-07 09:38:12.88 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-07 09:38:14.34 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 
2025-02-07 09:38:14.48 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 0,2070 secondes

2025-02-07 09:38:14.61 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-07 09:38:14.75 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 0,2031 secondes

2025-02-07 09:38:14.93 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 2,1055 secondes

2025-02-07 09:38:15.05 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-07 09:38:17.35 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 2,3633 secondes

2025-02-07 09:38:17.50 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 4,8086 secondes

2025-02-07 09:38:19.47 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-07 09:38:19.61 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,1992 secondes

2025-02-07 09:38:20.15 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-07 09:38:20.29 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 07/02/25, 600, 15 | 
2025-02-07 09:38:20.46 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,2578 secondes

2025-02-07 09:38:20.61 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,5391 secondes

2025-02-07 09:38:20.76 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-07 09:38:20.92 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/07/02/25 | 
2025-02-07 09:38:21.63 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,7930 secondes

2025-02-07 09:38:21.78 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 
2025-02-07 09:38:22.06 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-07 09:38:22.23 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-07 09:38:22.39 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-07 09:38:22.66 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,3516 secondes

2025-02-07 09:38:22.81 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-07 09:38:23.15 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,4336 secondes

2025-02-07 09:38:23.32 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 1,1641 secondes

2025-02-07 09:38:23.46 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-07 09:38:25.46 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 2,0859 secondes

2025-02-07 09:38:25.62 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-07 09:38:25.98 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,4453 secondes

2025-02-07 09:38:26.13 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 4,1523 secondes

2025-02-07 09:38:26.39 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 4,6875 secondes

2025-02-07 09:38:26.53 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 5,8516 secondes

2025-02-07 09:38:34.47 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-07 09:38:34.64 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 0,2617 secondes

2025-02-07 09:38:37.87 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-07 09:38:38.05 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,2539 secondes

2025-02-07 09:38:38.20 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-07 09:38:38.35 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-07 09:38:39.99 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 
2025-02-07 09:38:40.15 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 0,2383 secondes

2025-02-07 09:38:40.30 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-07 09:38:40.45 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 0,2305 secondes

2025-02-07 09:38:40.64 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 2,3633 secondes

2025-02-07 09:38:40.79 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-07 09:38:43.32 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 2,6211 secondes

2025-02-07 09:38:43.49 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 5,3867 secondes

2025-02-07 09:38:46.64 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-07 09:38:46.81 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,2500 secondes

2025-02-07 09:38:47.60 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-07 09:38:47.75 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 07/02/25, 600, 15 | 
2025-02-07 09:38:47.93 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,2734 secondes

2025-02-07 09:38:48.13 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,6211 secondes

2025-02-07 09:38:48.28 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-07 09:38:48.45 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/07/02/25 | 
2025-02-07 09:38:49.11 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,7422 secondes

2025-02-07 09:38:49.26 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 
2025-02-07 09:38:49.52 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-07 09:38:49.67 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-07 09:38:49.83 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-07 09:38:50.09 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,3438 secondes

2025-02-07 09:38:50.25 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-07 09:38:50.52 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,3555 secondes

2025-02-07 09:38:50.67 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 1,0859 secondes

2025-02-07 09:38:50.83 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-07 09:38:52.53 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 1,7773 secondes

2025-02-07 09:38:52.68 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-07 09:38:52.00 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,4023 secondes

2025-02-07 09:38:53.14 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 3,6875 secondes

2025-02-07 09:38:53.37 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 4,1719 secondes

2025-02-07 09:38:53.51 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 5,2930 secondes

2025-02-07 09:39:10.76 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-07 09:39:10.93 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 0,2305 secondes

2025-02-07 09:39:12.91 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-07 09:39:13.05 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,2070 secondes

2025-02-07 09:39:14.16 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-07 09:39:14.32 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 0,2344 secondes

2025-02-07 09:39:15.12 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-07 09:39:15.30 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,2500 secondes

2025-02-07 09:39:15.45 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-07 09:39:15.58 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-07 09:39:16.99 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 
2025-02-07 09:39:17.13 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 15,2617 secondes

2025-02-07 09:39:32.30 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-07 09:39:32.45 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 0,2422 secondes

2025-02-07 09:39:32.66 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 17,1680 secondes

2025-02-07 09:39:32.82 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-07 09:39:35.34 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 2,6016 secondes

2025-02-07 09:39:35.49 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 20,1250 secondes

2025-02-07 09:39:35.67 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-07 09:39:35.83 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,2422 secondes

2025-02-07 09:39:36.02 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-07 09:39:36.17 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 0,2109 secondes

2025-02-07 09:39:36.48 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-07 09:39:36.64 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,2227 secondes

2025-02-07 09:39:38.95 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-07 09:39:39.08 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 0,2031 secondes

2025-02-07 09:39:39.95 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-07 09:39:40.11 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,2344 secondes

2025-02-07 09:39:40.25 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-07 09:39:40.38 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-07 09:39:41.86 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 
2025-02-07 09:39:41.99 | Guillaume | APP_v5.O.3.xlsb | modImport:ResizeTable |  | 0,1992 secondes

2025-02-07 09:39:42.13 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-07 09:39:42.25 | Guillaume | APP_v5.O.3.xlsb | modImport:ApplyFormatting |  | 0,1953 secondes

2025-02-07 09:39:42.45 | Guillaume | APP_v5.O.3.xlsb | modImport:Client_List_Import_All |  | 2,1367 secondes

2025-02-07 09:39:42.58 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-07 09:39:44.93 | Guillaume | APP_v5.O.3.xlsb | modImport:TEC_Import_All |  | 2,4219 secondes

2025-02-07 09:39:45.08 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 4,8984 secondes

2025-02-07 09:39:47.95 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-07 09:39:48.07 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,1992 secondes

2025-02-07 09:39:48.66 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-07 09:39:48.79 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date | 07/02/25, 600, 15 | 
2025-02-07 09:39:48.93 | Guillaume | APP_v5.O.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,2031 secondes

2025-02-07 09:39:49.06 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,4766 secondes

2025-02-07 09:39:49.20 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-07 09:39:49.34 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/07/02/25 | 
2025-02-07 09:39:49.99 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,7109 secondes

2025-02-07 09:39:50.13 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 
2025-02-07 09:39:50.39 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-07 09:39:50.52 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-07 09:39:50.66 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-07 09:39:50.91 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,3242 secondes

2025-02-07 09:39:51.05 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-07 09:39:51.32 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,3398 secondes

2025-02-07 09:39:51.46 | Guillaume | APP_v5.O.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 1,0117 secondes

2025-02-07 09:39:51.59 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-07 09:39:53.23 | Guillaume | APP_v5.O.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 1,7031 secondes

2025-02-07 09:39:53.36 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-07 09:39:53.72 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,4258 secondes

2025-02-07 09:39:53.89 | Guillaume | APP_v5.O.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 3,5938 secondes

2025-02-07 09:39:54.14 | Guillaume | APP_v5.O.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/07/02/25 | 4,1055 secondes

2025-02-07 09:39:54.30 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 5,1875 secondes

2025-02-07 09:40:11.09 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-07 09:40:11.25 | Guillaume | APP_v5.O.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 0,2500 secondes

2025-02-07 09:40:15.03 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-07 09:40:15.18 | Guillaume | APP_v5.O.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,2305 secondes

2025-02-07 09:40:16.11 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-07 09:40:16.26 | Guillaume | APP_v5.O.3.xlsb | modMenu:menuTEC_Click |  | 0,2383 secondes

2025-02-07 09:40:19.86 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-07 09:40:20.04 | Guillaume | APP_v5.O.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,2734 secondes

