2025-02-20 06:25:56.35 | Guillaume | APP_v6.A.1.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-20 06:32:24.64 | Guillaume | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 5,0312 secondes

2025-02-20 06:32:25.62 | Guillaume | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-20 06:32:26.55 | Guillaume | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 1,4648 secondes

2025-02-20 06:32:27.36 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-20 06:32:28.21 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 1,3848 secondes

2025-02-20 06:32:29.01 | Guillaume | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 10,0000 secondes

2025-02-20 06:32:29.83 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/25-02-20 | 11,6309 secondes

2025-02-20 06:32:30.62 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 15,2070 secondes

2025-02-20 06:33:11.99 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client | Acier Altitube Inc. [Philippe Robillard] | 
2025-02-20 06:33:13.02 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 1,5879 secondes

2025-02-20 06:33:13.84 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Acier Altitube Inc. [Philippe Robillard] | 
2025-02-20 06:33:14.68 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 1,3945 secondes

2025-02-20 06:33:28.42 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | courriel pour obtention de numéros de fiducie | 
2025-02-20 06:33:29.31 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 1,4316 secondes

2025-02-20 06:33:32.09 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .5 | 
2025-02-20 06:33:32.94 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 1,3945 secondes

2025-02-20 06:33:33.75 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_Exit | 0,50 | 
2025-02-20 06:33:34.76 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 1,5918 secondes

2025-02-20 06:33:37.49 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-20 06:33:38.31 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-20 06:33:39.21 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client | Acier Altitube Inc. [Philippe Robillard] | 
2025-02-20 06:33:40.07 | Guillaume | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 1,4141 secondes

2025-02-20 06:33:40.88 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-20 06:33:48.37 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 8,0801 secondes

2025-02-20 06:33:49.27 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-20 06:33:50.11 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 1,4277 secondes

2025-02-20 06:33:50.96 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/2025-02-20 | 
2025-02-20 06:33:51.95 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 1,6660 secondes

2025-02-20 06:33:52.95 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-20 | 
2025-02-20 06:33:54.57 | Guillaume | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-20 06:33:55.44 | Guillaume | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-20 06:33:56.25 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-20 06:33:57.23 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 1,6309 secondes

2025-02-20 06:33:58.15 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-20 06:33:59.06 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 1,5488 secondes

2025-02-20 06:33:59.95 | Guillaume | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 5,0488 secondes

2025-02-20 06:34:00.75 | Guillaume | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-20 06:34:01.71 | Guillaume | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 1,4941 secondes

2025-02-20 06:34:02.50 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-20 06:34:03.46 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 1,5605 secondes

2025-02-20 06:34:04.33 | Guillaume | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 10,2891 secondes

2025-02-20 06:34:05.15 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-20 | 12,7344 secondes

2025-02-20 06:34:05.94 | Guillaume | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 28,1797 secondes

2025-02-20 06:34:06.80 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 29,8984 secondes

2025-02-20 06:34:07.69 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-20 06:34:08.59 | Guillaume | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Terminate |  | 1,4785 secondes

2025-02-20 06:34:11.17 | Guillaume | APP_v6.A.1.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-20 06:34:12.13 | Guillaume | APP_v6.A.1.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 1,5059 secondes

2025-02-20 06:34:12.95 | Guillaume | APP_v6.A.1.xlsb | modMenu:SauvegarderEtSortirApplication |  | 
2025-02-20 06:34:14.69 | Guillaume | APP_v6.A.1.xlsb | modMenu:Delete_User_Active_File |  | 
2025-02-20 06:34:16.16 | Guillaume | APP_v6.A.1.xlsb | modMenu:Delete_User_Active_File |  | 2,0078 secondes

2025-02-20 06:34:16.92 | Guillaume | APP_v6.A.1.xlsb | ----- Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) ----- |  | 

2025-02-20 06:34:42.76 | GuillaumeCharron | APP_v6.A.1.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-20 06:34:42.79 | GuillaumeCharron | APP_v6.A.1.xlsb | Validation d'accès serveur terminée |  | 0,0059 secondes

2025-02-20 06:34:42.82 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-20 06:34:42.87 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:CreateUserActiveFile |  | 0,0547 secondes

2025-02-20 06:34:42.89 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-20 06:34:42.92 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:SetupUserDateFormat |  | 0,0352 secondes

2025-02-20 06:34:42.95 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:BackupMasterFile |  | 
2025-02-20 06:34:43.68 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:BackupMasterFile |  | 0,7363 secondes

2025-02-20 06:34:43.70 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-20 06:34:43.75 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0566 secondes

2025-02-20 06:34:43.78 | GuillaumeCharron | APP_v6.A.1.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-20 06:34:43.81 | GuillaumeCharron | APP_v6.A.1.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0312 secondes

2025-02-20 06:34:43.90 | GuillaumeCharron | APP_v6.A.1.xlsb | modAppli:CodeEssentielDepart |  | 1,1484 secondes

2025-02-20 06:34:49.32 | GuillaumeCharron | APP_v6.A.1.xlsb | modMenu:menuTEC_Click |  | 
2025-02-20 06:34:49.38 | GuillaumeCharron | APP_v6.A.1.xlsb | modMenu:menuTEC_Click |  | 0,0664 secondes

2025-02-20 06:34:50.25 | GuillaumeCharron | APP_v6.A.1.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-20 06:34:50.31 | GuillaumeCharron | APP_v6.A.1.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0625 secondes

2025-02-20 06:34:50.36 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-20 06:34:50.38 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:Client_List_Import_All |  | 
2025-02-20 06:34:50.72 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:ResizeTable |  | 
2025-02-20 06:34:50.74 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:ResizeTable |  | 0,0234 secondes

2025-02-20 06:34:50.76 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:ApplyFormatting |  | 
2025-02-20 06:34:50.78 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:ApplyFormatting |  | 0,0195 secondes

2025-02-20 06:34:50.85 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:Client_List_Import_All |  | 0,4668 secondes

2025-02-20 06:34:50.87 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:TEC_Import_All |  | 
2025-02-20 06:34:51.66 | GuillaumeCharron | APP_v6.A.1.xlsb | modImport:TEC_Import_All |  | 0,7988 secondes

2025-02-20 06:34:51.70 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,3379 secondes

2025-02-20 06:34:53.85 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-20 06:34:53.88 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0273 secondes

2025-02-20 06:34:54.53 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-20 06:34:54.55 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date | 20/02/25, 600, 15 | 
2025-02-20 06:34:54.57 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Complete_Date |  | 0,0234 secondes

2025-02-20 06:34:54.60 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,0664 secondes

2025-02-20 06:34:54.62 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-20 06:34:54.65 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/20/02/25 | 
2025-02-20 06:34:54.77 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1230 secondes

2025-02-20 06:34:54.79 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/20/02/25 | 
2025-02-20 06:34:54.83 | GuillaumeCharron | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-20 06:34:54.85 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-20 06:34:54.87 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-20 06:34:55.05 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1797 secondes

2025-02-20 06:34:55.07 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-20 06:34:55.18 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1113 secondes

2025-02-20 06:34:55.21 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3555 secondes

2025-02-20 06:34:55.23 | GuillaumeCharron | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-20 06:34:55.49 | GuillaumeCharron | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,2695 secondes

2025-02-20 06:34:55.52 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-20 06:34:55.57 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-20 06:34:55.60 | GuillaumeCharron | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,7695 secondes

2025-02-20 06:34:55.66 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/20/02/25 | 0,8691 secondes

2025-02-20 06:34:55.68 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 1,0664 secondes

2025-02-20 06:42:37.02 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | assurancia | 
2025-02-20 06:42:37.04 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0312 secondes

2025-02-20 06:42:38.26 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client | Assurancia Inc. [François Hamel] | 
2025-02-20 06:42:38.28 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0254 secondes

2025-02-20 06:42:38.31 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Assurancia Inc. [François Hamel] | 
2025-02-20 06:42:38.33 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0254 secondes

2025-02-20 06:42:57.45 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | courriel sur ouverture des nouveaux comptes de banque | 
2025-02-20 06:42:57.47 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0312 secondes

2025-02-20 06:42:59.49 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .5 | 
2025-02-20 06:42:59.52 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0312 secondes

2025-02-20 06:42:59.55 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_Exit | 0,50 | 
2025-02-20 06:42:59.57 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0234 secondes

2025-02-20 06:43:01.13 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-20 06:43:01.15 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-20 06:43:01.17 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client | Assurancia Inc. [François Hamel] | 
2025-02-20 06:43:01.19 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0234 secondes

2025-02-20 06:43:01.22 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-20 06:43:02.06 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,8496 secondes

2025-02-20 06:43:02.09 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-20 06:43:02.17 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0879 secondes

2025-02-20 06:43:02.19 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/2025-02-20 | 
2025-02-20 06:43:02.31 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1191 secondes

2025-02-20 06:43:02.33 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-20 | 
2025-02-20 06:43:02.38 | GuillaumeCharron | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-20 06:43:02.40 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-20 06:43:02.42 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-20 06:43:02.60 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1855 secondes

2025-02-20 06:43:02.63 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-20 06:43:02.74 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1133 secondes

2025-02-20 06:43:02.76 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3711 secondes

2025-02-20 06:43:02.78 | GuillaumeCharron | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-20 06:43:03.02 | GuillaumeCharron | APP_v6.A.1.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,2383 secondes

2025-02-20 06:43:03.05 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-20 06:43:03.10 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0566 secondes

2025-02-20 06:43:03.13 | GuillaumeCharron | APP_v6.A.1.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,7539 secondes

2025-02-20 06:43:03.21 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-20 | 0,8789 secondes

2025-02-20 06:43:03.23 | GuillaumeCharron | APP_v6.A.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 2,0801 secondes

2025-02-20 06:43:03.25 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 2,1211 secondes

2025-02-20 06:45:46.88 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client | Air Trans Express Inc. [Richard Lavoie] | 
2025-02-20 06:45:46.91 | GuillaumeCharron | APP_v6.A.1.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0312 secondes

2025-02-20 06:45:47.21 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Air Trans Express Inc. [Richard Lavoie] | 
2025-02-20 06:45:47.23 | GuillaumeCharron | APP_v6.A.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0254 secondes

