2025-01-07 12:32:54.68 | Annie | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-07 12:33:58.70 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-07 12:33:58.92 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0.2422 secondes'

2025-01-07 12:33:59.03 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-07 12:33:59.17 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0.1641 secondes'

2025-01-07 12:33:59.25 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1.4648 secondes'

2025-01-07 12:33:59.44 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-07 = '1.7656 secondes'

2025-01-07 12:33:59.51 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate = '2.2227 secondes'

2025-01-07 12:36:02.49 | Annie | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Terminate
2025-01-07 12:36:02.59 | Annie | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Terminate = '0.1172 secondes'

2025-01-07 12:36:04.33 | Annie | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-07 12:36:04.43 | Annie | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0.1094 secondes'

2025-01-07 12:36:04.94 | Annie | APP_v5.J.xlsb | modMenu:SauvegarderEtSortirApplication
2025-01-07 12:36:06.87 | Annie | APP_v5.J.xlsb | modMenu:Delete_User_Active_File
2025-01-07 12:36:07.04 | Annie | APP_v5.J.xlsb | modMenu:Delete_User_Active_File = '0.1875 secondes'

2025-01-07 12:36:07.13 | Annie | APP_v5.J.xlsb | ***** Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) *****

2025-01-07 13:02:16.11 | User | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-07 13:02:16.18 | User | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0,0039 secondes'

2025-01-07 13:02:16.23 | User | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-07 13:02:16.34 | User | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0,1133 secondes'

2025-01-07 13:02:16.39 | User | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-07 13:02:16.45 | User | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,0703 secondes'

2025-01-07 13:02:16.50 | User | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2025-01-07 13:02:16.99 | User | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '0,4961 secondes'

2025-01-07 13:02:17.05 | User | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-07 13:02:17.13 | User | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0,0859 secondes'

2025-01-07 13:02:17.18 | User | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-07 13:02:17.25 | User | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,0742 secondes'

2025-01-07 13:02:17.32 | User | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '1,2305 secondes'

2025-01-07 13:02:17.40 | User | APP_v5.J.xlsb | modMenu:menuTEC_Click
2025-01-07 13:02:17.50 | User | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0,1094 secondes'

2025-01-07 13:02:18.46 | User | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-07 13:02:18.57 | User | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0,1172 secondes'

2025-01-07 13:02:18.63 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-07 13:02:18.67 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-07 13:02:19.25 | User | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-07 13:02:19.30 | User | APP_v5.J.xlsb | modImport:ResizeTable = '0,0625 secondes'

2025-01-07 13:02:19.36 | User | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-07 13:02:19.41 | User | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0625 secondes'

2025-01-07 13:02:19.52 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,8594 secondes'

2025-01-07 13:02:19.57 | User | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-07 13:02:20.18 | User | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,6172 secondes'

2025-01-07 13:02:20.27 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '1,6562 secondes'

2025-01-07 13:02:21.80 | User | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-07 13:02:21.88 | User | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = '0,0977 secondes'

2025-01-07 13:02:30.11 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 13:02:30.16 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(2025-01-07, 600, 15)
2025-01-07 13:02:30.23 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,0703 secondes'

2025-01-07 13:02:30.29 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0,1914 secondes'

2025-01-07 13:02:30.34 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-07 13:02:30.41 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 4/01-07-2025
2025-01-07 13:02:30.59 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0,1875 secondes'

2025-01-07 13:02:30.64 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-07-2025
2025-01-07 13:02:30.70 | User | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-07 13:02:30.76 | User | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-07 13:02:30.80 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-07 13:02:30.99 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1914 secondes'

2025-01-07 13:02:31.04 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-07 13:02:31.27 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,2344 secondes'

2025-01-07 13:02:31.32 | User | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,5664 secondes'

2025-01-07 13:02:31.37 | User | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-07 13:02:31.65 | User | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,2930 secondes'

2025-01-07 13:02:31.71 | User | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-07 13:02:31.81 | User | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,1016 secondes'

2025-01-07 13:02:31.86 | User | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1,1758 secondes'

2025-01-07 13:02:32.14 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-07-2025 = '1,5078 secondes'

2025-01-07 13:02:32.19 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate = '1,8516 secondes'

2025-01-07 13:02:52.96 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 13:02:53.03 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(2025-01-07, 600, 15)
2025-01-07 13:02:53.09 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,0664 secondes'

2025-01-07 13:02:53.16 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0,2031 secondes'

2025-01-07 13:02:53.21 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-07 13:02:53.27 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 4/01-07-2025
2025-01-07 13:02:53.43 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0,1602 secondes'

2025-01-07 13:02:53.47 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-07-2025
2025-01-07 13:02:53.53 | User | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-07 13:02:53.57 | User | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-07 13:02:53.63 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-07 13:02:53.77 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1484 secondes'

2025-01-07 13:02:53.82 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-07 13:02:54.00 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,1953 secondes'

2025-01-07 13:02:54.05 | User | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,4883 secondes'

2025-01-07 13:02:54.10 | User | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-07 13:02:54.34 | User | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,2422 secondes'

2025-01-07 13:02:54.39 | User | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-07 13:02:54.48 | User | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,0977 secondes'

2025-01-07 13:02:54.53 | User | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1,0078 secondes'

2025-01-07 13:02:54.75 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-07-2025 = '1,2891 secondes'

2025-01-07 13:02:54.80 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate = '1,6055 secondes'

2025-01-07 13:03:12.17 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Terminate
2025-01-07 13:03:12.25 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Terminate = '0,1055 secondes'

2025-01-07 13:03:19.68 | User | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-07 13:03:19.74 | User | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,0703 secondes'

2025-01-07 13:03:22.43 | User | APP_v5.J.xlsb | modMenu:SauvegarderEtSortirApplication
2025-01-07 13:03:24.43 | User | APP_v5.J.xlsb | modMenu:Delete_User_Active_File
2025-01-07 13:03:24.64 | User | APP_v5.J.xlsb | modMenu:Delete_User_Active_File = '0,2148 secondes'

2025-01-07 13:03:24.70 | User | APP_v5.J.xlsb | ***** Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) *****

2025-01-07 13:21:58.73 | User | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-07 13:21:58.80 | User | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0,0078 secondes'

2025-01-07 13:21:58.85 | User | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-07 13:21:58.95 | User | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0,1094 secondes'

2025-01-07 13:21:59.00 | User | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-07 13:21:59.06 | User | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,0586 secondes'

2025-01-07 13:21:59.10 | User | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2025-01-07 13:21:59.53 | User | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '0,4336 secondes'

2025-01-07 13:21:59.58 | User | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-07 13:21:59.68 | User | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0,1016 secondes'

2025-01-07 13:21:59.73 | User | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-07 13:21:59.77 | User | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,0547 secondes'

2025-01-07 13:21:59.84 | User | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '1,1250 secondes'

2025-01-07 13:22:03.11 | User | APP_v5.J.xlsb | modMenu:menuTEC_Click
2025-01-07 13:22:03.20 | User | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0,0938 secondes'

2025-01-07 13:22:04.19 | User | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-07 13:22:04.42 | User | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0,2422 secondes'

2025-01-07 13:22:04.49 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-07 13:22:04.54 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-07 13:22:05.02 | User | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-07 13:22:05.08 | User | APP_v5.J.xlsb | modImport:ResizeTable = '0,0703 secondes'

2025-01-07 13:22:05.13 | User | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-07 13:22:05.18 | User | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0586 secondes'

2025-01-07 13:22:05.29 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,7578 secondes'

2025-01-07 13:22:05.34 | User | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-07 13:22:05.95 | User | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,6211 secondes'

2025-01-07 13:22:06.04 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '1,5586 secondes'

2025-01-07 13:22:08.09 | User | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-07 13:22:08.14 | User | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = '0,0625 secondes'

2025-01-07 13:22:51.25 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 13:22:51.32 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(07-01-2025, 600, 15)
2025-01-07 13:22:54.16 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '2,8789 secondes'

2025-01-07 13:23:02.45 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-07 13:23:02.50 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(2025-01-07, 600, 15)
2025-01-07 13:23:02.55 | User | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,0586 secondes'

2025-01-07 13:23:02.62 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0,1797 secondes'

2025-01-07 13:23:02.67 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-07 13:23:02.74 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 4/01-07-2025
2025-01-07 13:23:02.89 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0,1562 secondes'

2025-01-07 13:23:02.94 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-07-2025
2025-01-07 13:23:03.01 | User | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-07 13:23:03.05 | User | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-07 13:23:03.11 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-07 13:23:03.23 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1328 secondes'

2025-01-07 13:23:03.29 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-07 13:23:03.46 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,1875 secondes'

2025-01-07 13:23:03.52 | User | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,4688 secondes'

2025-01-07 13:23:03.57 | User | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-07 13:23:03.72 | User | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,1641 secondes'

2025-01-07 13:23:03.77 | User | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-07 13:23:03.86 | User | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,0938 secondes'

2025-01-07 13:23:03.91 | User | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '0,9062 secondes'

2025-01-07 13:23:04.04 | User | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/01-07-2025 = '1,1055 secondes'

2025-01-07 13:23:04.09 | User | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate = '1,4219 secondes'

2025-01-07 13:25:40.29 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Terminate
2025-01-07 13:25:40.37 | User | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Terminate = '0,0898 secondes'

2025-01-07 13:25:43.22 | User | APP_v5.J.xlsb | modMENU_TEC:TEC_Evaluation_Click
2025-01-07 13:25:43.28 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Activate
2025-01-07 13:25:43.34 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-07 13:25:43.73 | User | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-07 13:25:43.79 | User | APP_v5.J.xlsb | modImport:ResizeTable = '0,0625 secondes'

2025-01-07 13:25:43.84 | User | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-07 13:25:43.89 | User | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0625 secondes'

2025-01-07 13:25:44.00 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,6758 secondes'

2025-01-07 13:25:44.05 | User | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-07 13:25:44.73 | User | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,6875 secondes'

2025-01-07 13:25:44.80 | User | APP_v5.J.xlsb | modDev_Utils:SetTabOrder(wshTEC_Evaluation)
2025-01-07 13:25:44.91 | User | APP_v5.J.xlsb | modDev_Utils:SetTabOrder = '0,1211 secondes'

2025-01-07 13:25:44.98 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change[$D$3]
2025-01-07 13:25:45.03 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change = '0,0547 secondes'

2025-01-07 13:25:45.09 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change[$D$6:$L$28]
2025-01-07 13:25:45.14 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change = '0,0547 secondes'

2025-01-07 13:25:45.21 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Activate = '1,9336 secondes'

2025-01-07 13:25:45.28 | User | APP_v5.J.xlsb | modMENU_TEC:TEC_Evaluation_Click = '2,0820 secondes'

2025-01-07 13:25:54.22 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Activate
2025-01-07 13:25:54.27 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All
2025-01-07 13:25:54.59 | User | APP_v5.J.xlsb | modImport:ResizeTable
2025-01-07 13:25:54.63 | User | APP_v5.J.xlsb | modImport:ResizeTable = '0,0547 secondes'

2025-01-07 13:25:54.68 | User | APP_v5.J.xlsb | modImport:ApplyFormatting
2025-01-07 13:25:54.73 | User | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0547 secondes'

2025-01-07 13:25:54.83 | User | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,5703 secondes'

2025-01-07 13:25:54.88 | User | APP_v5.J.xlsb | modImport:TEC_Import_All
2025-01-07 13:25:55.43 | User | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,5625 secondes'

2025-01-07 13:25:55.48 | User | APP_v5.J.xlsb | modDev_Utils:SetTabOrder(wshTEC_Evaluation)
2025-01-07 13:25:55.56 | User | APP_v5.J.xlsb | modDev_Utils:SetTabOrder = '0,0820 secondes'

2025-01-07 13:25:55.61 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change[$D$3]
2025-01-07 13:25:55.66 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change = '0,0586 secondes'

2025-01-07 13:25:55.73 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change[$D$6:$L$28]
2025-01-07 13:25:55.78 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Change = '0,0586 secondes'

2025-01-07 13:25:55.85 | User | APP_v5.J.xlsb | wshTEC_Evaluation:Worksheet_Activate = '1,6445 secondes'

2025-01-07 13:25:55.97 | User | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-07 13:25:56.06 | User | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,0938 secondes'

2025-01-07 13:25:58.55 | User | APP_v5.J.xlsb | modMenu:SauvegarderEtSortirApplication
2025-01-07 13:26:00.34 | User | APP_v5.J.xlsb | modMenu:Delete_User_Active_File
2025-01-07 13:26:00.47 | User | APP_v5.J.xlsb | modMenu:Delete_User_Active_File = '0,1406 secondes'

