2025-02-13 22:48:25.98 | vgervais | APP_v5.P.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-13 22:48:43.97 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1094 secondes

2025-02-13 22:48:44.00 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 22:48:44.06 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-13 22:48:44.10 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6250 secondes

2025-02-13 22:48:44.20 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/13-02-2025 | 0,7734 secondes

2025-02-13 22:48:44.23 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,9688 secondes

2025-02-13 22:48:51.25 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | les éditi | 
2025-02-13 22:48:51.30 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0547 secondes

2025-02-13 22:48:52.82 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-13 22:48:52.88 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | Les Éditions Reynald Goulet Inc. [Reynald Goulet] | 
2025-02-13 22:48:52.92 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-13 22:48:52.96 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 1768 | 
2025-02-13 22:48:52.99 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 22:48:53.03 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2188 secondes

2025-02-13 22:48:53.07 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | Les Éditions Reynald Goulet Inc. [Reynald Goulet] | 
2025-02-13 22:48:53.11 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-13 22:48:53.15 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Les Éditions Reynald Goulet Inc. [Reynald Goulet] | 
2025-02-13 22:48:53.18 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0391 secondes

2025-02-13 22:49:05.21 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Instuctions à Michel | 
2025-02-13 22:49:05.27 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0625 secondes

2025-02-13 22:49:06.78 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .2 | 
2025-02-13 22:49:06.82 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0469 secondes

2025-02-13 22:49:06.86 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 0,20 | 
2025-02-13 22:49:06.90 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0391 secondes

2025-02-13 22:49:10.95 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,23 | 
2025-02-13 22:49:11.00 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0547 secondes

2025-02-13 22:49:11.04 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 0,23 | 
2025-02-13 22:49:17.25 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,3 | 
2025-02-13 22:49:17.30 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0547 secondes

2025-02-13 22:49:17.34 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 0,30 | 
2025-02-13 22:49:17.38 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0391 secondes

2025-02-13 22:49:18.52 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-13 22:49:18.55 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-13 22:49:18.59 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | Les Éditions Reynald Goulet Inc. [Reynald Goulet] | 
2025-02-13 22:49:18.63 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 22:49:18.66 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-13 22:49:19.32 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,6641 secondes

2025-02-13 22:49:19.36 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-13 22:49:19.43 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0859 secondes

2025-02-13 22:49:19.48 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/2025-02-13 | 
2025-02-13 22:49:19.57 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0938 secondes

2025-02-13 22:49:19.61 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-13 | 
2025-02-13 22:49:19.66 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 22:49:19.70 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 22:49:19.74 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 22:49:19.85 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1172 secondes

2025-02-13 22:49:19.90 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 22:49:19.98 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0938 secondes

2025-02-13 22:49:20.02 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3281 secondes

2025-02-13 22:49:20.06 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-13 22:49:20.17 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1094 secondes

2025-02-13 22:49:20.20 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 22:49:20.25 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0547 secondes

2025-02-13 22:49:20.29 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6406 secondes

2025-02-13 22:49:20.38 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-13 | 0,7734 secondes

2025-02-13 22:49:20.42 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 1,8828 secondes

2025-02-13 22:49:20.48 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 1,9766 secondes

2025-02-13 23:04:01.70 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | canple | 
2025-02-13 23:04:01.74 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0547 secondes

2025-02-13 23:04:01.89 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-13 23:04:01.97 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | Les Industries Canplex Ltée [Marco Stocchero] | 
2025-02-13 23:04:02.01 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-13 23:04:02.05 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 1516 | 
2025-02-13 23:04:02.08 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 23:04:02.13 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2344 secondes

2025-02-13 23:04:02.16 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | Les Industries Canplex Ltée [Marco Stocchero] | 
2025-02-13 23:04:02.20 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-13 23:04:02.24 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Les Industries Canplex Ltée [Marco Stocchero] | 
2025-02-13 23:04:02.27 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0391 secondes

2025-02-13 23:04:12.87 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Répondre courriel de Marie-Claude | 
2025-02-13 23:04:12.91 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0547 secondes

2025-02-13 23:04:14.16 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .3 | 
2025-02-13 23:04:14.20 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0469 secondes

2025-02-13 23:04:14.23 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 0,30 | 
2025-02-13 23:04:14.27 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0391 secondes

2025-02-13 23:04:15.29 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-13 23:04:15.32 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-13 23:04:15.36 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | Les Industries Canplex Ltée [Marco Stocchero] | 
2025-02-13 23:04:15.40 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0391 secondes

2025-02-13 23:04:15.44 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-13 23:04:16.12 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,6797 secondes

2025-02-13 23:04:16.16 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-13 23:04:16.23 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0781 secondes

2025-02-13 23:04:16.27 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/2025-02-13 | 
2025-02-13 23:04:16.36 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0938 secondes

2025-02-13 23:04:16.41 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-13 | 
2025-02-13 23:04:16.46 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 23:04:16.50 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 23:04:16.53 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 23:04:16.66 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1406 secondes

2025-02-13 23:04:16.70 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 23:04:16.79 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0938 secondes

2025-02-13 23:04:16.84 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3516 secondes

2025-02-13 23:04:16.89 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-13 23:04:17.03 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1484 secondes

2025-02-13 23:04:17.07 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 23:04:17.12 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0547 secondes

2025-02-13 23:04:17.16 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6953 secondes

2025-02-13 23:04:17.27 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-13 | 0,8594 secondes

2025-02-13 23:04:17.30 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 1,9844 secondes

2025-02-13 23:04:17.34 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 2,0547 secondes

2025-02-13 23:04:22.77 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-13 23:04:22.82 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Terminate |  | 0,0625 secondes

2025-02-13 23:04:24.80 | vgervais | APP_v5.P.3.xlsb | modMENU_TEC:TEC_Radiation_Click |  | 
2025-02-13 23:04:24.84 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Activate |  | 
2025-02-13 23:04:24.88 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-13 23:04:25.16 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 
2025-02-13 23:04:25.20 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 0,0391 secondes

2025-02-13 23:04:25.24 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-13 23:04:25.28 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 0,0391 secondes

2025-02-13 23:04:25.38 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 0,5000 secondes

2025-02-13 23:04:25.41 | vgervais | APP_v5.P.3.xlsb | modDev_Utils:SetTabOrder | wshTEC_Radiation | 
2025-02-13 23:04:25.47 | vgervais | APP_v5.P.3.xlsb | modDev_Utils:SetTabOrder |  | 0,0625 secondes

2025-02-13 23:04:25.52 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change | $B$6:$B$32 | 
2025-02-13 23:04:25.55 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change |  | 0,0312 secondes

2025-02-13 23:04:25.59 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change | $D$6:$K$32 | 
2025-02-13 23:04:25.62 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change |  | 0,0391 secondes

2025-02-13 23:04:25.66 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Activate |  | 0,8281 secondes

2025-02-13 23:04:25.70 | vgervais | APP_v5.P.3.xlsb | modMENU_TEC:TEC_Radiation_Click |  | 0,9062 secondes

2025-02-13 23:04:27.25 | vgervais | APP_v5.P.3.xlsb | modTEC_Evaluation:TEC_Evaluation_Back_To_TEC_Menu |  | 
2025-02-13 23:04:27.29 | vgervais | APP_v5.P.3.xlsb | modTEC_Evaluation:TEC_Evaluation_Back_To_TEC_Menu |  | 0,0469 secondes

2025-02-13 23:04:28.34 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Activate |  | 
2025-02-13 23:04:28.38 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-13 23:04:28.56 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 
2025-02-13 23:04:28.60 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 0,0469 secondes

2025-02-13 23:04:28.63 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-13 23:04:28.67 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 0,0391 secondes

2025-02-13 23:04:28.77 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 0,3984 secondes

2025-02-13 23:04:28.80 | vgervais | APP_v5.P.3.xlsb | modDev_Utils:SetTabOrder | wshTEC_Radiation | 
2025-02-13 23:04:28.85 | vgervais | APP_v5.P.3.xlsb | modDev_Utils:SetTabOrder |  | 0,0547 secondes

2025-02-13 23:04:28.89 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change | $B$6:$B$32 | 
2025-02-13 23:04:28.92 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change |  | 0,0391 secondes

2025-02-13 23:04:28.98 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change | $D$6:$K$32 | 
2025-02-13 23:04:29.02 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Change |  | 0,0391 secondes

2025-02-13 23:04:29.06 | vgervais | APP_v5.P.3.xlsb | wshTEC_Radiation:Worksheet_Activate |  | 0,7266 secondes

2025-02-13 23:04:29.14 | vgervais | APP_v5.P.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-13 23:04:29.18 | vgervais | APP_v5.P.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,0391 secondes

2025-02-13 23:04:29.93 | vgervais | APP_v5.P.3.xlsb | modMenu:SauvegarderEtSortirApplication |  | 
2025-02-13 23:04:31.24 | vgervais | APP_v5.P.3.xlsb | modMenu:Delete_User_Active_File |  | 
2025-02-13 23:04:31.33 | vgervais | APP_v5.P.3.xlsb | modMenu:Delete_User_Active_File |  | 0,0938 secondes

2025-02-13 23:04:31.37 | vgervais | APP_v5.P.3.xlsb | ----- Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) ----- |  | 

2025-02-14 05:11:28.98 | GuillaumeCharron | APP_v5.P.4.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-14 05:11:29.01 | GuillaumeCharron | APP_v5.P.4.xlsb | Validation d'accès serveur terminée |  | 0,0039 secondes

2025-02-14 05:11:29.03 | GuillaumeCharron | APP_v5.P.4.xlsb | modAppli:CreateUserActiveFile |  | 
