2024-12-04 04:18:14.10 | GuillaumeCharron | APP_v5.F.3.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-04 04:23:43.67 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Détails_Import_All
2024-12-04 04:23:43.86 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Détails_Import_All = 0,1895 sec.

2024-12-04 04:23:43.87 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Entête_Import_All
2024-12-04 04:23:44.05 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Entête_Import_All = 0,1738 sec.

2024-12-04 04:23:44.06 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Détails_Import_All
2024-12-04 04:23:44.20 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Détails_Import_All = 0,1406 sec.

2024-12-04 04:23:44.22 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Entête_Import_All
2024-12-04 04:23:44.34 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Entête_Import_All = 0,1230 sec.

2024-12-04 04:23:44.36 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_Trans_Import_All
2024-12-04 04:23:44.59 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_Trans_Import_All = 0,2324 sec.

2024-12-04 04:23:49.05 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Back_To_FAC_Menu
2024-12-04 04:23:49.07 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-04 04:23:49.14 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Clear_Cells = 0,0723 sec.

2024-12-04 04:23:49.17 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Back_To_FAC_Menu = 0,1240 sec.

2024-12-04 04:23:50.30 | GuillaumeCharron | APP_v5.F.3.xlsb | wshENC_Saisie:Worksheet_Activate
2024-12-04 04:23:50.33 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All
2024-12-04 04:23:50.56 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All = 0,2295 sec.

2024-12-04 04:23:50.58 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Comptes_Clients_Import_All
2024-12-04 04:23:50.73 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Comptes_Clients_Import_All = 0,1543 sec.

2024-12-04 04:23:50.75 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Détails_Import_All
2024-12-04 04:23:50.93 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Détails_Import_All = 0,1865 sec.

2024-12-04 04:23:50.95 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Entête_Import_All
2024-12-04 04:23:51.11 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:FAC_Entête_Import_All = 0,1562 sec.

2024-12-04 04:23:51.13 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Détails_Import_All
2024-12-04 04:23:51.26 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Détails_Import_All = 0,1367 sec.

2024-12-04 04:23:51.28 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Entête_Import_All
2024-12-04 04:23:51.40 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:ENC_Entête_Import_All = 0,1250 sec.

2024-12-04 04:23:51.42 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_Trans_Import_All
2024-12-04 04:23:51.65 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_Trans_Import_All = 0,2363 sec.

2024-12-04 04:23:51.70 | GuillaumeCharron | APP_v5.F.3.xlsb | modDev_Utils:SetTabOrder(wshENC_Saisie)
2024-12-04 04:23:51.72 | GuillaumeCharron | APP_v5.F.3.xlsb | modDev_Utils:SetTabOrder = 0,0283 sec.

2024-12-04 04:23:51.74 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-04 04:23:51.77 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = 0,0322 sec.

2024-12-04 04:23:51.79 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(04/12/24, 30, 0)
2024-12-04 04:23:51.81 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0195 sec.

2024-12-04 04:23:51.83 | GuillaumeCharron | APP_v5.F.3.xlsb | wshDEB_Saisie:Worksheet_Activate = 1,5381 sec.

2024-12-04 04:23:56.71 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - MPA Société de comptables Professionnels agréés Inc. [Alain Girard]
2024-12-04 04:23:56.75 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1085 = 0,0381 sec.

2024-12-04 04:23:56.77 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-04 04:23:56.79 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = 0,0244 sec.

2024-12-04 04:23:56.81 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Get_OS_Invoices
2024-12-04 04:23:56.84 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Get_OS_Invoices_With_AF
2024-12-04 04:23:56.89 | GuillaumeCharron | APP_v5.F.3.xlsb | modFAC_Enc:ENC_Get_OS_Invoices_With_AF = 0,0508 sec.

2024-12-04 04:23:56.92 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_Check_Boxes
2024-12-04 04:23:56.97 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_Check_Boxes = 0,0488 sec.

2024-12-04 04:23:56.99 | GuillaumeCharron | APP_v5.F.3.xlsb | modFAC_Enc:ENC_Load_OS_Invoices = 0,1826 sec.

2024-12-04 04:24:00.71 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(03/12, 30, 0)
2024-12-04 04:24:00.74 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0244 sec.

2024-12-04 04:24:12.82 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:MAJ_Encaissement
2024-12-04 04:24:12.84 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_DB_Entete
2024-12-04 04:24:13.05 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_DB_Entete = 0,2061 sec.

2024-12-04 04:24:13.07 | GuillaumeCharron | APP_v5.F.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally
2024-12-04 04:24:13.13 | GuillaumeCharron | APP_v5.F.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally = 0,0615 sec.

2024-12-04 04:24:13.15 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_DB_Details
2024-12-04 04:24:13.34 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_DB_Details = 0,1973 sec.

2024-12-04 04:24:13.36 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_Locally_Details
2024-12-04 04:24:13.41 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_Locally_Details = 0,0449 sec.

2024-12-04 04:24:13.43 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_DB_Details
2024-12-04 04:24:13.61 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_DB_Details = 0,1836 sec.

2024-12-04 04:24:13.63 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_Locally_Details
2024-12-04 04:24:13.66 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Add_Locally_Details = 0,0361 sec.

2024-12-04 04:24:13.68 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_GL_Posting_DB
2024-12-04 04:24:13.93 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_GL_Posting_DB = 0,2451 sec.

2024-12-04 04:24:13.95 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_GL_Posting_Locally
2024-12-04 04:24:14.05 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_GL_Posting_Locally = 0,1055 sec.

2024-12-04 04:24:15.48 | GuillaumeCharron | APP_v5.F.3.xlsb | modEnc_Saisie:Encaissement_Add_New
2024-12-04 04:24:15.50 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-04 04:24:15.55 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-04 04:24:15.58 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = 0,0312 sec.

2024-12-04 04:24:15.60 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(, 30, 0)
2024-12-04 04:24:15.62 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0205 sec.

2024-12-04 04:24:15.67 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Clear_Cells = 0,1709 sec.

2024-12-04 04:24:15.69 | GuillaumeCharron | APP_v5.F.3.xlsb | modEnc_Saisie:Encaissement_Add_New = 0,2119 sec.

2024-12-04 04:24:15.71 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:MAJ_Encaissement = 2,8975 sec.

2024-12-04 04:24:16.44 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Back_To_FAC_Menu
2024-12-04 04:24:16.46 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-04 04:24:16.53 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Clear_Cells = 0,0693 sec.

2024-12-04 04:24:16.55 | GuillaumeCharron | APP_v5.F.3.xlsb | modENC_Saisie:ENC_Back_To_FAC_Menu = 0,1201 sec.

2024-12-04 04:24:22.95 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-04 04:24:22.99 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0391 sec.

2024-12-04 04:29:27.44 | GuillaumeCharron | APP_v5.F.3.xlsb | wshGL_EJ:Worksheet_Activate
2024-12-04 04:29:27.47 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_Trans_Import_All
2024-12-04 04:29:30.58 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_Trans_Import_All = 3,1172 sec.

2024-12-04 04:29:30.61 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_EJ_Recurrente_Import_All
2024-12-04 04:29:30.89 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary
2024-12-04 04:29:32.56 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary = 1,6748 sec.

2024-12-04 04:29:32.65 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:GL_EJ_Recurrente_Import_All = 2,0410 sec.

2024-12-04 04:29:32.89 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-04 04:29:33.35 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = 0,4639 sec.

2024-12-04 04:29:33.37 | GuillaumeCharron | APP_v5.F.3.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ)
2024-12-04 04:29:33.41 | GuillaumeCharron | APP_v5.F.3.xlsb | modDev_Utils:SetTabOrder = 0,0488 sec.

2024-12-04 04:29:33.43 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-04 04:29:33.90 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = 0,4727 sec.

2024-12-04 04:29:34.26 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(04/12/24, 999, 15)
2024-12-04 04:29:34.28 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0225 sec.

2024-12-04 04:29:34.41 | GuillaumeCharron | APP_v5.F.3.xlsb | wshGL_EJ:Worksheet_Activate = 6,9648 sec.

2024-12-04 04:29:50.14 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Carte de crédit
2024-12-04 04:29:50.17 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 2010
2024-12-04 04:29:50.18 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0430 sec.

2024-12-04 04:29:55.91 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais de communications
2024-12-04 04:29:55.94 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5070
2024-12-04 04:29:55.96 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0430 sec.

2024-12-04 04:29:58.17 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Update
2024-12-04 04:29:58.20 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB
2024-12-04 04:29:58.57 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB = 0,3779 sec.

2024-12-04 04:29:58.59 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally
2024-12-04 04:30:04.49 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally = 5,9004 sec.

2024-12-04 04:30:04.62 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-04 04:30:05.11 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = 0,4922 sec.

2024-12-04 04:30:06.69 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Update = 8,5234 sec.

2024-12-04 04:30:23.01 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(01/12, 999, 15)
2024-12-04 04:30:23.04 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0225 sec.

2024-12-04 04:30:32.46 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Matériel informatique
2024-12-04 04:30:32.48 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1310
2024-12-04 04:30:32.50 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0449 sec.

2024-12-04 04:30:35.93 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais informatiques & Site web
2024-12-04 04:30:35.96 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5050
2024-12-04 04:30:35.98 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0479 sec.

2024-12-04 04:30:44.03 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Carte de crédit
2024-12-04 04:30:44.05 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 2010
2024-12-04 04:30:44.08 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0469 sec.

2024-12-04 04:30:49.71 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Update
2024-12-04 04:30:49.74 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB
2024-12-04 04:30:50.08 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB = 0,3369 sec.

2024-12-04 04:30:50.10 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally
2024-12-04 04:30:55.54 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally = 5,4443 sec.

2024-12-04 04:30:55.68 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-04 04:30:56.10 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = 0,4209 sec.

2024-12-04 04:30:57.78 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Update = 8,0664 sec.

2024-12-04 04:31:07.19 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(04/12, 999, 15)
2024-12-04 04:31:07.21 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0293 sec.

2024-12-04 04:31:15.80 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Carte de crédit
2024-12-04 04:31:15.83 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 2010
2024-12-04 04:31:15.85 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0508 sec.

2024-12-04 04:31:21.25 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Encaisse
2024-12-04 04:31:21.28 | GuillaumeCharron | APP_v5.F.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1000
2024-12-04 04:31:21.30 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,0537 sec.

2024-12-04 04:31:23.74 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Update
2024-12-04 04:31:23.76 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB
2024-12-04 04:31:24.10 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB = 0,3340 sec.

2024-12-04 04:31:24.12 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally
2024-12-04 04:31:29.53 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally = 5,4141 sec.

2024-12-04 04:31:29.67 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells
2024-12-04 04:31:30.10 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Clear_All_Cells = 0,4316 sec.

2024-12-04 04:31:31.65 | GuillaumeCharron | APP_v5.F.3.xlsb | modGL_EJ:GL_EJ_Update = 7,9180 sec.

2024-12-04 04:33:43.21 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-04 04:33:43.25 | GuillaumeCharron | APP_v5.F.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0430 sec.

2024-12-04 05:23:42.60 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-04 05:23:42.63 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All
2024-12-04 05:23:42.90 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:Client_List_Import_All = 0,2754 sec.

2024-12-04 05:23:42.93 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:TEC_Import_All
2024-12-04 05:23:43.37 | GuillaumeCharron | APP_v5.F.3.xlsb | modImport:TEC_Import_All = 0,4453 sec.

2024-12-04 05:23:43.40 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:UserForm_Activate = 0,8047 sec.

2024-12-04 05:23:44.39 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-04 05:23:44.41 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0254 sec.

2024-12-04 05:23:44.76 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-04 05:23:44.78 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date(04/12/24, 90, 15)
2024-12-04 05:23:44.80 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_Complete_Date = 0,0215 sec.

2024-12-04 05:23:44.83 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,0703 sec.

2024-12-04 05:23:44.85 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-04 05:23:44.87 | GuillaumeCharron | APP_v5.F.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/04/12/24
2024-12-04 05:23:44.96 | GuillaumeCharron | APP_v5.F.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,0918 sec.

2024-12-04 05:23:44.99 | GuillaumeCharron | APP_v5.F.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/04/12/24
2024-12-04 05:23:45.01 | GuillaumeCharron | APP_v5.F.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-04 05:23:45.03 | GuillaumeCharron | APP_v5.F.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,0234 sec.

2024-12-04 05:23:45.08 | GuillaumeCharron | APP_v5.F.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/04/12/24 = 0,0977 sec.

2024-12-04 05:23:45.11 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 0,2656 sec.

2024-12-04 05:23:48.11 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Acier Altitube Inc. [Philippe Robillard]]
2024-12-04 05:23:48.13 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Acier Altitube Inc. [Philippe Robillard]
2024-12-04 05:23:48.15 | GuillaumeCharron | APP_v5.F.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1350 = 0,0215 sec.

2024-12-04 05:23:48.17 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,0684 sec.

2024-12-04 05:24:02.95 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[avancer memo et organigramme]
2024-12-04 05:24:02.97 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = 0,0254 sec.

2024-12-04 05:24:07.04 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[1.5]
2024-12-04 05:24:07.06 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,0254 sec.

2024-12-04 05:24:07.08 | GuillaumeCharron | APP_v5.F.3.xlsb | ufSaisieHeures:txtHeures_Exit[1,50]
