2024-10-04 05:43:54.4600 | Guillaume | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '' | type = Empty | 31
2024-10-04 07:43:19.8900 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '2024-10-03' | type = String | 31
2024-10-04 07:43:19.9200 | vgervais | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-10-03' | type = Date | 31
2024-10-04 07:43:19.9500 | vgervais | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:20.0100 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:20.0400 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:33.4800 | vgervais | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:33.5400 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:33.5700 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:52.2400 | vgervais | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:52.3000 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:43:52.3200 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:26.1400 | vgervais | @0137 | ufSaisieHeures | cmbProfessionnel_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:26.2000 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:26.2300 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:37.2300 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:46:37.6000 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:46:40.2200 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:40.2500 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:55.5900 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:46:55.9600 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:46:56.9700 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:46:57.0000 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:47:05.1200 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:47:05.4600 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:47:06.7500 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:47:06.7800 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:47:14.1200 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:47:14.4500 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:47:15.4100 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:47:15.4400 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:47:20.2400 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:47:20.6000 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-03' | type = Date | 31
2024-10-04 07:47:21.6200 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:47:21.6500 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:50:09.7800 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '10-03-2024' | type = String | 31
2024-10-04 07:50:09.8000 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 3 | type = String | 31
2024-10-04 07:50:09.8300 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '03/10/2024' | type = String | 31
2024-10-04 07:50:10.0700 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-03-10' | type = Date | 31
2024-10-04 07:50:10.5000 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-03-10' | type = Date | 31
2024-10-04 07:50:10.6200 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:50:10.6500 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:52:31.2000 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '03/10/2024' | type = String | 31
2024-10-04 07:52:31.2300 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 3, d = 10 | type = String | 31
2024-10-04 07:52:31.2600 | vgervais | @0039 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 3 | type = String | 31
2024-10-04 07:52:31.2800 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '03/10/2024' | type = String | 31
2024-10-04 07:52:31.5000 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-03-10' | type = Date | 31
2024-10-04 07:52:31.9400 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-03-10' | type = Date | 31
2024-10-04 07:52:32.0500 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-03' | type = Date | 31
2024-10-04 07:52:32.0800 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-03' | type = Date | 31
2024-10-04 07:53:29.8500 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '04/10/2024' | type = String | 31
2024-10-04 07:53:29.9100 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-04-10' | type = Date | 31
2024-10-04 07:53:29.9400 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-04-10' | type = Date | 31
2024-10-04 07:53:29.9700 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-04' | Vrai | 31
2024-10-04 07:53:30.0600 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '10/04/2024' | type = String | 31
2024-10-04 07:53:30.0900 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '10/04/2024' | type = String | 31
2024-10-04 07:53:30.1200 | vgervais | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-10-04' | type = Date | 31
2024-10-04 07:53:30.1500 | vgervais | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 07:53:30.2100 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 07:53:30.2400 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 07:54:54.2400 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '10/04/2024' | type = String | 31
2024-10-04 07:54:54.2600 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 4 | type = String | 31
2024-10-04 07:54:54.2900 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '04/10/2024' | type = String | 31
2024-10-04 07:54:54.5300 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-04-10' | type = Date | 31
2024-10-04 07:54:54.9700 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-04-10' | type = Date | 31
2024-10-04 07:54:55.0900 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 07:54:55.1100 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 07:55:04.7900 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 07:55:04.8500 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-04' | type = Date | 31
2024-10-04 07:55:04.8800 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-04' | type = Date | 31
2024-10-04 07:55:04.9100 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-04' | Vrai | 31
2024-10-04 07:55:04.9900 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 07:55:05.0200 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '2024-10-04' | type = String | 31
2024-10-04 07:55:05.0400 | vgervais | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-10-04' | type = Date | 31
2024-10-04 07:55:05.0700 | vgervais | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 07:55:05.1300 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 07:55:05.1600 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 08:05:26.9500 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 08:05:26.9800 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 4 | type = String | 31
2024-10-04 08:05:27.0200 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 08:05:27.2500 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 08:05:27.7000 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 08:05:27.8100 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 08:05:27.8400 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 09:19:49.9100 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 09:19:49.9400 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 4 | type = String | 31
2024-10-04 09:19:49.9700 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 09:19:50.1800 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 09:19:50.6300 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 09:19:50.7500 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 09:19:50.7800 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 09:22:29.7100 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 09:22:29.7500 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 4 | type = String | 31
2024-10-04 09:22:29.7700 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 09:22:29.9800 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 09:22:30.4100 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 09:22:30.5400 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 09:22:30.5700 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 09:22:43.0900 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 09:22:43.4300 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 09:22:43.6000 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 09:22:43.6300 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 10:05:19.3800 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:05:19.7300 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:05:19.8900 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 10:05:19.9200 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 10:05:41.0200 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:05:41.3900 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:05:41.5600 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 10:05:41.5900 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 10:25:55.7500 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 10:25:55.8100 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-04' | type = Date | 31
2024-10-04 10:25:55.8400 | vgervais | @0189 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-04' | type = Date | 31
2024-10-04 10:25:55.8700 | vgervais | @0190 | ufSaisieHeures | txtDate_BeforeUpdate | DateSerial = '2024-10-04' | Vrai | 31
2024-10-04 10:25:55.9600 | vgervais | @0214 | ufSaisieHeures | txtDate_AfterUpdate | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 10:25:55.9900 | vgervais | @0222 | ufSaisieHeures | txtDate_AfterUpdate | dateStr = '2024-10-04' | type = String | 31
2024-10-04 10:25:56.0200 | vgervais | @0224 | ufSaisieHeures | txtDate_AfterUpdate | dateFormated = '2024-10-04' | type = Date | 31
2024-10-04 10:25:56.0600 | vgervais | @0226 | ufSaisieHeures | txtDate_AfterUpdate | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 10:25:56.1200 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 10:25:56.1500 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 10:26:20.5200 | vgervais | @0029 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 10:26:20.5500 | vgervais | @0033 | modTEC_Saisie | TEC_Ajoute_Ligne | ***** - y = 2024, m = 10, d = 4 | type = String | 31
2024-10-04 10:26:20.5800 | vgervais | @0042 | modTEC_Saisie | TEC_Ajoute_Ligne | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 10:26:20.7900 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:26:21.2300 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:26:21.3600 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 10:26:21.3900 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 10:26:34.5500 | vgervais | @0319 | modTEC_Saisie | TEC_Record_Add_Or_Update_To_DB | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:26:34.8700 | vgervais | @0513 | modTEC_Saisie | TEC_Record_Add_Or_Update_Locally | dateValue = '2024-10-04' | type = Date | 31
2024-10-04 10:26:35.0400 | vgervais | @0188 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshAdmin.Range("TEC_Date").value = '2024-10-04' | type = Date | 31
2024-10-04 10:26:35.0700 | vgervais | @0190 | modTEC_Saisie | TEC_Get_All_TEC_AF | wshTEC_Local.Range("S3").value = '2024-10-04' | type = Date | 31
2024-10-04 10:46:10.5600 | vgervais | @0171 | ufSaisieHeures | txtDate_BeforeUpdate | ufSaisieHeures.txtDate.value = '2024-10-04' | type = String | 31
2024-10-04 10:46:10.6200 | vgervais | @0173 | ufSaisieHeures | txtDate_BeforeUpdate | fullDate = '2024-10-04' | type = Date | 31
