2025-02-19 07:51:01.22 | vgervais | APP_v6.A.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-19 07:52:41.61 | vgervais | APP_v6.A.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3223 secondes

2025-02-19 07:52:41.64 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-19 07:52:41.74 | vgervais | APP_v6.A.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,0996 secondes

2025-02-19 07:52:41.77 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-19 07:52:41.83 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0586 secondes

2025-02-19 07:52:41.86 | vgervais | APP_v6.A.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6152 secondes

2025-02-19 07:52:41.94 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/19-02-2025 | 0,7285 secondes

2025-02-19 07:52:41.97 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,9219 secondes

2025-02-19 07:59:41.89 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate | techva | 
2025-02-19 07:59:41.94 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0547 secondes

2025-02-19 07:59:42.09 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-19 07:59:42.15 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | Groupe Coalitech Inc. [Techvac Équipement] Environnement | 
2025-02-19 07:59:42.19 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0371 secondes

2025-02-19 07:59:42.22 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | 1739 | 
2025-02-19 07:59:42.26 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

2025-02-19 07:59:42.30 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2129 secondes

2025-02-19 07:59:42.33 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | Groupe Coalitech Inc. [Techvac Équipement] Environnement | 
2025-02-19 07:59:42.37 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0430 secondes

2025-02-19 07:59:42.42 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Groupe Coalitech Inc. [Techvac Équipement] | 
2025-02-19 07:59:42.46 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0430 secondes

2025-02-19 08:00:00.63 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Recherhce sur divulagation financière capital-actions  | 
2025-02-19 08:00:00.68 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0547 secondes

2025-02-19 08:00:01.73 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .3 | 
2025-02-19 08:00:01.77 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0469 secondes

2025-02-19 08:00:01.81 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_Exit | 0,30 | 
2025-02-19 08:00:01.84 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0391 secondes

2025-02-19 08:00:02.64 | vgervais | APP_v6.A.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-19 08:00:02.68 | vgervais | APP_v6.A.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-19 08:00:02.71 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client | Groupe Coalitech Inc. [Techvac Équipement] | 
2025-02-19 08:00:02.75 | vgervais | APP_v6.A.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0410 secondes

