2024-12-29 08:22:28.04 | Guillaume | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2024-12-29 08:23:03.51 | Guillaume | APP_v5.J.xlsb | modImport:FAC_Comptes_Clients_Import_All = '1,6758 secondes'

2024-12-29 08:23:03.75 | Guillaume | APP_v5.J.xlsb | modImport:FAC_Détails_Import_All
2024-12-29 08:23:05.02 | Guillaume | APP_v5.J.xlsb | modImport:FAC_Détails_Import_All = '1,4004 secondes'

2024-12-29 08:23:05.24 | Guillaume | APP_v5.J.xlsb | modImport:FAC_Entête_Import_All
2024-12-29 08:23:06.42 | Guillaume | APP_v5.J.xlsb | modImport:FAC_Entête_Import_All = '1,3262 secondes'

2024-12-29 08:23:06.64 | Guillaume | APP_v5.J.xlsb | modImport:ENC_Détails_Import_All
2024-12-29 08:23:07.83 | Guillaume | APP_v5.J.xlsb | modImport:ENC_Détails_Import_All = '1,3516 secondes'

2024-12-29 08:23:08.08 | Guillaume | APP_v5.J.xlsb | modImport:ENC_Entête_Import_All
2024-12-29 08:23:09.27 | Guillaume | APP_v5.J.xlsb | modImport:ENC_Entête_Import_All = '1,3477 secondes'

2024-12-29 08:23:09.52 | Guillaume | APP_v5.J.xlsb | modImport:GL_Trans_Import_All
2024-12-29 08:23:10.90 | Guillaume | APP_v5.J.xlsb | modImport:GL_Trans_Import_All = '1,5312 secondes'

2024-12-29 08:23:11.14 | Guillaume | APP_v5.J.xlsb | modDev_Utils:SetTabOrder(wshENC_Saisie)
2024-12-29 08:23:11.43 | Guillaume | APP_v5.J.xlsb | modDev_Utils:SetTabOrder = '0,4453 secondes'

2024-12-29 08:23:11.67 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-29 08:23:11.91 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = '0,3906 secondes'

2024-12-29 08:23:12.17 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(29/12/24, 30, 0)
2024-12-29 08:23:12.41 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,3867 secondes'

2024-12-29 08:23:12.65 | Guillaume | APP_v5.J.xlsb | wshENC_Saisie:Worksheet_Activate = '13,5430 secondes'

2024-12-29 08:24:04.36 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - Maranda Lauzon Inc. [Sandy Maranda]
2024-12-29 08:24:04.73 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1487 = '0,5840 secondes'

2024-12-29 08:24:05.02 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-29 08:24:05.29 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = '0,4375 secondes'

2024-12-29 08:24:05.55 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Get_OS_Invoices
2024-12-29 08:24:05.78 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Get_OS_Invoices_With_AF
2024-12-29 08:24:06.04 | Guillaume | APP_v5.J.xlsb | modFAC_Enc:ENC_Get_OS_Invoices_With_AF = '0,4082 secondes'

2024-12-29 08:24:06.30 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Check_Boxes
2024-12-29 08:24:06.53 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Check_Boxes = '0,3672 secondes'

2024-12-29 08:24:06.75 | Guillaume | APP_v5.J.xlsb | modFAC_Enc:ENC_Load_OS_Invoices = '1,3418 secondes'

2024-12-29 08:24:10.43 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(27/12, 30, 0)
2024-12-29 08:24:10.65 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,3555 secondes'

2024-12-29 08:24:17.04 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:MAJ_Encaissement
2024-12-29 08:24:17.29 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Entete
2024-12-29 08:24:19.30 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Entete = '2,1738 secondes'

2024-12-29 08:24:19.55 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Entete
2024-12-29 08:24:19.81 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Entete = '0,3906 secondes'

2024-12-29 08:24:20.04 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details
2024-12-29 08:24:22.29 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details = '2,3867 secondes'

2024-12-29 08:24:22.52 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details
2024-12-29 08:24:22.76 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details = '0,3848 secondes'

2024-12-29 08:24:22.98 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details
2024-12-29 08:24:24.89 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details = '2,0586 secondes'

2024-12-29 08:24:25.13 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details
2024-12-29 08:24:25.36 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details = '0,3711 secondes'

2024-12-29 08:24:25.58 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_DB
2024-12-29 08:24:27.56 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_DB = '2,1445 secondes'

2024-12-29 08:24:27.80 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_Locally
2024-12-29 08:24:28.10 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_Locally = '0,4609 secondes'

2024-12-29 08:24:29.87 | Guillaume | APP_v5.J.xlsb | modEnc_Saisie:Encaissement_Add_New
2024-12-29 08:24:30.14 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-29 08:24:30.44 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-29 08:24:30.68 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = '0,4043 secondes'

2024-12-29 08:24:30.94 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(, 30, 0)
2024-12-29 08:24:31.19 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,4043 secondes'

2024-12-29 08:24:31.45 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Clear_Cells = '1,4590 secondes'

2024-12-29 08:24:31.69 | Guillaume | APP_v5.J.xlsb | modEnc_Saisie:Encaissement_Add_New = '1,9746 secondes'

2024-12-29 08:24:31.94 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:MAJ_Encaissement = '15,0488 secondes'

2024-12-29 08:25:27.07 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - MLC Finance Inc. [Marc Lamy]
2024-12-29 08:25:27.38 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1671 = '0,4609 secondes'

2024-12-29 08:25:27.61 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-29 08:25:27.88 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = '0,4336 secondes'

2024-12-29 08:25:28.12 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Get_OS_Invoices
2024-12-29 08:25:28.34 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Get_OS_Invoices_With_AF
2024-12-29 08:25:28.59 | Guillaume | APP_v5.J.xlsb | modFAC_Enc:ENC_Get_OS_Invoices_With_AF = '0,3770 secondes'

2024-12-29 08:25:28.82 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Check_Boxes
2024-12-29 08:25:29.06 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Check_Boxes = '0,3828 secondes'

2024-12-29 08:25:29.28 | Guillaume | APP_v5.J.xlsb | modFAC_Enc:ENC_Load_OS_Invoices = '1,2969 secondes'

2024-12-29 08:25:36.53 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(28/12, 30, 0)
2024-12-29 08:25:36.74 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,3555 secondes'

2024-12-29 08:25:43.27 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:MAJ_Encaissement
2024-12-29 08:25:43.52 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Entete
2024-12-29 08:25:45.65 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Entete = '2,2852 secondes'

2024-12-29 08:25:45.89 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Entete
2024-12-29 08:25:46.18 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Entete = '0,4414 secondes'

2024-12-29 08:25:46.42 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details
2024-12-29 08:25:47.00 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details = '1,7344 secondes'

2024-12-29 08:25:48.24 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details
2024-12-29 08:25:48.48 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details = '0,4023 secondes'

2024-12-29 08:25:48.72 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details
2024-12-29 08:25:50.75 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_DB_Details = '2,1680 secondes'

2024-12-29 08:25:50.97 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details
2024-12-29 08:25:51.21 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Add_Locally_Details = '0,3965 secondes'

2024-12-29 08:25:51.45 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_DB
2024-12-29 08:25:53.43 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_DB = '2,1387 secondes'

2024-12-29 08:25:53.67 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_Locally
2024-12-29 08:25:53.99 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_GL_Posting_Locally = '0,4668 secondes'

2024-12-29 08:25:55.37 | Guillaume | APP_v5.J.xlsb | modEnc_Saisie:Encaissement_Add_New
2024-12-29 08:25:55.61 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-29 08:25:55.84 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes
2024-12-29 08:25:56.10 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Remove_Check_Boxes = '0,4023 secondes'

2024-12-29 08:25:56.34 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(, 30, 0)
2024-12-29 08:25:56.56 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,3750 secondes'

2024-12-29 08:25:56.82 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Clear_Cells = '1,3652 secondes'

2024-12-29 08:25:57.07 | Guillaume | APP_v5.J.xlsb | modEnc_Saisie:Encaissement_Add_New = '1,8398 secondes'

2024-12-29 08:25:57.31 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:MAJ_Encaissement = '14,1992 secondes'

2024-12-29 08:25:57.60 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Back_To_GL_Menu
2024-12-29 08:25:57.82 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Clear_Cells
2024-12-29 08:25:58.13 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Clear_Cells = '0,4512 secondes'

2024-12-29 08:25:58.39 | Guillaume | APP_v5.J.xlsb | modENC_Saisie:ENC_Back_To_GL_Menu = '0,9512 secondes'

2024-12-29 08:25:59.73 | Guillaume | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2024-12-29 08:26:00.02 | Guillaume | APP_v5.J.xlsb | modMenu:Hide_All_Worksheets_Except_Menu = '0,4414 secondes'

2024-12-29 08:26:00.51 | Guillaume | APP_v5.J.xlsb | modMenu:SauvegarderEtSortirApplication
2024-12-29 08:26:01.84 | Guillaume | APP_v5.J.xlsb | modMenu:Delete_User_Active_File
2024-12-29 08:26:02.31 | Guillaume | APP_v5.J.xlsb | modMenu:Delete_User_Active_File = '0,6289 secondes'

2024-12-29 08:26:02.56 | Guillaume | APP_v5.J.xlsb | ***** Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) *****

2024-12-29 08:26:14.20 | Guillaume | APP_v5.J.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2024-12-29 08:26:14.48 | Guillaume | APP_v5.J.xlsb | OK - Validation d'accès serveur terminée = '0,1543 secondes'

2024-12-29 08:26:14.71 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-29 08:26:15.18 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Create_User_Active_File = '0,6504 secondes'

2024-12-29 08:26:15.44 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat
2024-12-29 08:26:15.69 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:Setup_UserDateFormat = '0,4062 secondes'

2024-12-29 08:26:15.93 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile
2024-12-29 08:26:17.12 | Guillaume | APP_v5.J.xlsb | ThisWorkbook:BackupMasterFile = '1,3379 secondes'

2024-12-29 08:26:17.35 | Guillaume | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu
2024-12-29 08:26:17.63 | Guillaume | APP_v5.J.xlsb | modAppli:WriteInfoOnMainMenu = '0,4238 secondes'

2024-12-29 08:26:17.86 | Guillaume | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername
2024-12-29 08:26:18.09 | Guillaume | APP_v5.J.xlsb | modMenu:HideDevShapesBasedOnUsername = '0,3848 secondes'

2024-12-29 08:26:18.36 | Guillaume | APP_v5.J.xlsb | modAppli:CodeEssentielDepart = '4,3066 secondes'

2024-12-29 08:26:38.61 | Guillaume | APP_v5.J.xlsb | modMenu:menuTEC_Click
2024-12-29 08:26:38.92 | Guillaume | APP_v5.J.xlsb | modMenu:menuTEC_Click = '0,4668 secondes'

2024-12-29 08:26:40.27 | Guillaume | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click
2024-12-29 08:26:40.55 | Guillaume | APP_v5.J.xlsb | modMENU_TEC:SaisieHeures_Click = '0,4375 secondes'

2024-12-29 08:26:40.81 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-29 08:26:41.03 | Guillaume | APP_v5.J.xlsb | modImport:Client_List_Import_All
2024-12-29 08:26:42.16 | Guillaume | APP_v5.J.xlsb | modImport:ResizeTable
2024-12-29 08:26:42.38 | Guillaume | APP_v5.J.xlsb | modImport:ResizeTable = '0,3496 secondes'

2024-12-29 08:26:42.60 | Guillaume | APP_v5.J.xlsb | modImport:ApplyFormatting
2024-12-29 08:26:42.82 | Guillaume | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,3828 secondes'

2024-12-29 08:26:43.12 | Guillaume | APP_v5.J.xlsb | modImport:Client_List_Import_All = '2,2168 secondes'

2024-12-29 08:26:43.33 | Guillaume | APP_v5.J.xlsb | modImport:TEC_Import_All
2024-12-29 08:26:44.86 | Guillaume | APP_v5.J.xlsb | modImport:TEC_Import_All = '1,6660 secondes'

2024-12-29 08:26:45.11 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '4,4414 secondes'

2024-12-29 08:26:46.41 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-29 08:26:46.65 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = '0,3711 secondes'

2024-12-29 08:26:50.94 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-29 08:26:51.17 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date(26/12, 600, 15)
2024-12-29 08:26:51.39 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_Complete_Date = '0,3594 secondes'

2024-12-29 08:26:51.62 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = '0,8125 secondes'

2024-12-29 08:26:51.83 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-29 08:26:52.07 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/26/12/24
2024-12-29 08:26:52.36 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0,4355 secondes'

2024-12-29 08:26:52.59 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/26/12/24
2024-12-29 08:26:52.86 | Guillaume | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-29 08:26:53.11 | Guillaume | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 08:26:53.34 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 08:26:53.61 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,4102 secondes'

2024-12-29 08:26:53.83 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 08:26:54.20 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,5020 secondes'

2024-12-29 08:26:54.41 | Guillaume | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '1,4434 secondes'

2024-12-29 08:26:54.63 | Guillaume | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-29 08:26:55.09 | Guillaume | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,5918 secondes'

2024-12-29 08:26:55.31 | Guillaume | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2024-12-29 08:26:55.58 | Guillaume | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,4062 secondes'

2024-12-29 08:26:55.79 | Guillaume | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '3,0820 secondes'

2024-12-29 08:26:56.08 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/26/12/24 = '3,6328 secondes'

2024-12-29 08:26:56.30 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate = '4,6133 secondes'

2024-12-29 08:26:59.65 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[air tra]
2024-12-29 08:26:59.89 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - air tra
2024-12-29 08:27:00.12 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1134 = '0,3828 secondes'

2024-12-29 08:27:00.37 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0,8867 secondes'

2024-12-29 08:27:00.64 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Air Trans Express Inc. [Richard Lavoie]]
2024-12-29 08:27:00.88 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - Air Trans Express Inc. [Richard Lavoie]
2024-12-29 08:27:01.12 | Guillaume | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1134 = '0,3926 secondes'

2024-12-29 08:27:01.36 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0,8691 secondes'

2024-12-29 08:27:18.19 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[révision de directives fiduciaires]
2024-12-29 08:27:18.50 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = '0,4414 secondes'

2024-12-29 08:27:20.09 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.75]
2024-12-29 08:27:20.36 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = '0,4258 secondes'

2024-12-29 08:27:20.60 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit[0,75]
2024-12-29 08:27:20.83 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit = '0,3672 secondes'

2024-12-29 08:27:22.91 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click
2024-12-29 08:27:23.15 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2024-12-29 08:27:23.39 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2024-12-29 08:27:25.79 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = '2,5625 secondes'

2024-12-29 08:27:26.05 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2024-12-29 08:27:26.34 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = '0,4531 secondes'

2024-12-29 08:27:26.60 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-12-26
2024-12-29 08:27:26.89 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0,4395 secondes'

2024-12-29 08:27:27.13 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-26
2024-12-29 08:27:27.35 | Guillaume | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-29 08:27:27.62 | Guillaume | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 08:27:27.87 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 08:27:28.18 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,4434 secondes'

2024-12-29 08:27:28.40 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 08:27:28.77 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,4961 secondes'

2024-12-29 08:27:28.97 | Guillaume | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '1,4844 secondes'

2024-12-29 08:27:29.20 | Guillaume | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-29 08:27:29.69 | Guillaume | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,6270 secondes'

2024-12-29 08:27:29.90 | Guillaume | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2024-12-29 08:27:30.18 | Guillaume | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,4238 secondes'

2024-12-29 08:27:30.41 | Guillaume | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '3,2012 secondes'

2024-12-29 08:27:30.68 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-26 = '3,6973 secondes'

2024-12-29 08:27:30.92 | Guillaume | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = '7,9062 secondes'

2024-12-29 08:27:31.15 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click = '8,3906 secondes'

2024-12-29 08:27:57.05 | Guillaume | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[École de conduite P.A.C. Montréal Inc. [Chantal Degorgue]]
