2025-01-09 09:52:45.77 | GuillaumeCharron | APP_v5.L.1.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-09 09:53:44.29 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 2030 *** = '0,0234 secondes'

2025-01-09 09:53:44.32 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0742 secondes'

2025-01-09 09:53:44.84 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate[PS Laporte Inc. [Pierre Laporte]]
2025-01-09 09:53:44.87 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - PS Laporte Inc. [Pierre Laporte]
2025-01-09 09:53:44.89 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1522 *** = '0,0234 secondes'

2025-01-09 09:53:44.91 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0742 secondes'

2025-01-09 09:53:56.82 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[analyse de la situation et planification]
2025-01-09 09:53:56.85 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0352 secondes'

2025-01-09 09:53:57.54 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.4]
2025-01-09 09:53:57.57 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0352 secondes'

2025-01-09 09:53:57.59 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_Exit[0,40]
2025-01-09 09:53:57.62 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0273 secondes'

2025-01-09 09:53:59.18 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-09 09:53:59.21 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-09 09:53:59.24 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-09 09:53:59.61 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,3711 secondes'

2025-01-09 09:53:59.63 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-09 09:53:59.71 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0781 secondes'

2025-01-09 09:53:59.73 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2025-01-09
2025-01-09 09:53:59.82 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,1016 secondes'

2025-01-09 09:53:59.85 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2025-01-09
2025-01-09 09:53:59.89 | GuillaumeCharron | APP_v5.L.1.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-09 09:53:59.91 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-09 09:53:59.93 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-09 09:54:00.07 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1406 secondes'

2025-01-09 09:54:00.10 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-09 09:54:00.28 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1836 secondes'

2025-01-09 09:54:00.30 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3945 secondes'

2025-01-09 09:54:00.32 | GuillaumeCharron | APP_v5.L.1.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-09 09:54:00.56 | GuillaumeCharron | APP_v5.L.1.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2383 secondes'

2025-01-09 09:54:00.58 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:UpdatePivotTables
2025-01-09 09:54:00.64 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:UpdatePivotTables *** = '0,0703 secondes'

2025-01-09 09:54:00.66 | GuillaumeCharron | APP_v5.L.1.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,7852 secondes'

2025-01-09 09:54:00.73 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2025-01-09 *** = '0,9062 secondes'

2025-01-09 09:54:00.78 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne *** = '1,5664 secondes'

2025-01-09 09:54:00.80 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:cmdAdd_Click *** = '1,6172 secondes'

2025-01-09 09:54:24.09 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Entreprise C.P.I. Inc. [Charles Gibouleau]]
2025-01-09 09:54:24.12 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Entreprise C.P.I. Inc. [Charles Gibouleau]
2025-01-09 09:54:24.14 | GuillaumeCharron | APP_v5.L.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1437 *** = '0,0234 secondes'

2025-01-09 09:54:24.16 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0781 secondes'

2025-01-09 09:55:25.96 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[tel avec charles sur différentes questions]
2025-01-09 09:55:25.99 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0273 secondes'

2025-01-09 09:55:43.04 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_Exit[]
2025-01-09 09:55:47.78 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[tel avec Charles sur différentes questions]
2025-01-09 09:55:47.81 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0312 secondes'

2025-01-09 10:09:52.34 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_Exit[]
2025-01-09 10:09:58.98 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.75]
2025-01-09 10:09:59.01 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0352 secondes'

2025-01-09 10:09:59.03 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_Exit[0,75]
2025-01-09 10:09:59.05 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0273 secondes'

2025-01-09 10:10:00.66 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-09 10:10:00.69 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-09 10:10:00.71 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-09 10:10:01.11 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,3945 secondes'

2025-01-09 10:10:01.13 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-09 10:10:01.21 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0781 secondes'

2025-01-09 10:10:01.23 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2025-01-09
2025-01-09 10:10:01.32 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,1016 secondes'

2025-01-09 10:10:01.34 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2025-01-09
2025-01-09 10:10:01.38 | GuillaumeCharron | APP_v5.L.1.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-09 10:10:01.40 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-09 10:10:01.42 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-09 10:10:01.56 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1445 secondes'

2025-01-09 10:10:01.59 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-09 10:10:01.77 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1875 secondes'

2025-01-09 10:10:01.79 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3945 secondes'

2025-01-09 10:10:01.81 | GuillaumeCharron | APP_v5.L.1.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-09 10:10:02.07 | GuillaumeCharron | APP_v5.L.1.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2578 secondes'

2025-01-09 10:10:02.09 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:UpdatePivotTables
2025-01-09 10:10:02.15 | GuillaumeCharron | APP_v5.L.1.xlsb | modAppli:UpdatePivotTables *** = '0,0664 secondes'

2025-01-09 10:10:02.17 | GuillaumeCharron | APP_v5.L.1.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8008 secondes'

2025-01-09 10:10:02.24 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2025-01-09 *** = '0,9023 secondes'

2025-01-09 10:10:02.26 | GuillaumeCharron | APP_v5.L.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne *** = '1,5742 secondes'

2025-01-09 10:10:02.29 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:cmdAdd_Click *** = '1,6211 secondes'

2025-01-09 10:10:04.36 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:UserForm_Terminate
2025-01-09 10:10:04.40 | GuillaumeCharron | APP_v5.L.1.xlsb | ufSaisieHeures:UserForm_Terminate *** = '0,0469 secondes'

2025-01-09 10:10:05.38 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-09 10:10:05.42 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:Hide_All_Worksheets_Except_Menu *** = '0,0430 secondes'

2025-01-09 10:10:06.98 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:menuFacturation_Click
2025-01-09 10:10:07.03 | GuillaumeCharron | APP_v5.L.1.xlsb | modMenu:menuFacturation_Click *** = '0,0508 secondes'

2025-01-09 10:10:07.67 | GuillaumeCharron | APP_v5.L.1.xlsb | wshCAR_Liste_Agée:Worksheet_Activate
2025-01-09 10:10:07.70 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:Client_List_Import_All
2025-01-09 10:10:07.82 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ResizeTable
2025-01-09 10:10:07.84 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ResizeTable *** = '0,0234 secondes'

2025-01-09 10:10:07.86 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ApplyFormatting
2025-01-09 10:10:07.88 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:ApplyFormatting *** = '0,0234 secondes'

2025-01-09 10:10:07.95 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:Client_List_Import_All *** = '0,2617 secondes'

2025-01-09 10:10:07.98 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Entête_Import_All
2025-01-09 10:10:08.17 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Entête_Import_All *** = '0,1953 secondes'

2025-01-09 10:10:08.20 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Comptes_Clients_Import_All
2025-01-09 10:10:08.37 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Comptes_Clients_Import_All *** = '0,1836 secondes'

2025-01-09 10:10:08.42 | GuillaumeCharron | APP_v5.L.1.xlsb | modDev_Utils:SetTabOrder(wshCAR_Liste_Agée)
2025-01-09 10:10:08.48 | GuillaumeCharron | APP_v5.L.1.xlsb | modDev_Utils:SetTabOrder *** = '0,0703 secondes'

2025-01-09 10:10:08.52 | GuillaumeCharron | APP_v5.L.1.xlsb | wshCAR_Liste_Agée:Worksheet_Change
2025-01-09 10:10:08.55 | GuillaumeCharron | APP_v5.L.1.xlsb | wshCAR_Liste_Agée:Worksheet_Change *** = '0,0273 secondes'

2025-01-09 10:10:08.57 | GuillaumeCharron | APP_v5.L.1.xlsb | wshCAR_Liste_Agée:Worksheet_Activate *** = '0,9062 secondes'

2025-01-09 10:10:09.92 | GuillaumeCharron | APP_v5.L.1.xlsb | modCAR_Liste_Agée:CAR_CréerListeÂgée
2025-01-09 10:10:14.61 | GuillaumeCharron | APP_v5.L.1.xlsb | modCAR_Liste_Agée:CAR_CréerListeÂgée *** = '4,6953 secondes'

2025-01-09 10:10:58.12 | GuillaumeCharron | APP_v5.L.1.xlsb | wshMenuFAC:FAC_Confirmation_Click
2025-01-09 10:10:58.16 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Comptes_Clients_Import_All
2025-01-09 10:10:58.36 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Comptes_Clients_Import_All *** = '0,2070 secondes'

2025-01-09 10:10:58.38 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Entête_Import_All
2025-01-09 10:10:58.56 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Entête_Import_All *** = '0,1836 secondes'

2025-01-09 10:10:58.58 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Détails_Import_All
2025-01-09 10:10:58.81 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Détails_Import_All *** = '0,2344 secondes'

2025-01-09 10:10:58.85 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:Worksheet_Activate
2025-01-09 10:10:58.87 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:TEC_Import_All
2025-01-09 10:10:59.16 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:TEC_Import_All *** = '0,2930 secondes'

2025-01-09 10:10:59.18 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Entête_Import_All
2025-01-09 10:10:59.34 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Entête_Import_All *** = '0,1719 secondes'

2025-01-09 10:10:59.37 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Détails_Import_All
2025-01-09 10:10:59.60 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Détails_Import_All *** = '0,2344 secondes'

2025-01-09 10:10:59.62 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Sommaire_Taux_Import_All
2025-01-09 10:10:59.75 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:FAC_Sommaire_Taux_Import_All *** = '0,1406 secondes'

2025-01-09 10:10:59.77 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:GL_Trans_Import_All
2025-01-09 10:11:00.07 | GuillaumeCharron | APP_v5.L.1.xlsb | modImport:GL_Trans_Import_All *** = '0,2969 secondes'

2025-01-09 10:11:00.10 | GuillaumeCharron | APP_v5.L.1.xlsb | modDev_Utils:SetTabOrder(wshFAC_Confirmation)
2025-01-09 10:11:00.14 | GuillaumeCharron | APP_v5.L.1.xlsb | modDev_Utils:SetTabOrder *** = '0,0430 secondes'

2025-01-09 10:11:00.16 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:NettoyerCellulesEtIconesPDF
2025-01-09 10:11:00.20 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer
2025-01-09 10:11:00.22 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer
2025-01-09 10:11:00.27 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer *** = '0,0547 secondes'

2025-01-09 10:11:00.32 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer *** = '0,1328 secondes'

2025-01-09 10:11:00.35 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:NettoyerCellulesEtIconesPDF *** = '0,1914 secondes'

2025-01-09 10:11:00.38 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:Worksheet_Activate *** = '1,5312 secondes'

2025-01-09 10:11:00.40 | GuillaumeCharron | APP_v5.L.1.xlsb | wshMenuFAC:FAC_Confirmation_Click *** = '2,2852 secondes'

2025-01-09 10:11:02.82 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:NettoyerCellulesEtIconesPDF
2025-01-09 10:11:02.85 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer
2025-01-09 10:11:02.88 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer
2025-01-09 10:11:02.93 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer *** = '0,0508 secondes'

2025-01-09 10:11:02.98 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer *** = '0,1328 secondes'

2025-01-09 10:11:03.00 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:NettoyerCellulesEtIconesPDF *** = '0,1914 secondes'

2025-01-09 10:11:03.03 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:TraiterToutesLesFacturesAC
2025-01-09 10:11:03.05 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:TraiterConfirmationFacture(25-24735)
2025-01-09 10:11:03.07 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MAJStatutFactureBD_MASTER(25-24735)
2025-01-09 10:12:06.25 | GuillaumeCharron | APP_v5.L.1.xlsb | wshFAC_Confirmation:NettoyerCellulesEtIconesPDF
2025-01-09 10:12:06.30 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer
2025-01-09 10:12:06.32 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer
2025-01-09 10:12:06.37 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:ObtenirFactureAConfirmer *** = '0,0469 secondes'

2025-01-09 10:12:06.42 | GuillaumeCharron | APP_v5.L.1.xlsb | modFAC_Confirmation:MontrerFacturesAConfirmer *** = '0,1289 secondes'

