2024-12-06 06:08:21.24 | Guillaume | APP_v5.G.3.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-06 06:09:40.54 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = 2,4922 sec.

2024-12-06 06:09:40.79 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2024-12-06 06:09:41.05 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = 0,4082 sec.

2024-12-06 06:09:41.28 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-12-06
2024-12-06 06:09:41.57 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,4355 sec.

2024-12-06 06:09:41.80 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-06
2024-12-06 06:09:42.04 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-06 06:09:42.27 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,3828 sec.

2024-12-06 06:09:42.54 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-06 = 0,8828 sec.

2024-12-06 06:09:42.77 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = 4,9180 sec.

2024-12-06 06:09:42.99 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdAdd_Click = 5,3652 sec.

2024-12-06 06:10:44.78 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-06 06:10:45.06 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate = 0,4141 sec.

2024-12-06 06:10:46.54 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-06 06:10:46.77 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,3750 sec.

2024-12-06 06:10:50.25 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All
2024-12-06 06:10:51.33 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All = 1,2129 sec.

2024-12-06 06:10:51.58 | Guillaume | APP_v5.G.3.xlsb | wshDEB_Saisie:Worksheet_Activate
2024-12-06 06:10:51.82 | Guillaume | APP_v5.G.3.xlsb | modImport:DEB_Trans_Import_All
2024-12-06 06:10:53.08 | Guillaume | APP_v5.G.3.xlsb | modImport:DEB_Trans_Import_All = 1,4023 sec.

2024-12-06 06:10:53.30 | Guillaume | APP_v5.G.3.xlsb | modImport:GL_Trans_Import_All
2024-12-06 06:10:54.64 | Guillaume | APP_v5.G.3.xlsb | modImport:GL_Trans_Import_All = 1,4805 sec.

2024-12-06 06:10:54.87 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All
2024-12-06 06:10:55.79 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All = 1,0664 sec.

2024-12-06 06:10:56.03 | Guillaume | APP_v5.G.3.xlsb | modDev_Utils:SetTabOrder(wshDEB_Saisie)
2024-12-06 06:10:56.26 | Guillaume | APP_v5.G.3.xlsb | modDev_Utils:SetTabOrder = 0,3906 sec.

2024-12-06 06:10:56.50 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells
2024-12-06 06:10:56.76 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells = 0,4004 sec.

2024-12-06 06:10:56.99 | Guillaume | APP_v5.G.3.xlsb | wshDEB_Saisie:Worksheet_Activate = 5,5547 sec.

2024-12-06 06:11:12.88 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(04/12, 30, 15)
2024-12-06 06:11:13.16 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date = 0,4258 sec.

2024-12-06 06:11:31.76 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais informatiques & Site web
2024-12-06 06:11:32.03 | Guillaume | APP_v5.G.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5050
2024-12-06 06:11:32.26 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,6523 sec.

2024-12-06 06:11:35.35 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Update
2024-12-06 06:11:35.58 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Fourn_Name - Amazon.com.ca
2024-12-06 06:11:35.80 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Fourn_Name - 2 = 0,3633 sec.

2024-12-06 06:11:36.04 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB
2024-12-06 06:11:38.04 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB = 2,1602 sec.

2024-12-06 06:11:38.32 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally
2024-12-06 06:11:38.63 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally = 0,4551 sec.

2024-12-06 06:11:38.86 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation
2024-12-06 06:11:39.10 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_To_DB
2024-12-06 06:11:41.02 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_To_DB = 2,0781 sec.

2024-12-06 06:11:41.26 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_Locally
2024-12-06 06:11:41.62 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_Locally = 0,5020 sec.

2024-12-06 06:11:41.85 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation = 3,1504 sec.

2024-12-06 06:11:43.68 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells
2024-12-06 06:11:43.90 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells = 0,3691 sec.

2024-12-06 06:11:44.16 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Update = 8,9551 sec.

2024-12-06 06:13:59.90 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-06 06:14:00.19 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,4414 sec.

2024-12-06 06:14:02.97 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-06 06:14:03.19 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All
2024-12-06 06:14:04.41 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All = 1,3613 sec.

2024-12-06 06:14:04.64 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All
2024-12-06 06:14:06.25 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All = 1,7578 sec.

2024-12-06 06:14:06.49 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate = 3,6680 sec.

2024-12-06 06:14:08.67 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-06 06:14:08.93 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,4023 sec.

2024-12-06 06:14:09.60 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-06 06:14:09.84 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(06/12/24, 90, 15)
2024-12-06 06:14:10.07 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date = 0,3789 sec.

2024-12-06 06:14:10.30 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,8379 sec.

2024-12-06 06:14:10.53 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-06 06:14:10.76 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/06/12/24
2024-12-06 06:14:11.06 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,4434 sec.

2024-12-06 06:14:11.29 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/06/12/24
2024-12-06 06:14:11.51 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-06 06:14:11.73 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,3711 sec.

2024-12-06 06:14:12.01 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/06/12/24 = 0,8691 sec.

2024-12-06 06:14:12.24 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 1,8672 sec.

2024-12-06 06:14:13.41 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:lsbHresJour_dblClick[0]
2024-12-06 06:14:13.63 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-06 06:14:13.88 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 2851
2024-12-06 06:14:14.11 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,6367 sec.

2024-12-06 06:14:14.42 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:lsbHresJour_dblClick[2852] = 1,1465 sec.

2024-12-06 06:14:15.33 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]]
2024-12-06 06:14:15.59 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]
2024-12-06 06:14:15.86 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1675 = 0,4121 sec.

2024-12-06 06:14:16.09 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,9043 sec.

2024-12-06 06:14:17.71 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0,50]
2024-12-06 06:14:17.94 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,3750 sec.

2024-12-06 06:14:18.17 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,50]
2024-12-06 06:14:18.39 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit = 0,3672 sec.

2024-12-06 06:14:19.58 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdUpdate_Click[2852]
2024-12-06 06:14:19.82 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2024-12-06 06:14:20.05 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]
2024-12-06 06:14:20.29 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1675 = 0,3711 sec.

2024-12-06 06:14:20.51 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(2852)
2024-12-06 06:14:22.55 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 2852 = 2,2070 sec.

2024-12-06 06:14:22.80 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(2852)
2024-12-06 06:14:23.03 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-06 06:14:23.27 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 2851
2024-12-06 06:14:23.50 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,6191 sec.

2024-12-06 06:14:23.77 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 2852 = 1,1152 sec.

2024-12-06 06:14:24.00 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/06/12/2024
2024-12-06 06:14:24.30 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,4336 sec.

2024-12-06 06:14:24.52 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/06/12/2024
2024-12-06 06:14:24.75 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-06 06:14:24.99 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,4004 sec.

2024-12-06 06:14:25.29 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/06/12/2024 = 0,9062 sec.

2024-12-06 06:14:25.50 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Modifie_Ligne = 5,8203 sec.

2024-12-06 06:14:25.72 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdUpdate_Click = 6,2910 sec.

2024-12-06 06:14:43.01 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-06 06:14:43.30 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate = 0,4316 sec.

2024-12-06 06:14:44.81 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-06 06:14:45.08 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,4121 sec.

2024-12-06 06:14:47.25 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All
2024-12-06 06:14:48.38 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All = 1,2734 sec.

2024-12-06 06:14:48.64 | Guillaume | APP_v5.G.3.xlsb | wshDEB_Saisie:Worksheet_Activate
2024-12-06 06:14:48.87 | Guillaume | APP_v5.G.3.xlsb | modImport:DEB_Trans_Import_All
2024-12-06 06:14:50.18 | Guillaume | APP_v5.G.3.xlsb | modImport:DEB_Trans_Import_All = 1,4570 sec.

2024-12-06 06:14:50.41 | Guillaume | APP_v5.G.3.xlsb | modImport:GL_Trans_Import_All
2024-12-06 06:14:51.81 | Guillaume | APP_v5.G.3.xlsb | modImport:GL_Trans_Import_All = 1,5469 sec.

2024-12-06 06:14:52.04 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All
2024-12-06 06:14:52.94 | Guillaume | APP_v5.G.3.xlsb | modImport:Fournisseur_List_Import_All = 1,0430 sec.

2024-12-06 06:14:53.22 | Guillaume | APP_v5.G.3.xlsb | modDev_Utils:SetTabOrder(wshDEB_Saisie)
2024-12-06 06:14:53.52 | Guillaume | APP_v5.G.3.xlsb | modDev_Utils:SetTabOrder = 0,4570 sec.

2024-12-06 06:14:53.76 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells
2024-12-06 06:14:54.02 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells = 0,4180 sec.

2024-12-06 06:14:54.27 | Guillaume | APP_v5.G.3.xlsb | wshDEB_Saisie:Worksheet_Activate = 5,7812 sec.

2024-12-06 06:16:17.80 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais de communications
2024-12-06 06:16:18.07 | Guillaume | APP_v5.G.3.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5070
2024-12-06 06:16:18.31 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description = 0,6680 sec.

2024-12-06 06:16:21.38 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Update
2024-12-06 06:16:21.63 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Fourn_Name - Glomero
2024-12-06 06:16:21.87 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Fourn_Name - 26 = 0,4180 sec.

2024-12-06 06:16:22.15 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB
2024-12-06 06:16:24.25 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB = 2,2461 sec.

2024-12-06 06:16:24.48 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally
2024-12-06 06:16:24.79 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally = 0,4492 sec.

2024-12-06 06:16:25.03 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation
2024-12-06 06:16:25.25 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_To_DB
2024-12-06 06:16:27.06 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_To_DB = 1,9512 sec.

2024-12-06 06:16:27.29 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_Locally
2024-12-06 06:16:27.62 | Guillaume | APP_v5.G.3.xlsb | modGL_Posting:GL_Posting_Locally = 0,4727 sec.

2024-12-06 06:16:27.84 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation = 2,9844 sec.

2024-12-06 06:16:29.65 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells
2024-12-06 06:16:29.88 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells = 0,3633 sec.

2024-12-06 06:16:30.10 | Guillaume | APP_v5.G.3.xlsb | modDEB_Saisie:DEB_Saisie_Update = 8,8672 sec.

2024-12-06 06:16:31.80 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-06 06:16:32.05 | Guillaume | APP_v5.G.3.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,4043 sec.

2024-12-06 06:31:16.71 | User | APP_v5.G.0.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-06 06:31:16.79 | User | APP_v5.G.0.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-06 06:31:16.89 | User | APP_v5.G.0.xlsb | ThisWorkbook:Create_User_Active_File = 0,1035 sec.

2024-12-06 06:31:18.46 | User | APP_v5.G.0.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-06 06:31:18.63 | User | APP_v5.G.0.xlsb | modAppli:Write_Info_On_Main_Menu = 0,1777 sec.

2024-12-06 06:31:18.78 | User | APP_v5.G.0.xlsb | ThisWorkbook:Workbook_Open = 2,0703 sec.

2024-12-06 06:31:21.10 | User | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-06 06:31:21.18 | User | APP_v5.G.0.xlsb | modImport:Client_List_Import_All
2024-12-06 06:31:21.90 | User | APP_v5.G.0.xlsb | modImport:Client_List_Import_All = 0,7344 sec.

2024-12-06 06:31:21.96 | User | APP_v5.G.0.xlsb | modImport:TEC_Import_All
2024-12-06 06:31:22.82 | User | APP_v5.G.0.xlsb | modImport:TEC_Import_All = 0,8672 sec.

2024-12-06 06:31:22.89 | User | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Activate = 1,7969 sec.

2024-12-06 06:31:24.02 | User | APP_v5.G.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-06 06:31:24.08 | User | APP_v5.G.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,0684 sec.

2024-12-06 06:31:32.01 | User | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-06 06:31:32.07 | User | APP_v5.G.0.xlsb | modFunctions:Fn_Complete_Date(2024-12-06, 90, 15)
2024-12-06 06:31:32.12 | User | APP_v5.G.0.xlsb | modFunctions:Fn_Complete_Date = 0,0605 sec.

2024-12-06 06:31:32.20 | User | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,1953 sec.

2024-12-06 06:31:32.30 | User | APP_v5.G.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-06 06:31:32.36 | User | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 4/12-06-2024
2024-12-06 06:31:32.54 | User | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,1895 sec.

2024-12-06 06:31:32.60 | User | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 4/12-06-2024
2024-12-06 06:31:32.65 | User | APP_v5.G.0.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6 - ML)
2024-12-06 06:31:32.71 | User | APP_v5.G.0.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,0684 sec.

