2024-11-09 08:02:38.77 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-09 08:04:55.32 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 |  | 31
2024-11-09 08:04:55.32 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-09 08:04:55.32 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 31
2024-11-09 08:04:55.64 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local | 0,3223 sec. | 31

2024-11-09 08:04:55.64 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-09 08:04:55.79 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,1426 sec. | 31

2024-11-09 08:04:55.79 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,4648 sec. | 31

2024-11-09 08:04:55.80 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-09 08:04:55.91 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1074 sec. | 31

2024-11-09 08:05:30.44 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables |  | 31
2024-11-09 08:05:30.54 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables | 0,0918 sec. | 31

2024-11-09 08:05:30.64 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 | 35,3145 sec. | 31

2024-11-09 08:05:30.64 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-09 08:05:30.64 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 31
2024-11-09 08:05:30.95 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local | 0,3066 sec. | 31

2024-11-09 08:05:30.95 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-09 08:05:31.17 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,2246 sec. | 31

2024-11-09 08:05:31.17 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,5352 sec. | 31

2024-11-09 08:05:31.18 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne | 36,3164 sec. | 31

2024-11-09 08:05:31.18 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmdAdd_Click | 36,3262 sec. | 31

2024-11-09 08:09:11.91 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[9299-2593 Québec Inc. [anciennement Informat] [Luc Grenier]] |  | 31
2024-11-09 08:09:11.91 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9299-2593 Québec Inc. [anciennement Informat] [Luc Grenier] |  | 31
2024-11-09 08:09:11.92 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 193l | 0,0137 sec. | 31

2024-11-09 08:09:11.93 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,0176 sec. | 31

2024-11-09 08:09:15.47 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Test 00000] |  | 31
2024-11-09 08:09:15.47 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,0020 sec. | 31

2024-11-09 08:09:16.72 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.1] |  | 31
2024-11-09 08:09:16.74 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0117 sec. | 31

2024-11-09 08:09:16.74 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_Exit[0,10] |  | 31
2024-11-09 08:09:16.74 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_Exit | 0,0078 sec. | 31

2024-11-09 08:09:19.15 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-11-09 08:09:19.16 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-11-09 08:09:19.16 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0) |  | 31
2024-11-09 08:09:19.53 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 | 0,3633 sec. | 31

2024-11-09 08:09:19.53 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0) |  | 31
2024-11-09 08:09:19.55 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 | 0,0273 sec. | 31

2024-11-09 08:09:19.55 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-09 |  | 31
2024-11-09 08:09:19.63 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,0723 sec. | 31

2024-11-09 08:09:19.63 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 |  | 31
2024-11-09 08:09:31.02 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-09 08:09:31.02 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 31
2024-11-09 08:09:31.34 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local | 0,3145 sec. | 31

2024-11-09 08:09:31.34 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-09 08:09:31.55 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,2188 sec. | 31

2024-11-09 08:09:31.55 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,5352 sec. | 31

2024-11-09 08:09:31.55 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-09 08:09:31.69 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1387 sec. | 31

2024-11-09 08:09:34.57 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables |  | 31
2024-11-09 08:09:34.69 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables | 0,1152 sec. | 31

2024-11-09 08:09:34.79 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 | 15,1621 sec. | 31

2024-11-09 08:11:06.54 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-09 08:11:06.54 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-09 08:11:06.71 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-09 08:11:06.78 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-09 08:11:06.86 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:Client_List_Import_All | 0,3164 sec. | 31

2024-11-09 08:11:06.87 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:TEC_Import_All |  | 31
2024-11-09 08:11:07.05 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-09 08:11:07.22 | Robert_M._Vigneault | APP_v5.E.0.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-09 08:11:07.31 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modImport:TEC_Import_All | 0,4434 sec. | 31

2024-11-09 08:11:07.32 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:UserForm_Activate | 0,7754 sec. | 31

2024-11-09 08:11:08.40 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 31
2024-11-09 08:11:08.40 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate | 0,0039 sec. | 31

2024-11-09 08:11:09.24 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 31
2024-11-09 08:11:09.24 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 9 parsedDate='09/11/2024' |  | 31
2024-11-09 08:11:09.24 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate | 0,0078 sec. | 31

2024-11-09 08:11:09.25 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate[2024-11-09] |  | 31
2024-11-09 08:11:22.66 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-09 |  | 31
2024-11-09 08:11:22.74 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,0859 sec. | 31

2024-11-09 08:11:56.85 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 |  | 31
2024-11-09 08:12:14.82 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-09 08:12:14.82 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 31
2024-11-09 08:12:15.16 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local | 0,3320 sec. | 31

2024-11-09 08:12:15.17 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-09 08:12:15.44 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,2715 sec. | 31

2024-11-09 08:12:15.45 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,6270 sec. | 31

2024-11-09 08:12:15.46 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-09 08:12:15.58 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1250 sec. | 31

2024-11-09 08:12:15.59 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables |  | 31
2024-11-09 08:12:15.66 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables | 0,0742 sec. | 31

2024-11-09 08:12:15.77 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-11-09 | 18,9238 sec. | 31

2024-11-09 08:12:15.78 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtDate_AfterUpdate | 66,5293 sec. | 31

2024-11-09 08:12:21.58 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:lsbHresJour_dblClick[2] |  | 31
2024-11-09 08:12:21.58 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-09 08:12:21.59 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 2318 |  | 31
2024-11-09 08:12:21.59 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,0059 sec. | 31

2024-11-09 08:12:21.64 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:lsbHresJour_dblClick[2319] | 0,0664 sec. | 31

2024-11-09 08:12:25.01 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[9299-2593 Québec Inc. [anciennement Informat] [Luc Grenier]] |  | 31
2024-11-09 08:12:25.01 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9299-2593 Québec Inc. [anciennement Informat] [Luc Grenier] |  | 31
2024-11-09 08:12:25.01 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 193l | 0,0020 sec. | 31

2024-11-09 08:12:25.02 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,0098 sec. | 31

2024-11-09 08:12:25.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmdClear_Click |  | 31
2024-11-09 08:12:25.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Efface_Formulaire |  | 31
2024-11-09 08:12:30.20 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/09/11/2024 |  | 31
2024-11-09 08:12:30.29 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,0859 sec. | 31

2024-11-09 08:12:32.10 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/09/11/2024 |  | 31
2024-11-09 08:12:33.44 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-09 08:12:33.44 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 31
2024-11-09 08:12:33.85 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local | 0,4062 sec. | 31

2024-11-09 08:12:33.85 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-09 08:12:34.14 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,2852 sec. | 31

2024-11-09 08:12:34.14 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,7070 sec. | 31

2024-11-09 08:12:34.15 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-09 08:12:34.30 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1523 sec. | 31

2024-11-09 08:12:34.30 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables |  | 31
2024-11-09 08:12:34.36 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modAppli:UpdatePivotTables | 0,0586 sec. | 31

2024-11-09 08:12:34.48 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/09/11/2024 | 2,3750 sec. | 31

2024-11-09 08:12:34.48 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modTEC_Saisie:TEC_Efface_Formulaire | 9,3828 sec. | 31

2024-11-09 08:12:34.49 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:cmdClear_Click | 9,3906 sec. | 31

2024-11-09 08:12:39.84 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Sylva] |  | 31
2024-11-09 08:12:39.85 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - Sylva |  | 31
2024-11-09 08:12:39.85 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 331 | 0,0039 sec. | 31

2024-11-09 08:12:39.85 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,0117 sec. | 31

2024-11-09 08:12:40.90 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Sylvain Garceau] |  | 31
2024-11-09 08:12:40.91 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - Sylvain Garceau |  | 31
2024-11-09 08:12:40.92 | Robert_M._Vigneault | APP_v5.E.0.xlsb | modFunctions:Fn_GetID_From_Client_Name - 331 | 0,0059 sec. | 31

2024-11-09 08:12:40.92 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,0176 sec. | 31

2024-11-09 08:12:44.36 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Test abc] |  | 31
2024-11-09 08:12:44.38 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,0156 sec. | 31

2024-11-09 08:12:46.40 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[a] |  | 31
2024-11-09 08:12:46.41 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0020 sec. | 31

2024-11-09 08:12:46.41 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_Exit[a] |  | 31
2024-11-09 08:12:53.88 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.1] |  | 31
2024-11-09 08:12:53.89 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0059 sec. | 31

2024-11-09 08:12:53.90 | Robert_M._Vigneault | APP_v5.E.0.xlsb | ufSaisieHeures:txtHeures_Exit[0,10] |  | 31
