2025-02-08 06:15:37.60 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-08 06:15:45.59 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client | 2329-9308 Québec Inc. [Suzie Desrosiers] Golf Presqu'ile | 
2025-02-08 06:15:45.61 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0273 secondes

2025-02-08 06:15:45.64 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 2329-9308 Québec Inc. [Suzie Desrosiers] | 
2025-02-08 06:15:45.66 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0312 secondes

2025-02-08 06:16:23.45 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | analyse des avis de cotisation vs planification et conclusions + analyse de CDC et date | 
2025-02-08 06:16:23.48 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0332 secondes

2025-02-08 06:16:29.15 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 1.5 | 
2025-02-08 06:16:29.18 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0332 secondes

2025-02-08 06:16:29.21 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit | 1,50 | 
2025-02-08 06:16:29.23 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0293 secondes

2025-02-08 06:16:31.27 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 
2025-02-08 06:16:31.30 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 0,0430 secondes

2025-02-08 06:16:31.88 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 
2025-02-08 06:16:31.90 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate |  | 0,0254 secondes

2025-02-08 06:16:32.76 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-08 06:16:32.79 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-08 06:16:32.80 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client | 2329-9308 Québec Inc. [Suzie Desrosiers] | 
2025-02-08 06:16:32.83 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0273 secondes

2025-02-08 06:16:32.85 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-08 06:16:33.71 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,8672 secondes

2025-02-08 06:16:33.73 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-08 06:16:33.81 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0762 secondes

2025-02-08 06:16:33.83 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/2025-02-08 | 
2025-02-08 06:16:33.92 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0938 secondes

2025-02-08 06:16:33.94 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-08 | 
2025-02-08 06:16:33.97 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-08 06:16:33.99 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-08 06:16:34.02 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-08 06:16:34.18 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1719 secondes

2025-02-08 06:16:34.21 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-08 06:16:34.31 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0977 secondes

2025-02-08 06:16:34.33 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,1172 secondes

2025-02-08 06:16:34.35 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-08 06:16:34.67 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,3301 secondes

2025-02-08 06:16:34.69 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-08 06:16:34.77 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0762 secondes

2025-02-08 06:16:34.79 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,0957 secondes

2025-02-08 06:16:34.84 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-08 | 0,1523 secondes

2025-02-08 06:16:34.86 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 0,1719 secondes

2025-02-08 06:16:34.88 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 0,1934 secondes

2025-02-08 06:43:40.63 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | brien | 
2025-02-08 06:43:40.67 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0430 secondes

2025-02-08 06:43:41.09 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client | Gestion L'Anneau Inc. [Lalonde & Brient] [Nathalie Brient] Entreprises | 
2025-02-08 06:43:41.11 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0293 secondes

2025-02-08 06:43:41.14 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Gestion L'Anneau Inc. [Lalonde & Brient] [Nathalie Brient] | 
2025-02-08 06:43:41.16 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0391 secondes

2025-02-08 06:43:48.03 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | analyse confirmation de CDC | 
2025-02-08 06:43:48.06 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0312 secondes

2025-02-08 06:43:48.97 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0.5 | 
2025-02-08 06:43:48.99 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0273 secondes

2025-02-08 06:43:49.01 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit | 0,50 | 
2025-02-08 06:43:49.04 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0273 secondes

2025-02-08 06:43:50.31 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-08 06:43:50.33 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-08 06:43:50.35 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client | Gestion L'Anneau Inc. [Lalonde & Brient] [Nathalie Brient] | 
2025-02-08 06:43:50.38 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0254 secondes

2025-02-08 06:43:50.39 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-08 06:43:51.22 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,8320 secondes

2025-02-08 06:43:51.24 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-08 06:43:51.31 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0781 secondes

2025-02-08 06:43:51.33 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/2025-02-08 | 
2025-02-08 06:43:51.45 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1152 secondes

2025-02-08 06:43:51.47 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-08 | 
2025-02-08 06:43:51.50 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-08 06:43:51.52 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-08 06:43:51.54 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-08 06:43:51.71 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1758 secondes

2025-02-08 06:43:51.74 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-08 06:43:51.84 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1035 secondes

2025-02-08 06:43:51.86 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,1230 secondes

2025-02-08 06:43:51.88 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-08 06:43:52.18 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,3027 secondes

2025-02-08 06:43:52.21 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-08 06:43:52.27 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0645 secondes

2025-02-08 06:43:52.29 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,0840 secondes

2025-02-08 06:43:52.35 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-08 | 0,1484 secondes

2025-02-08 06:43:52.37 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 0,1738 secondes

2025-02-08 06:43:52.39 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdAdd_Click |  | 0,1934 secondes

2025-02-08 10:54:55.97 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:lsbHresJour_dblClick | 1 | 
2025-02-08 10:54:56.01 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-08 10:54:56.05 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3948 | -1 | 
2025-02-08 10:54:56.08 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,0703 secondes

2025-02-08 10:54:56.14 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3951] |  | 0,1328 secondes

2025-02-08 10:54:56.82 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Gestion L'Anneau Inc. [Lalonde & Brient] [Nathalie Brient] | 
2025-02-08 10:54:56.84 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0273 secondes

2025-02-08 10:55:15.05 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | analyse confirmation de CDC + modifier tableaux et memo avec tous les dividendes du CDC modifiés | 
2025-02-08 10:55:15.09 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0352 secondes

2025-02-08 10:55:17.10 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 2 | 
2025-02-08 10:55:17.13 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0352 secondes

2025-02-08 10:55:17.15 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit | 2,00 | 
2025-02-08 10:55:17.18 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0273 secondes

2025-02-08 10:55:18.14 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdUpdate_Click | 3951 | 
2025-02-08 10:55:18.17 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 
2025-02-08 10:55:18.19 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 3951 | 
2025-02-08 10:55:18.00 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 3951 | 0,8125 secondes

2025-02-08 10:55:19.02 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 3951 | 
2025-02-08 10:55:19.04 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-08 10:55:19.08 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3948 | -1 | 
2025-02-08 10:55:19.10 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,0625 secondes

2025-02-08 10:55:19.16 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 3951 | 0,1172 secondes

2025-02-08 10:55:19.18 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/08/02/25 | 
2025-02-08 10:55:19.27 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0898 secondes

2025-02-08 10:55:19.29 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/08/02/25 | 
2025-02-08 10:55:19.32 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-08 10:55:19.34 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-08 10:55:19.36 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-08 10:55:19.49 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1328 secondes

2025-02-08 10:55:19.52 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-08 10:55:19.61 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0938 secondes

2025-02-08 10:55:19.63 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,1172 secondes

2025-02-08 10:55:19.65 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-08 10:55:19.93 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,2773 secondes

2025-02-08 10:55:19.95 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-08 10:55:20.01 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0781 secondes

2025-02-08 10:55:20.04 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,0977 secondes

2025-02-08 10:55:20.11 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/08/02/25 | 0,1680 secondes

2025-02-08 10:55:20.13 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 0,1875 secondes

2025-02-08 10:55:20.15 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdUpdate_Click |  | 0,2109 secondes

2025-02-08 10:56:06.34 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:lsbHresJour_dblClick | 0 | 
2025-02-08 10:56:06.37 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-08 10:56:06.41 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3947 | -1 | 
2025-02-08 10:56:06.43 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,0625 secondes

2025-02-08 10:56:06.49 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3950] |  | 0,1211 secondes

2025-02-08 10:56:08.25 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 2329-9308 Québec Inc. [Suzie Desrosiers] | 
2025-02-08 10:56:08.27 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0234 secondes

2025-02-08 10:56:17.75 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | analyse des avis de cotisation vs planification et conclusions + analyse de CDC et date + échanges avec MC | 
2025-02-08 10:56:17.77 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0273 secondes

2025-02-08 10:56:18.42 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 2 | 
2025-02-08 10:56:18.44 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0273 secondes

2025-02-08 10:56:18.46 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit | 2,00 | 
2025-02-08 10:56:18.48 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0195 secondes

2025-02-08 10:56:19.37 | GuillaumeCharron | APP_v5.P.0.xlsb | ufSaisieHeures:cmdUpdate_Click | 3950 | 
2025-02-08 10:56:19.39 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 
2025-02-08 10:56:19.41 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 3950 | 
2025-02-08 10:56:20.22 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 3950 | 0,8086 secondes

2025-02-08 10:56:20.24 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 3950 | 
2025-02-08 10:56:20.26 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-08 10:56:20.30 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3947 | -1 | 
2025-02-08 10:56:20.32 | GuillaumeCharron | APP_v5.P.0.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,0586 secondes

2025-02-08 10:56:20.38 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 3950 | 0,1172 secondes

2025-02-08 10:56:20.40 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/08/02/25 | 
2025-02-08 10:56:20.49 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0938 secondes

2025-02-08 10:56:20.51 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/08/02/25 | 
2025-02-08 10:56:20.54 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-08 10:56:20.57 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-08 10:56:20.59 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-08 10:56:20.72 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1328 secondes

2025-02-08 10:56:20.74 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-08 10:56:20.84 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1094 secondes

2025-02-08 10:56:20.87 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,1328 secondes

2025-02-08 10:56:20.89 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-08 10:56:21.16 | GuillaumeCharron | APP_v5.P.0.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,2773 secondes

2025-02-08 10:56:21.18 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-08 10:56:21.24 | GuillaumeCharron | APP_v5.P.0.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-08 10:56:21.27 | GuillaumeCharron | APP_v5.P.0.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,0859 secondes

