2025-02-24 22:38:20.35 | vgervais | APP_v6.A.2.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-24 22:38:22.98 | vgervais | APP_v6.A.2.xlsb | modImport:ApplyFormatting |  | 
2025-02-24 22:38:23.02 | vgervais | APP_v6.A.2.xlsb | modImport:ApplyFormatting |  | 0,0469 secondes

2025-02-24 22:38:23.10 | vgervais | APP_v6.A.2.xlsb | modImport:Client_List_Import_All |  | 0,5312 secondes

2025-02-24 22:38:23.14 | vgervais | APP_v6.A.2.xlsb | modImport:TEC_Import_All |  | 
2025-02-24 22:38:23.63 | vgervais | APP_v6.A.2.xlsb | modImport:TEC_Import_All |  | 0,4922 secondes

2025-02-24 22:38:23.67 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,1406 secondes

2025-02-24 22:38:25.26 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-24 22:38:25.30 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0547 secondes

2025-02-24 22:38:25.86 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-24 22:38:25.91 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Complete_Date | 24-02-2025, 600, 15 | 
2025-02-24 22:38:25.95 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Complete_Date |  | 0,0391 secondes

2025-02-24 22:38:25.98 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1250 secondes

2025-02-24 22:38:26.02 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-24 22:38:26.06 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/24-02-2025 | 
2025-02-24 22:38:26.16 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0938 secondes

2025-02-24 22:38:26.20 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/24-02-2025 | 
2025-02-24 22:38:26.24 | vgervais | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-24 22:38:26.29 | vgervais | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-24 22:38:26.33 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-24 22:38:26.45 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1250 secondes

2025-02-24 22:38:26.51 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-24 22:38:26.62 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1094 secondes

2025-02-24 22:38:26.66 | vgervais | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3750 secondes

2025-02-24 22:38:26.70 | vgervais | APP_v6.A.2.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-24 22:38:26.79 | vgervais | APP_v6.A.2.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,0938 secondes

2025-02-24 22:38:26.84 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-24 22:38:26.89 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-24 22:38:26.94 | vgervais | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6953 secondes

2025-02-24 22:38:27.04 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/24-02-2025 | 0,8438 secondes

2025-02-24 22:38:27.08 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 1,0625 secondes

2025-02-24 22:38:32.24 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtClient_AfterUpdate | air tra | 
2025-02-24 22:38:32.29 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0547 secondes

2025-02-24 22:38:32.45 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-24 22:38:32.52 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client | Air Trans Express Inc. [Richard Lavoie] | 
2025-02-24 22:38:32.56 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-24 22:38:32.60 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client | 1134 | 
2025-02-24 22:38:32.65 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-24 22:38:32.69 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2422 secondes

2025-02-24 22:38:32.73 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client | Air Trans Express Inc. [Richard Lavoie] | 
2025-02-24 22:38:32.77 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-24 22:38:32.82 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtClient_AfterUpdate | Air Trans Express Inc. [Richard Lavoie] | 
2025-02-24 22:38:32.87 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0547 secondes

2025-02-24 22:38:43.20 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Suivi pour revenus de placement | 
2025-02-24 22:38:43.27 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0703 secondes

2025-02-24 22:38:44.45 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | .3 | 
2025-02-24 22:38:44.50 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0547 secondes

2025-02-24 22:38:44.55 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_Exit | 0,30 | 
2025-02-24 22:38:44.59 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0469 secondes

2025-02-24 22:38:45.69 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-24 22:38:45.73 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-24 22:38:45.78 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client | Air Trans Express Inc. [Richard Lavoie] | 
2025-02-24 22:38:45.83 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0469 secondes

2025-02-24 22:38:45.87 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-24 22:38:46.61 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,7500 secondes

2025-02-24 22:38:46.66 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-24 22:38:46.72 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0703 secondes

2025-02-24 22:38:46.78 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/2025-02-24 | 
2025-02-24 22:38:46.88 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1094 secondes

2025-02-24 22:38:46.94 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-24 | 
2025-02-24 22:38:47.00 | vgervais | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-24 22:38:47.05 | vgervais | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-24 22:38:47.09 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-24 22:38:47.22 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1250 secondes

2025-02-24 22:38:47.27 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-24 22:38:47.36 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1016 secondes

2025-02-24 22:38:47.41 | vgervais | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3672 secondes

2025-02-24 22:38:47.45 | vgervais | APP_v6.A.2.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-24 22:38:47.56 | vgervais | APP_v6.A.2.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1250 secondes

2025-02-24 22:38:47.60 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-24 22:38:47.66 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-24 22:38:47.70 | vgervais | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,7109 secondes

2025-02-24 22:38:47.80 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/2025-02-24 | 0,8672 secondes

2025-02-24 22:38:47.84 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 2,1172 secondes

2025-02-24 22:38:47.89 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:cmdAdd_Click |  | 2,2109 secondes

2025-02-24 22:38:49.95 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:lsbHresJour_dblClick | 0 | 
2025-02-24 22:38:50.02 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-24 22:38:50.07 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 4312 | -1 | 
2025-02-24 22:38:50.11 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,1016 secondes

2025-02-24 22:38:50.18 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:lsbHresJour_dblClick[4313] |  | 0,2344 secondes

2025-02-24 22:38:51.73 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtClient_AfterUpdate | z_Administratif_Autres non chargeables | 
2025-02-24 22:38:51.78 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0547 secondes

2025-02-24 22:39:00.64 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Suivis de dossier + Discussion Guillaume  + Discussion Guillaume x2 (deal commercial) + Discussion Olivier | 
2025-02-24 22:39:00.70 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0625 secondes

2025-02-24 22:39:02.92 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 2.4 | 
2025-02-24 22:39:02.97 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0547 secondes

2025-02-24 22:39:03.01 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_Exit | 2,40 | 
2025-02-24 22:39:03.05 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0469 secondes

2025-02-24 22:39:04.48 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:cmdUpdate_Click | 4313 | 
2025-02-24 22:39:04.52 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 
2025-02-24 22:39:04.56 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 4313 | 
2025-02-24 22:39:05.29 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 4313 | 0,7266 secondes

2025-02-24 22:39:05.33 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 4313 | 
2025-02-24 22:39:05.39 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 
2025-02-24 22:39:05.45 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 4312 | -1 | 
2025-02-24 22:39:05.50 | vgervais | APP_v6.A.2.xlsb | modFunctions:Fn_Find_Row_Number_TECID |  | 0,1094 secondes

2025-02-24 22:39:05.55 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 4313 | 0,2344 secondes

2025-02-24 22:39:05.60 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/24-02-2025 | 
2025-02-24 22:39:05.69 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0938 secondes

2025-02-24 22:39:05.73 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/24-02-2025 | 
2025-02-24 22:39:05.78 | vgervais | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-24 22:39:05.84 | vgervais | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-24 22:39:05.89 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-24 22:39:06.01 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1172 secondes

2025-02-24 22:39:06.05 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-24 22:39:06.15 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1016 secondes

2025-02-24 22:39:06.20 | vgervais | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3672 secondes

2025-02-24 22:39:06.23 | vgervais | APP_v6.A.2.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-24 22:39:06.34 | vgervais | APP_v6.A.2.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1094 secondes

2025-02-24 22:39:06.38 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-24 22:39:06.44 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-24 22:39:06.48 | vgervais | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,7031 secondes

2025-02-24 22:39:06.58 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/24-02-2025 | 0,8516 secondes

2025-02-24 22:39:06.63 | vgervais | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Modifie_Ligne |  | 2,1016 secondes

2025-02-24 22:39:06.66 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:cmdUpdate_Click |  | 2,1953 secondes

2025-02-24 22:39:11.45 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:UserForm_Terminate |  | 
2025-02-24 22:39:11.51 | vgervais | APP_v6.A.2.xlsb | ufSaisieHeures:UserForm_Terminate |  | 0,0625 secondes

2025-02-24 22:39:16.33 | vgervais | APP_v6.A.2.xlsb | modMENU_TEC:TEC_Radiation_Click |  | 
2025-02-24 22:39:16.40 | vgervais | APP_v6.A.2.xlsb | wshTEC_Radiation:Worksheet_Activate |  | 
2025-02-24 22:39:16.44 | vgervais | APP_v6.A.2.xlsb | modImport:Client_List_Import_All |  | 
2025-02-24 22:39:16.73 | vgervais | APP_v6.A.2.xlsb | modImport:ResizeTable |  | 
2025-02-24 22:39:16.77 | vgervais | APP_v6.A.2.xlsb | modImport:ResizeTable |  | 0,0469 secondes

2025-02-24 22:39:16.81 | vgervais | APP_v6.A.2.xlsb | modImport:ApplyFormatting |  | 
2025-02-24 22:39:16.86 | vgervais | APP_v6.A.2.xlsb | modImport:ApplyFormatting |  | 0,0469 secondes

2025-02-24 22:39:16.95 | vgervais | APP_v6.A.2.xlsb | modImport:Client_List_Import_All |  | 0,5234 secondes

2025-02-24 22:39:17.00 | vgervais | APP_v6.A.2.xlsb | modDev_Utils:SetTabOrder | wshTEC_Radiation | 
2025-02-24 22:39:17.05 | vgervais | APP_v6.A.2.xlsb | modDev_Utils:SetTabOrder |  | 0,0625 secondes

2025-02-24 22:39:17.10 | vgervais | APP_v6.A.2.xlsb | wshTEC_Radiation:Worksheet_Change | $B$6:$B$32 | 
2025-02-24 22:39:17.14 | vgervais | APP_v6.A.2.xlsb | wshTEC_Radiation:Worksheet_Change |  | 0,0469 secondes

2025-02-24 22:39:17.20 | vgervais | APP_v6.A.2.xlsb | wshTEC_Radiation:Worksheet_Change | $D$6:$K$32 | 
2025-02-24 22:39:17.23 | vgervais | APP_v6.A.2.xlsb | wshTEC_Radiation:Worksheet_Change |  | 0,0469 secondes

2025-02-24 22:39:17.29 | vgervais | APP_v6.A.2.xlsb | wshTEC_Radiation:Worksheet_Activate |  | 0,8906 secondes

2025-02-24 22:39:17.34 | vgervais | APP_v6.A.2.xlsb | modMENU_TEC:TEC_Radiation_Click |  | 1,0312 secondes

2025-02-24 22:39:19.09 | vgervais | APP_v6.A.2.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-02-24 22:39:19.14 | vgervais | APP_v6.A.2.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,0625 secondes

2025-02-24 22:39:19.91 | vgervais | APP_v6.A.2.xlsb | modMenu:SauvegarderEtSortirApplication |  | 
2025-02-24 22:39:21.08 | vgervais | APP_v6.A.2.xlsb | modMenu:Delete_User_Active_File |  | 
2025-02-24 22:39:21.19 | vgervais | APP_v6.A.2.xlsb | modMenu:Delete_User_Active_File |  | 0,1172 secondes

2025-02-24 22:39:21.23 | vgervais | APP_v6.A.2.xlsb | ----- Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) ----- |  | 

2025-02-25 05:48:08.01 | GuillaumeCharron | APP_v6.A.2.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-25 05:48:08.04 | GuillaumeCharron | APP_v6.A.2.xlsb | Validation d'accès serveur terminée |  | 0,0059 secondes

2025-02-25 05:48:08.06 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-25 05:48:08.11 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:CreateUserActiveFile |  | 0,0527 secondes

2025-02-25 05:48:08.13 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-25 05:48:08.16 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:SetupUserDateFormat |  | 0,0293 secondes

2025-02-25 05:48:08.18 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:BackupMasterFile |  | 
2025-02-25 05:48:08.89 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:BackupMasterFile |  | 0,7207 secondes

2025-02-25 05:48:08.92 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-25 05:48:08.96 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0508 secondes

2025-02-25 05:48:08.99 | GuillaumeCharron | APP_v6.A.2.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-25 05:48:09.02 | GuillaumeCharron | APP_v6.A.2.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0293 secondes

2025-02-25 05:48:09.04 | GuillaumeCharron | APP_v6.A.2.xlsb | modAppli:CodeEssentielDepart |  | 1,0371 secondes

2025-02-25 05:48:11.10 | GuillaumeCharron | APP_v6.A.2.xlsb | modMenu:menuTEC_Click |  | 
2025-02-25 05:48:11.16 | GuillaumeCharron | APP_v6.A.2.xlsb | modMenu:menuTEC_Click |  | 0,0684 secondes

2025-02-25 05:48:11.91 | GuillaumeCharron | APP_v6.A.2.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-25 05:48:11.96 | GuillaumeCharron | APP_v6.A.2.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0547 secondes

2025-02-25 05:48:11.99 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-25 05:48:12.01 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:Client_List_Import_All |  | 
2025-02-25 05:48:12.45 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:ResizeTable |  | 
2025-02-25 05:48:12.47 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:ResizeTable |  | 0,0234 secondes

2025-02-25 05:48:12.49 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:ApplyFormatting |  | 
2025-02-25 05:48:12.51 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:ApplyFormatting |  | 0,0215 secondes

2025-02-25 05:48:12.59 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:Client_List_Import_All |  | 0,5781 secondes

2025-02-25 05:48:12.60 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:TEC_Import_All |  | 
2025-02-25 05:48:13.41 | GuillaumeCharron | APP_v6.A.2.xlsb | modImport:TEC_Import_All |  | 0,8086 secondes

2025-02-25 05:48:13.44 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,4531 secondes

2025-02-25 05:48:21.44 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-25 05:48:21.46 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0273 secondes

2025-02-25 05:48:21.90 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-25 05:48:21.93 | GuillaumeCharron | APP_v6.A.2.xlsb | modFunctions:Fn_Complete_Date | 25/02/25, 600, 15 | 
2025-02-25 05:48:21.95 | GuillaumeCharron | APP_v6.A.2.xlsb | modFunctions:Fn_Complete_Date |  | 0,0234 secondes

2025-02-25 05:48:21.97 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,0703 secondes

2025-02-25 05:48:21.99 | GuillaumeCharron | APP_v6.A.2.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-25 05:48:22.01 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/25/02/25 | 
2025-02-25 05:48:22.13 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1289 secondes

2025-02-25 05:48:22.16 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/25/02/25 | 
2025-02-25 05:48:22.19 | GuillaumeCharron | APP_v6.A.2.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-25 05:48:22.21 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-25 05:48:22.23 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-25 05:48:22.38 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1445 secondes

2025-02-25 05:48:22.40 | GuillaumeCharron | APP_v6.A.2.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
