
2024-10-09 05:27:19.660 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Initialize @00091 | 31
2024-10-09 05:28:00.170 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:28:21.690 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-09 05:28:21.730 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:28:21.740 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:28:23.520 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-09 05:28:23.600 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:28:23.610 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-09 05:28:24.620 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-09 05:28:24.660 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-09 05:28:24.730 | GuillaumeCharron | info      | @00031 - avant = 09/10/2024   type = String   après assignation | 31
2024-10-09 05:28:24.750 | GuillaumeCharron | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 05:28:24.770 | GuillaumeCharron | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-09   type = String   après assignation | 31
2024-10-09 05:28:24.780 | GuillaumeCharron | adjust    | @00051 - La date a été changée pour corriger la date - 09/10/2024 ---> 2024-10-09 | 31

2024-10-09 05:28:24.800 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-09 05:28:25.010 | GuillaumeCharron | ADD++++++ | 1608 | GC | 09/10/24 | 104 | Groupe Millénium Micro Inc. [Carl Paquin] | courriels avec Carl pour rachat dans EStaff | 0,50 | VRAI |  | 2024-10-09 05:28:25 | 31

2024-10-09 05:28:25.180 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-09 05:28:25.210 | GuillaumeCharron | info      | @00550 - dateValue = 09/10/24   type = Date   après assignation | 31

2024-10-09 05:28:25.340 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 05:28:25.380 | GuillaumeCharron | info      | @00203 - wshAdmin.Range('TEC_Date').value = 09/10/24   type = Date | 31
2024-10-09 05:28:25.400 | GuillaumeCharron | info      | @00206 - wshTEC_Local.Range('S3').value = 09/10/24   type = Date après assignation | 31

2024-10-09 05:28:25.510 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 05:28:25.590 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:28:25.610 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:28:25.620 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 05:28:25.660 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-09 05:28:25.700 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

2024-10-09 05:28:25.930 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables @00739 | 31

2024-10-09 05:28:26.140 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:28:26.160 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:37:37.670 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-09 05:37:37.710 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:37:37.730 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:37:51.890 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-09 05:37:51.930 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:37:51.940 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:37:55.200 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-09 05:37:55.270 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:37:55.290 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-09 05:37:56.170 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-09 05:37:56.200 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-09 05:37:56.260 | GuillaumeCharron | info      | @00031 - avant = 2024-10-09   type = String   après assignation | 31
2024-10-09 05:37:56.270 | GuillaumeCharron | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 05:37:56.290 | GuillaumeCharron | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-09   type = String   après assignation | 31

2024-10-09 05:37:56.300 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-09 05:37:56.490 | GuillaumeCharron | ADD++++++ | 1609 | GC | 09/10/24 | 1491 | Mobilier de bureau Mobilium Inc. [Robert Guindon] | réception des documents de Samuel et relance avec infos manquantes | 0,75 | VRAI |  | 2024-10-09 05:37:56 | 31

2024-10-09 05:37:56.650 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-09 05:37:56.690 | GuillaumeCharron | info      | @00550 - dateValue = 09/10/24   type = Date   après assignation | 31

2024-10-09 05:37:56.810 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 05:37:56.850 | GuillaumeCharron | info      | @00203 - wshAdmin.Range('TEC_Date').value = 09/10/24   type = Date | 31
2024-10-09 05:37:56.870 | GuillaumeCharron | info      | @00206 - wshTEC_Local.Range('S3').value = 09/10/24   type = Date après assignation | 31

2024-10-09 05:37:56.990 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 05:37:57.130 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:37:57.140 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 05:37:57.180 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 05:37:57.210 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-09 05:37:57.230 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

2024-10-09 05:37:57.460 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables @00739 | 31

2024-10-09 05:37:57.650 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 05:37:57.670 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:03:11.800 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Initialize @00091 | 31

2024-10-09 07:03:11.850 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Activate @00014 | 31

2024-10-09 07:03:12.910 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:03:12.950 | vgervais | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:03:14.190 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:cmbProfessionnel_AfterUpdate @00136 | 31

2024-10-09 07:03:14.310 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-09 07:03:14.340 | vgervais | info      | @00178 - .txtDate.value = 09-10-2024   y = 2024   m = 9   d = 10 | 31

2024-10-09 07:03:19.360 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-09 07:03:19.460 | vgervais | info      | @00193 - .txtDate.value = 2024-10-08   y = 2024   m = 10   d = 8   type = String | 31
2024-10-09 07:03:19.540 | vgervais | info      | @00199 - fullDate = 2024-10-08   y = 2024   m = 10   d = 8   type = Date | 31
2024-10-09 07:03:19.570 | vgervais | info      | @00223 - fullDate = 2024-10-08   y = 2024   m = 10   d = 8   type = Date | 31
2024-10-09 07:03:19.610 | vgervais | info      | @00228 - DateSerial = 2024-10-09   y = 2024   m = 10   d = 9   type = Date | 31

2024-10-09 07:03:19.690 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-09 07:03:19.760 | vgervais | event     | @00269 - .txtDate.value =  = 2024-10-08   y = 2024   m = 10   d = 8   type = String | 31
2024-10-09 07:03:19.790 | vgervais | info      | @00277 - dateStr =  = 2024-10-08   y = 2024   m = 10   d = 8   type = String   après assignation | 31
2024-10-09 07:03:19.830 | vgervais | info      | @00284 - dateFormated =  = 2024-10-08   y = 2024   m = 10   d = 8   type = Date   après assignation | 31
2024-10-09 07:03:19.880 | vgervais | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 2024-10-08   y = 2024   m = 10   d = 8   type = Date   après assignation | 31

2024-10-09 07:03:19.910 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 07:03:19.990 | vgervais | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-08   type = Date | 31
2024-10-09 07:03:20.030 | vgervais | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-08   type = Date après assignation | 31

2024-10-09 07:03:20.140 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 07:03:20.250 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:03:20.290 | vgervais | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:03:20.400 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:03:27.870 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:17:09.440 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-09 07:17:09.520 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:09.570 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:17:09.650 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:lstboxNomClient_DblClick @00068 | 31

2024-10-09 07:17:09.790 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:17:09.820 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-09 07:17:09.890 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:09.920 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:17:25.600 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-09 07:17:25.690 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:25.720 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:17:31.240 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-09 07:17:31.400 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:31.430 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-09 07:17:32.850 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-09 07:17:32.930 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-09 07:17:33.040 | vgervais | info      | @00031 - avant = 2024-10-08   type = String   après assignation | 31
2024-10-09 07:17:33.070 | vgervais | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 8   type = String | 31
2024-10-09 07:17:33.110 | vgervais | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-08   type = String   après assignation | 31

2024-10-09 07:17:33.140 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-09 07:17:33.600 | vgervais | ADD++++++ | 1610 | VG | 2024-10-08 | 1566b | Groupe Dezetech Inc. [Alexandra Morana] | Appel RQ pour confirmation perte | 0,40 | VRAI |  | 2024-10-09 07:17:33 | 31

2024-10-09 07:17:33.830 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-09 07:17:33.900 | vgervais | info      | @00550 - dateValue = 2024-10-08   type = Date   après assignation | 31

2024-10-09 07:17:33.000 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 07:17:34.070 | vgervais | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-08   type = Date | 31
2024-10-09 07:17:34.100 | vgervais | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-08   type = Date après assignation | 31

2024-10-09 07:17:34.200 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 07:17:34.300 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:34.330 | vgervais | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:17:34.370 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:17:34.440 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-09 07:17:34.510 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

2024-10-09 07:17:34.730 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables @00739 | 31

2024-10-09 07:17:34.960 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:34.990 | vgervais | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:17:47.010 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-09 07:17:47.060 | vgervais | info      | @00178 - .txtDate.value = 2024-10-08   y = 2024   m = 10   d = 8 | 31

2024-10-09 07:17:49.070 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-09 07:17:49.140 | vgervais | info      | @00193 - .txtDate.value = 2024-10-09   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 07:17:49.210 | vgervais | info      | @00199 - fullDate = 2024-10-09   y = 2024   m = 10   d = 9   type = Date | 31
2024-10-09 07:17:49.240 | vgervais | info      | @00223 - fullDate = 2024-10-09   y = 2024   m = 10   d = 9   type = Date | 31
2024-10-09 07:17:49.270 | vgervais | info      | @00228 - DateSerial = 2024-10-09   y = 2024   m = 10   d = 9   type = Date | 31

2024-10-09 07:17:49.340 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-09 07:17:49.410 | vgervais | event     | @00269 - .txtDate.value =  = 2024-10-09   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 07:17:49.440 | vgervais | info      | @00277 - dateStr =  = 2024-10-09   y = 2024   m = 10   d = 9   type = String   après assignation | 31
2024-10-09 07:17:49.470 | vgervais | info      | @00284 - dateFormated =  = 2024-10-09   y = 2024   m = 10   d = 9   type = Date   après assignation | 31
2024-10-09 07:17:49.520 | vgervais | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 2024-10-09   y = 2024   m = 10   d = 9   type = Date   après assignation | 31

2024-10-09 07:17:49.560 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 07:17:49.630 | vgervais | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-09   type = Date | 31
2024-10-09 07:17:49.660 | vgervais | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-09   type = Date après assignation | 31

2024-10-09 07:17:49.760 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 07:17:49.850 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:17:54.480 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-09 07:17:54.550 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:54.580 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:17:55.430 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:lstboxNomClient_DblClick @00068 | 31

2024-10-09 07:17:55.570 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:17:55.610 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-09 07:17:55.680 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:17:55.710 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:30:15.290 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-09 07:30:15.450 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:30:15.480 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-09 07:30:19.930 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-09 07:30:20.070 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:30:20.110 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-09 07:30:32.610 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-09 07:30:32.690 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:30:32.730 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:30:33.990 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-09 07:30:34.120 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:30:34.160 | vgervais | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-09 07:30:34.220 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-09 07:30:34.290 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-09 07:30:34.400 | vgervais | info      | @00031 - avant = 2024-10-09   type = String   après assignation | 31
2024-10-09 07:30:34.430 | vgervais | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 9   type = String | 31
2024-10-09 07:30:34.470 | vgervais | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-09   type = String   après assignation | 31

2024-10-09 07:30:34.500 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-09 07:30:34.960 | vgervais | ADD++++++ | 1611 | VG | 2024-10-09 | 5 | z_Administratif_Autres non chargeables | Planning + suivis de dossiers  | 0,60 | VRAI |  | 2024-10-09 07:30:34 | 31

2024-10-09 07:30:35.210 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-09 07:30:35.270 | vgervais | info      | @00550 - dateValue = 2024-10-09   type = Date   après assignation | 31

2024-10-09 07:30:35.370 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-09 07:30:35.440 | vgervais | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-09   type = Date | 31
2024-10-09 07:30:35.470 | vgervais | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-09   type = Date après assignation | 31

2024-10-09 07:30:35.560 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-09 07:30:35.660 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-09 07:30:35.690 | vgervais | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-09 07:30:35.720 | vgervais | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-09 07:30:35.790 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-09 07:30:35.860 | vgervais | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

