2025-02-01 11:23:08.68 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-01 11:23:21.68 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0781 secondes'

2025-02-01 11:23:22.33 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit[]
2025-02-01 11:23:25.05 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate
2025-02-01 11:23:25.09 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate *** = '0,0508 secondes'

2025-02-01 11:23:27.99 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.8]
2025-02-01 11:23:28.04 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0586 secondes'

2025-02-01 11:23:28.08 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit[0,80]
2025-02-01 11:23:28.13 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0508 secondes'

2025-02-01 11:23:29.91 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdAdd_Click
2025-02-01 11:23:29.96 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-02-01 11:23:30.00 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - z_Administratif_Autres non chargeables
2025-02-01 11:23:30.04 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 5 *** = '0,0469 secondes'

2025-02-01 11:23:30.09 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-02-01 11:23:30.81 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,7305 secondes'

2025-02-01 11:23:30.86 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-02-01 11:23:30.93 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0781 secondes'

2025-02-01 11:23:30.97 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-02-01
2025-02-01 11:23:31.06 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0938 secondes'

2025-02-01 11:23:31.10 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-02-01
2025-02-01 11:23:31.15 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-01 11:23:31.19 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-01 11:23:31.23 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-01 11:23:31.39 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1562 secondes'

2025-02-01 11:23:31.43 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-01 11:23:31.59 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1562 secondes'

2025-02-01 11:23:31.63 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4453 secondes'

2025-02-01 11:23:31.67 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-01 11:23:31.84 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1797 secondes'

2025-02-01 11:23:31.90 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-01 11:23:31.97 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,0742 secondes'

2025-02-01 11:23:32.01 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8672 secondes'

2025-02-01 11:23:32.09 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-02-01 *** = '0,9961 secondes'

2025-02-01 11:23:32.13 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne *** = '2,1758 secondes'

2025-02-01 11:23:32.18 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdAdd_Click *** = '2,2656 secondes'

2025-02-01 11:23:51.99 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-01 11:23:52.04 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date(2025-01-31, 600, 15)
2025-02-01 11:23:52.10 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date *** = '0,0625 secondes'

2025-02-01 11:23:52.14 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1602 secondes'

2025-02-01 11:23:52.18 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-02-01 11:23:52.24 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/31-01-2025
2025-02-01 11:23:52.34 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,1094 secondes'

2025-02-01 11:23:52.39 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/31-01-2025
2025-02-01 11:23:52.44 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-01 11:23:52.48 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-01 11:23:52.53 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-01 11:23:52.63 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1133 secondes'

2025-02-01 11:23:52.69 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-01 11:23:52.84 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1562 secondes'

2025-02-01 11:23:52.88 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4023 secondes'

2025-02-01 11:23:52.92 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-01 11:23:53.10 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1836 secondes'

2025-02-01 11:23:53.14 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-01 11:23:53.22 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,0781 secondes'

2025-02-01 11:23:53.26 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8242 secondes'

2025-02-01 11:23:53.36 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/31-01-2025 *** = '0,9727 secondes'

2025-02-01 11:23:53.40 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,2227 secondes'

2025-02-01 11:23:54.98 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lsbHresJour_dblClick[1]
2025-02-01 11:23:55.02 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-02-01 11:23:55.08 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3772
2025-02-01 11:23:55.13 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,1094 secondes'

2025-02-01 11:23:55.20 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3773] *** = '0,2266 secondes'

2025-02-01 11:23:55.81 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lsbHresJour_dblClick[0]
2025-02-01 11:23:55.86 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-02-01 11:23:55.91 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3771
2025-02-01 11:23:55.96 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,1055 secondes'

2025-02-01 11:23:56.01 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3772] *** = '0,1992 secondes'

2025-02-01 11:23:58.89 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2025-02-01 11:23:58.94 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0547 secondes'

2025-02-01 11:24:11.18 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Feuille de temps + suivis+ Planning + discussion Olivier sur la rencontre + discussion Tax GPT + courriel pour entente]
2025-02-01 11:24:11.24 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0781 secondes'

2025-02-01 11:24:12.52 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[2.3]
2025-02-01 11:24:12.58 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0586 secondes'

2025-02-01 11:24:12.62 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit[2,30]
2025-02-01 11:24:12.66 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0508 secondes'

2025-02-01 11:24:13.85 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdUpdate_Click[3772]
2025-02-01 11:24:13.90 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2025-02-01 11:24:13.94 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(3772)
2025-02-01 11:24:14.65 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 3772 *** = '0,7148 secondes'

2025-02-01 11:24:14.69 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(3772)
2025-02-01 11:24:14.73 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-02-01 11:24:14.79 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3771
2025-02-01 11:24:14.84 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,1055 secondes'

2025-02-01 11:24:14.90 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 3772 *** = '0,2188 secondes'

2025-02-01 11:24:14.95 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/31-01-2025
2025-02-01 11:24:15.04 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0938 secondes'

2025-02-01 11:24:15.08 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/31-01-2025
2025-02-01 11:24:15.13 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-01 11:24:15.18 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-01 11:24:15.22 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-01 11:24:15.33 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1133 secondes'

2025-02-01 11:24:15.38 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-01 11:24:15.52 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1523 secondes'

2025-02-01 11:24:15.57 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3945 secondes'

2025-02-01 11:24:15.61 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-01 11:24:15.79 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1797 secondes'

2025-02-01 11:24:15.83 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-01 11:24:15.89 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,0742 secondes'

2025-02-01 11:24:15.95 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8164 secondes'

2025-02-01 11:24:16.04 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/31-01-2025 *** = '0,9727 secondes'

2025-02-01 11:24:16.09 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Modifie_Ligne *** = '2,1953 secondes'

2025-02-01 11:24:16.13 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdUpdate_Click *** = '2,2852 secondes'

2025-02-01 11:24:52.72 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lsbHresJour_dblClick[0]
2025-02-01 11:24:52.78 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-02-01 11:24:52.84 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3771
2025-02-01 11:24:52.88 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,1094 secondes'

2025-02-01 11:24:52.95 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3772] *** = '0,2344 secondes'

2025-02-01 11:24:55.15 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2025-02-01 11:24:55.20 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0586 secondes'

2025-02-01 11:24:56.93 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[2,4]
2025-02-01 11:24:56.98 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0547 secondes'

2025-02-01 11:24:57.03 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit[2,40]
2025-02-01 11:24:57.08 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0625 secondes'

2025-02-01 11:24:58.14 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdUpdate_Click[3772]
2025-02-01 11:24:58.19 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2025-02-01 11:24:58.23 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(3772)
2025-02-01 11:24:58.95 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 3772 *** = '0,7227 secondes'

2025-02-01 11:24:59.01 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(3772)
2025-02-01 11:24:59.05 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-02-01 11:24:59.10 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3771
2025-02-01 11:24:59.14 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,1016 secondes'

2025-02-01 11:24:59.20 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 3772 *** = '0,2031 secondes'

2025-02-01 11:24:59.25 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/31-01-2025
2025-02-01 11:24:59.34 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0938 secondes'

2025-02-01 11:24:59.38 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/31-01-2025
2025-02-01 11:24:59.44 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-01 11:24:59.48 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-01 11:24:59.53 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-01 11:24:59.64 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1172 secondes'

2025-02-01 11:24:59.68 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-01 11:24:59.84 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1562 secondes'

2025-02-01 11:24:59.88 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3984 secondes'

2025-02-01 11:24:59.92 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-01 11:25:00.10 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1836 secondes'

2025-02-01 11:25:00.14 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-01 11:25:00.22 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,0781 secondes'

2025-02-01 11:25:00.27 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8438 secondes'

2025-02-01 11:25:00.39 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/31-01-2025 *** = '1,0117 secondes'

2025-02-01 11:25:00.43 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Modifie_Ligne *** = '2,2461 secondes'

2025-02-01 11:25:00.47 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdUpdate_Click *** = '2,3359 secondes'

2025-02-01 15:02:29.06 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-02-01 15:02:29.11 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date(2025-02-01, 600, 15)
2025-02-01 15:02:29.16 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Complete_Date *** = '0,0469 secondes'

2025-02-01 15:02:29.20 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1445 secondes'

2025-02-01 15:02:29.24 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-02-01 15:02:29.29 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/02-01-2025
2025-02-01 15:02:29.37 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0859 secondes'

2025-02-01 15:02:29.41 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/02-01-2025
2025-02-01 15:02:29.48 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-01 15:02:29.52 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-01 15:02:29.56 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-01 15:02:29.67 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1172 secondes'

2025-02-01 15:02:29.72 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-01 15:02:29.87 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1602 secondes'

2025-02-01 15:02:29.93 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4141 secondes'

2025-02-01 15:02:29.97 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-01 15:02:30.16 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1992 secondes'

2025-02-01 15:02:30.20 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-01 15:02:30.27 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,0703 secondes'

2025-02-01 15:02:30.31 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8359 secondes'

2025-02-01 15:02:30.39 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/02-01-2025 *** = '0,9961 secondes'

2025-02-01 15:02:30.44 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,1992 secondes'

2025-02-01 15:02:50.47 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[dore]
2025-02-01 15:02:50.53 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0586 secondes'

