2025-01-23 08:51:51.23 | vgervais | APP_v5.M.3.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-23 08:52:16.86 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-23 08:52:16.90 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0469 secondes'

2025-01-23 08:52:18.37 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-23 08:52:18.42 | vgervais | APP_v5.M.3.xlsb | modFunctions:Fn_Complete_Date(23-01-2025, 600, 15)
2025-01-23 08:52:18.45 | vgervais | APP_v5.M.3.xlsb | modFunctions:Fn_Complete_Date *** = '0,0352 secondes'

2025-01-23 08:52:18.48 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1191 secondes'

2025-01-23 08:52:18.52 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-23 08:52:18.55 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/23-01-2025
2025-01-23 08:52:18.63 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0801 secondes'

2025-01-23 08:52:18.66 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/23-01-2025
2025-01-23 08:52:18.71 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-23 08:52:18.74 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-23 08:52:18.78 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-23 08:52:18.88 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1016 secondes'

2025-01-23 08:52:18.93 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-23 08:52:19.09 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1621 secondes'

2025-01-23 08:52:19.12 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3828 secondes'

2025-01-23 08:52:19.15 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-23 08:52:19.25 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,0996 secondes'

2025-01-23 08:52:19.28 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-23 08:52:19.35 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,0703 secondes'

2025-01-23 08:52:19.38 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,6855 secondes'

2025-01-23 08:52:19.47 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/23-01-2025 *** = '0,8086 secondes'

2025-01-23 08:52:19.51 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '0,9980 secondes'

2025-01-23 08:52:34.37 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[]
2025-01-23 08:52:36.66 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate
2025-01-23 08:52:36.70 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate *** = '0,0430 secondes'

2025-01-23 08:52:40.79 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[1]
2025-01-23 08:52:40.83 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0430 secondes'

2025-01-23 08:52:40.87 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[1,00]
2025-01-23 08:52:40.90 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0391 secondes'

2025-01-23 08:53:16.91 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Administration/suivis de dossiers + Discussion Michel (général)]
2025-01-23 08:53:16.96 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0527 secondes'

2025-01-23 08:53:19.16 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.8]
2025-01-23 08:53:19.20 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0430 secondes'

2025-01-23 08:53:19.24 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,80]
2025-01-23 08:53:19.27 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0391 secondes'

2025-01-23 08:53:20.39 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-23 08:53:20.43 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-23 08:53:21.03 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,6016 secondes'

2025-01-23 08:53:21.06 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-23 08:53:21.13 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0762 secondes'

2025-01-23 08:53:21.17 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-01-23
2025-01-23 08:53:21.25 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0859 secondes'

2025-01-23 08:53:21.29 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23
2025-01-23 08:53:21.33 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-23 08:53:21.36 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-23 08:53:21.39 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-23 08:53:21.50 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1094 secondes'

2025-01-23 08:53:21.54 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-23 08:53:21.68 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1465 secondes'

2025-01-23 08:53:21.73 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3770 secondes'

2025-01-23 08:53:21.77 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-23 08:53:21.88 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1133 secondes'

2025-01-23 08:53:21.91 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-23 08:53:21.97 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,0684 secondes'

2025-01-23 08:53:22.02 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,6934 secondes'

2025-01-23 08:53:22.10 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23 *** = '0,8301 secondes'

2025-01-23 08:53:22.14 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click *** = '1,7539 secondes'

2025-01-23 08:55:09.08 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Suivis de deossier avec Michel]
2025-01-23 08:55:09.13 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0566 secondes'

2025-01-23 08:55:10.43 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.3]
2025-01-23 08:55:10.47 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0449 secondes'

2025-01-23 08:55:10.50 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,30]
2025-01-23 08:55:10.54 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0391 secondes'

2025-01-23 08:55:11.64 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-23 08:55:11.68 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-23 08:55:12.29 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,6113 secondes'

2025-01-23 08:55:12.32 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-23 08:55:12.39 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0684 secondes'

2025-01-23 08:55:12.42 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-01-23
2025-01-23 08:55:12.51 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0957 secondes'

2025-01-23 08:55:12.55 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23
2025-01-23 08:55:12.59 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-23 08:55:12.62 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-23 08:55:12.66 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-23 08:55:12.76 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1055 secondes'

2025-01-23 08:55:12.80 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-23 08:55:12.94 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1445 secondes'

2025-01-23 08:55:12.97 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3516 secondes'

2025-01-23 08:55:13.00 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-23 08:55:13.12 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1191 secondes'

2025-01-23 08:55:13.15 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-23 08:55:13.21 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,0645 secondes'

2025-01-23 08:55:13.24 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,6582 secondes'

2025-01-23 08:55:13.33 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23 *** = '0,7812 secondes'

2025-01-23 08:55:13.36 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click *** = '1,7227 secondes'

2025-01-23 08:55:43.03 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Mémo + suivis de dossier asvec Michel (états financiers)]
2025-01-23 08:55:43.07 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0508 secondes'

2025-01-23 08:55:44.31 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.3]
2025-01-23 08:55:44.35 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0469 secondes'

2025-01-23 08:55:44.38 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,30]
2025-01-23 08:55:44.42 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0410 secondes'

2025-01-23 08:55:46.67 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-23 08:55:46.71 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-23 08:55:47.30 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,5977 secondes'

2025-01-23 08:55:47.34 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-23 08:55:47.40 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0664 secondes'

2025-01-23 08:55:47.43 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-01-23
2025-01-23 08:55:47.51 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0762 secondes'

2025-01-23 08:55:47.54 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23
2025-01-23 08:55:47.58 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-23 08:55:47.61 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-23 08:55:47.64 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-23 08:55:47.75 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1074 secondes'

2025-01-23 08:55:47.78 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-23 08:55:47.93 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1543 secondes'

2025-01-23 08:55:47.97 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3633 secondes'

2025-01-23 08:55:48.00 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-23 08:55:48.11 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1133 secondes'

2025-01-23 08:55:48.15 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-23 08:55:48.20 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,0605 secondes'

2025-01-23 08:55:48.24 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,6641 secondes'

2025-01-23 08:55:48.32 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23 *** = '0,7891 secondes'

2025-01-23 08:55:48.36 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click *** = '1,6895 secondes'

2025-01-23 08:56:45.82 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Suivs avec Michel pour écriture]
2025-01-23 08:56:45.86 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0488 secondes'

2025-01-23 08:56:47.05 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.2]
2025-01-23 08:56:47.09 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0391 secondes'

2025-01-23 08:56:47.12 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,20]
2025-01-23 08:56:47.15 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0371 secondes'

2025-01-23 08:56:48.28 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-23 08:56:48.31 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-23 08:56:48.89 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,5840 secondes'

2025-01-23 08:56:48.93 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-23 08:56:49.00 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0801 secondes'

2025-01-23 08:56:49.05 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-01-23
2025-01-23 08:56:49.13 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0859 secondes'

2025-01-23 08:56:49.16 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23
2025-01-23 08:56:49.20 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-23 08:56:49.23 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-23 08:56:49.27 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-23 08:56:49.37 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1133 secondes'

2025-01-23 08:56:49.42 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-23 08:56:49.57 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1504 secondes'

2025-01-23 08:56:49.60 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3711 secondes'

2025-01-23 08:56:49.64 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-23 08:56:49.75 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1133 secondes'

2025-01-23 08:56:49.78 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-23 08:56:49.84 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,0605 secondes'

2025-01-23 08:56:49.87 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,6758 secondes'

2025-01-23 08:56:49.96 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23 *** = '0,8008 secondes'

2025-01-23 08:56:49.99 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click *** = '1,7207 secondes'

2025-01-23 08:57:07.84 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Regarder documentation légale]
2025-01-23 08:57:07.89 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0508 secondes'

2025-01-23 08:57:09.69 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.5]
2025-01-23 08:57:09.73 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0430 secondes'

2025-01-23 08:57:09.76 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,50]
2025-01-23 08:57:09.80 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0410 secondes'

2025-01-23 08:57:36.31 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0,2]
2025-01-23 08:57:36.35 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0488 secondes'

2025-01-23 08:57:36.39 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,20]
2025-01-23 08:57:36.42 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0410 secondes'

2025-01-23 08:57:37.54 | vgervais | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-23 08:57:37.58 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-23 08:57:38.18 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,6094 secondes'

2025-01-23 08:57:38.21 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-23 08:57:38.28 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0645 secondes'

2025-01-23 08:57:38.31 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-01-23
2025-01-23 08:57:38.38 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0742 secondes'

2025-01-23 08:57:38.41 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23
2025-01-23 08:57:38.45 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-23 08:57:38.49 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-23 08:57:38.52 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-23 08:57:38.64 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1270 secondes'

2025-01-23 08:57:38.68 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-23 08:57:38.82 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1445 secondes'

2025-01-23 08:57:38.86 | vgervais | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3750 secondes'

2025-01-23 08:57:38.89 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-23 08:57:39.00 | vgervais | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1133 secondes'

2025-01-23 08:57:39.04 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-23 08:57:39.09 | vgervais | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,0625 secondes'

2025-01-23 08:57:39.13 | vgervais | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,6797 secondes'

2025-01-23 08:57:39.20 | vgervais | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-23 *** = '0,7930 secondes'

