2024-11-04 23:22:09.29 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate |  | 31
2024-11-05 05:22:07.03 | Guillaume | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-05 05:22:07.44 | Guillaume | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,5254 sec. | 31

2024-11-05 05:22:07.63 | Guillaume | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-05 05:22:09.31 | Guillaume | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-05 05:22:09.94 | Guillaume | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-05 05:22:10.23 | Guillaume | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-05 05:22:10.43 | Guillaume | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile | 2,9199 sec. | 31

2024-11-05 05:22:10.63 | Guillaume | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-05 05:22:10.82 | Guillaume | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,2969 sec. | 31

2024-11-05 05:22:11.15 | Guillaume | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-05 05:22:11.58 | Guillaume | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,5371 sec. | 31

2024-11-05 05:22:11.76 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-05 05:22:11.94 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,2949 sec. | 31

2024-11-05 05:22:12.35 | Guillaume | APP_v5.D.1.xlsb | ThisWorkbook:Workbook_Open | 5,6230 sec. | 31

2024-11-05 05:22:15.67 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate |  | 31
2024-11-05 05:22:15.86 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All |  | 31
2024-11-05 05:22:17.34 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All | 1,6113 sec. | 31

2024-11-05 05:22:17.54 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All |  | 31
2024-11-05 05:22:18.47 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary |  | 31
2024-11-05 05:22:19.14 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary | 0,7832 sec. | 31

2024-11-05 05:22:19.41 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All | 1,9805 sec. | 31

2024-11-05 05:22:19.58 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells |  | 31
2024-11-05 05:22:19.88 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells | 0,4082 sec. | 31

2024-11-05 05:22:20.11 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ) |  | 31
2024-11-05 05:22:20.34 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,3496 sec. | 31

2024-11-05 05:22:20.56 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 5 parsedDate='05/11/24' |  | 31
2024-11-05 05:22:20.79 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate | 5,2285 sec. | 31

2024-11-05 05:22:34.65 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Carte de crédit |  | 31
2024-11-05 05:22:34.86 | Guillaume | APP_v5.D.1.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 2010 |  | 31
2024-11-05 05:22:35.04 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description | 0,4980 sec. | 31

2024-11-05 05:22:39.04 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Encaisse |  | 31
2024-11-05 05:22:39.23 | Guillaume | APP_v5.D.1.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 1000 |  | 31
2024-11-05 05:22:39.40 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description | 0,4805 sec. | 31

2024-11-05 05:22:41.00 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:JE_Update |  | 31
2024-11-05 05:22:42.18 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB |  | 31
2024-11-05 05:22:43.80 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_Trans_Add_Record_To_DB | 1,7461 sec. | 31

2024-11-05 05:22:43.99 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally |  | 31
2024-11-05 05:22:44.70 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_Trans_Add_Record_Locally | 0,8262 sec. | 31

2024-11-05 05:22:44.93 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells |  | 31
2024-11-05 05:22:45.21 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells | 0,3945 sec. | 31

2024-11-05 05:22:46.76 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:JE_Update | 4,8789 sec. | 31

2024-11-05 05:22:49.37 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-05 05:22:49.57 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,3164 sec. | 31

2024-11-05 05:22:51.05 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-05 05:22:51.24 | Guillaume | APP_v5.D.1.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-05 05:22:52.36 | Guillaume | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-05 05:22:52.62 | Guillaume | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-05 05:22:52.87 | Guillaume | APP_v5.D.1.xlsb | modImport:Client_List_Import_All | 1,7324 sec. | 31

2024-11-05 05:22:53.04 | Guillaume | APP_v5.D.1.xlsb | modImport:TEC_Import_All |  | 31
2024-11-05 05:22:54.65 | Guillaume | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-05 05:22:54.99 | Guillaume | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-05 05:22:55.26 | Guillaume | APP_v5.D.1.xlsb | modImport:TEC_Import_All | 2,3340 sec. | 31

2024-11-05 05:22:55.47 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate | 4,5293 sec. | 31

2024-11-05 05:22:58.91 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 31
2024-11-05 05:22:59.10 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate | 0,2949 sec. | 31

2024-11-05 05:22:59.62 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 31
2024-11-05 05:22:59.80 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 5 parsedDate='05/11/24' |  | 31
2024-11-05 05:22:59.99 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate | 0,4805 sec. | 31

2024-11-05 05:23:00.17 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate - 05/11/2024 |  | 31
2024-11-05 05:23:00.37 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/05/11/2024 |  | 31
2024-11-05 05:23:00.95 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,6953 sec. | 31

2024-11-05 05:23:01.14 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-05 05:23:01.37 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-05 05:23:01.55 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-05 05:23:02.12 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,6934 sec. | 31

2024-11-05 05:23:02.32 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-05 05:23:02.91 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,6992 sec. | 31

2024-11-05 05:23:03.08 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 1,8301 sec. | 31

2024-11-05 05:23:03.26 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-05 05:23:04.28 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 1,1270 sec. | 31

2024-11-05 05:23:04.79 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 3,7559 sec. | 31

2024-11-05 05:23:04.96 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate | 4,9043 sec. | 31

2024-11-05 05:23:08.64 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - Les Éditions Reynald Goulet Inc. [Reynald Goulet] |  | 31
2024-11-05 05:23:08.84 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Les Éditions Reynald Goulet Inc. [Reynald Goulet] |  | 31
2024-11-05 05:23:09.02 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1768 | 0,2910 sec. | 31

2024-11-05 05:23:09.19 | Guillaume | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate - 1768 |  | 31
2024-11-05 05:23:09.37 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,8398 sec. | 31

2024-11-05 05:23:31.67 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 31
2024-11-05 05:23:31.89 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,3438 sec. | 31

2024-11-05 05:23:33.04 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 31
2024-11-05 05:23:33.28 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,3789 sec. | 31

2024-11-05 05:23:33.51 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 31
2024-11-05 05:23:33.70 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,3145 sec. | 31

2024-11-05 05:23:35.14 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-11-05 05:23:35.31 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-11-05 05:23:35.50 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - TECID = '0' |  | 31
2024-11-05 05:23:36.46 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - AddingNewRecord - TECID = 0 |  | 31
2024-11-05 05:23:36.86 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le nouvel enregistrement, TECID a été assigné à 2184 |  | 31
2024-11-05 05:23:37.04 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Création du RecordSet |  | 31
2024-11-05 05:23:37.23 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le RecordSet a été ajouté pour le TECID = 2184 |  | 31
2024-11-05 05:23:38.00 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 2,6328 sec. | 31

2024-11-05 05:23:38.19 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally |  | 31
2024-11-05 05:23:39.01 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0,9219 sec. | 31

2024-11-05 05:23:39.18 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-05 |  | 31
2024-11-05 05:23:39.84 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,7832 sec. | 31

2024-11-05 05:23:40.03 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-05 05:23:40.28 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-05 05:23:40.46 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-05 05:23:41.02 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,6797 sec. | 31

2024-11-05 05:23:41.20 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-05 05:23:41.90 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,8242 sec. | 31

2024-11-05 05:23:42.09 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 1,9238 sec. | 31

2024-11-05 05:23:42.27 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-05 05:23:43.36 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 1,1914 sec. | 31

2024-11-05 05:23:43.97 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 4,0625 sec. | 31

2024-11-05 05:23:44.16 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-05 05:23:44.34 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-05 05:23:44.87 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,6523 sec. | 31

2024-11-05 05:23:45.06 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-05 05:23:45.75 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,8066 sec. | 31

2024-11-05 05:23:45.93 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 1,8750 sec. | 31

2024-11-05 05:23:46.10 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne | 10,9004 sec. | 31

2024-11-05 05:23:46.28 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click | 11,2578 sec. | 31

2024-11-05 05:44:59.01 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 31
2024-11-05 05:44:59.24 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 4 parsedDate='04/11/24' |  | 31
2024-11-05 05:44:59.47 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate | 0,6113 sec. | 31

2024-11-05 05:44:59.70 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate - 04/11/24 |  | 31
2024-11-05 05:44:59.87 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/04/11/24 |  | 31
2024-11-05 05:45:00.47 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,7168 sec. | 31

2024-11-05 05:45:00.66 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-05 05:45:00.88 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-05 05:45:01.05 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-05 05:45:01.53 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,5840 sec. | 31

2024-11-05 05:45:01.71 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-05 05:45:02.31 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,7188 sec. | 31

2024-11-05 05:45:02.49 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 1,7266 sec. | 31

2024-11-05 05:45:02.67 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-05 05:45:03.52 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,9590 sec. | 31

2024-11-05 05:45:04.05 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 3,4980 sec. | 31

2024-11-05 05:45:04.22 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate | 4,6387 sec. | 31

2024-11-05 05:45:08.41 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - Mylène Lapierre CPA Inc. |  | 31
2024-11-05 05:45:08.59 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Mylène Lapierre CPA Inc. |  | 31
2024-11-05 05:45:08.78 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1798 | 0,2949 sec. | 31

2024-11-05 05:45:08.95 | Guillaume | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate - 1798 |  | 31
2024-11-05 05:45:09.13 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,8516 sec. | 31

2024-11-05 05:45:29.04 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 31
2024-11-05 05:45:29.27 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,3457 sec. | 31

2024-11-05 05:45:34.52 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 31
2024-11-05 05:45:34.72 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,3086 sec. | 31

2024-11-05 05:45:34.91 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 31
2024-11-05 05:45:35.09 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,2910 sec. | 31

2024-11-05 05:45:35.99 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-11-05 05:45:36.17 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-11-05 05:45:36.35 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - TECID = '0' |  | 31
2024-11-05 05:45:37.33 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - AddingNewRecord - TECID = 0 |  | 31
2024-11-05 05:45:37.73 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le nouvel enregistrement, TECID a été assigné à 2185 |  | 31
2024-11-05 05:45:37.91 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Création du RecordSet |  | 31
2024-11-05 05:45:38.08 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le RecordSet a été ajouté pour le TECID = 2185 |  | 31
2024-11-05 05:45:38.93 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 2,6914 sec. | 31

2024-11-05 05:45:39.11 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally |  | 31
2024-11-05 05:45:39.85 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0,8965 sec. | 31

2024-11-05 05:45:40.06 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-04 |  | 31
2024-11-05 05:45:40.68 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,7188 sec. | 31

2024-11-05 05:45:40.85 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-05 05:45:41.11 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-05 05:45:41.28 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-05 05:45:41.82 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,6562 sec. | 31

2024-11-05 05:45:41.00 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-05 05:45:42.56 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,6699 sec. | 31

