
2024-10-07 06:58:20.600 | User | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Initialize @00091 | 31
2024-10-07 07:01:11.300 | User | info      | @00550 - dateValue = 2024-10-05   type = Date   après assignation | 31

2024-10-07 07:01:11.460 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:01:11.550 | User | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-05   type = Date | 31
2024-10-07 07:01:11.600 | User | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-05   type = Date après assignation | 31

2024-10-07 07:01:11.760 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:01:11.980 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:12.030 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:12.070 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:01:12.160 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-07 07:01:12.260 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

2024-10-07 07:01:12.590 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables @00739 | 31

2024-10-07 07:01:12.890 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:12.940 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:15.310 | User | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-07 07:01:15.350 | User | info      | @00178 - .txtDate.value = 2024-10-05   y = 2024   m = 10   d = 5 | 31

2024-10-07 07:01:18.370 | User | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-07 07:01:18.460 | User | info      | @00193 - .txtDate.value = 2024-10-06   y = 2024   m = 10   d = 6   type = String | 31
2024-10-07 07:01:18.550 | User | info      | @00199 - fullDate = 2024-10-06   y = 2024   m = 10   d = 6   type = Date | 31
2024-10-07 07:01:18.600 | User | info      | @00223 - fullDate = 2024-10-06   y = 2024   m = 10   d = 6   type = Date | 31
2024-10-07 07:01:18.650 | User | info      | @00228 - DateSerial = 2024-10-07   y = 2024   m = 10   d = 7   type = Date | 31

2024-10-07 07:01:18.750 | User | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-07 07:01:18.850 | User | event     | @00269 - .txtDate.value =  = 2024-10-06   y = 2024   m = 10   d = 6   type = String | 31
2024-10-07 07:01:18.900 | User | info      | @00277 - dateStr =  = 2024-10-06   y = 2024   m = 10   d = 6   type = String   après assignation | 31
2024-10-07 07:01:18.950 | User | info      | @00284 - dateFormated =  = 2024-10-06   y = 2024   m = 10   d = 6   type = Date   après assignation | 31
2024-10-07 07:01:19.000 | User | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 2024-10-06   y = 2024   m = 10   d = 6   type = Date   après assignation | 31

2024-10-07 07:01:19.060 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:01:19.160 | User | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-06   type = Date | 31
2024-10-07 07:01:19.200 | User | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-06   type = Date après assignation | 31

2024-10-07 07:01:19.340 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:01:19.480 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:01:30.700 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-07 07:01:30.810 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:30.850 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:33.280 | User | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-07 07:01:33.370 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:33.410 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:35.530 | User | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-07 07:01:35.700 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:35.740 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-07 07:01:36.910 | User | entering  | E n t e r i n g   ufSaisieHeures:chbFacturable_AfterUpdate @00424 | 31

2024-10-07 07:01:36.000 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:37.040 | User | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-07 07:01:41.420 | User | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-07 07:01:41.530 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-07 07:01:41.670 | User | info      | @00031 - avant = 2024-10-06   type = String   après assignation | 31
2024-10-07 07:01:41.720 | User | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 6   type = String | 31
2024-10-07 07:01:41.770 | User | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-06   type = String   après assignation | 31

2024-10-07 07:01:41.810 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-07 07:01:42.440 | User | ADD++++++ | 1538 | ML | 2024-10-06 | 5 | z_Administratif_Autres non chargeables | Travail sur Outlook - fichiers clients | 1,00 | FAUX |  | 2024-10-07 07:01:42 | 31

2024-10-07 07:01:42.750 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-07 07:01:42.850 | User | info      | @00550 - dateValue = 2024-10-06   type = Date   après assignation | 31

2024-10-07 07:01:42.990 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:01:43.090 | User | info      | @00203 - wshAdmin.Range('TEC_Date').value = 2024-10-06   type = Date | 31
2024-10-07 07:01:43.150 | User | info      | @00206 - wshTEC_Local.Range('S3').value = 2024-10-06   type = Date après assignation | 31

2024-10-07 07:01:43.320 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:01:43.550 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:43.590 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:43.640 | User | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:01:43.750 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

2024-10-07 07:01:43.830 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data @00686 | 31

2024-10-07 07:01:44.160 | User | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables @00739 | 31

2024-10-07 07:01:44.510 | User | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:01:44.550 | User | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:01:45.830 | User | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Terminate @00099 | 31

2024-10-07 07:41:41.750 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Initialize @00091 | 31

2024-10-07 07:41:41.860 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:UserForm_Activate @00014 | 31

2024-10-07 07:41:42.800 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:41:42.820 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:41:59.400 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:cmbProfessionnel_AfterUpdate @00136 | 31

2024-10-07 07:41:59.470 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-07 07:41:59.480 | GuillaumeCharron | info      | @00178 - .txtDate.value = 07/10/2024   y = 2024   m = 10   d = 7 | 31

2024-10-07 07:42:01.710 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-07 07:42:01.740 | GuillaumeCharron | info      | @00193 - .txtDate.value = 06/10   y = 2024   m = 10   d = 6   type = String | 31
2024-10-07 07:42:01.780 | GuillaumeCharron | info      | @00199 - fullDate = 06/10/24   y = 2024   m = 10   d = 6   type = Date | 31
2024-10-07 07:42:01.800 | GuillaumeCharron | info      | @00223 - fullDate = 06/10/24   y = 2024   m = 10   d = 6   type = Date | 31
2024-10-07 07:42:01.810 | GuillaumeCharron | info      | @00228 - DateSerial = 07/10/24   y = 2024   m = 10   d = 7   type = Date | 31

2024-10-07 07:42:01.840 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-07 07:42:01.870 | GuillaumeCharron | event     | @00269 - .txtDate.value =  = 06/10/2024   y = 2024   m = 10   d = 6   type = String | 31
2024-10-07 07:42:01.890 | GuillaumeCharron | info      | @00277 - dateStr =  = 06/10/2024   y = 2024   m = 10   d = 6   type = String   après assignation | 31
2024-10-07 07:42:01.900 | GuillaumeCharron | info      | @00284 - dateFormated =  = 06/10/24   y = 2024   m = 10   d = 6   type = Date   après assignation | 31
2024-10-07 07:42:01.930 | GuillaumeCharron | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 06/10/24   y = 2024   m = 10   d = 6   type = Date   après assignation | 31

2024-10-07 07:42:01.950 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:42:01.990 | GuillaumeCharron | info      | @00203 - wshAdmin.Range('TEC_Date').value = 06/10/24   type = Date | 31
2024-10-07 07:42:02.010 | GuillaumeCharron | info      | @00206 - wshTEC_Local.Range('S3').value = 06/10/24   type = Date après assignation | 31

2024-10-07 07:42:02.180 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:42:02.260 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:42:02.280 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:42:02.330 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:48:01.500 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_Enter @00172 | 31
2024-10-07 07:48:01.520 | GuillaumeCharron | info      | @00178 - .txtDate.value = 06/10/2024   y = 2024   m = 10   d = 6 | 31

2024-10-07 07:48:03.900 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_BeforeUpdate @00187 | 31
2024-10-07 07:48:03.930 | GuillaumeCharron | info      | @00193 - .txtDate.value = 07/10/2024   y = 2024   m = 10   d = 7   type = String | 31
2024-10-07 07:48:03.960 | GuillaumeCharron | info      | @00199 - fullDate = 07/10/24   y = 2024   m = 10   d = 7   type = Date | 31
2024-10-07 07:48:03.980 | GuillaumeCharron | info      | @00223 - fullDate = 07/10/24   y = 2024   m = 10   d = 7   type = Date | 31
2024-10-07 07:48:03.990 | GuillaumeCharron | info      | @00228 - DateSerial = 07/10/24   y = 2024   m = 10   d = 7   type = Date | 31

2024-10-07 07:48:04.020 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtDate_AfterUpdate @00265 | 31
2024-10-07 07:48:04.050 | GuillaumeCharron | event     | @00269 - .txtDate.value =  = 07/10/2024   y = 2024   m = 10   d = 7   type = String | 31
2024-10-07 07:48:04.070 | GuillaumeCharron | info      | @00277 - dateStr =  = 07/10/2024   y = 2024   m = 10   d = 7   type = String   après assignation | 31
2024-10-07 07:48:04.080 | GuillaumeCharron | info      | @00284 - dateFormated =  = 07/10/24   y = 2024   m = 10   d = 7   type = Date   après assignation | 31
2024-10-07 07:48:04.110 | GuillaumeCharron | info      | @00291 - wshAdmin.Range('TEC_Date').value =  = 07/10/24   y = 2024   m = 10   d = 7   type = Date   après assignation | 31

2024-10-07 07:48:04.120 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:48:04.150 | GuillaumeCharron | info      | @00203 - wshAdmin.Range('TEC_Date').value = 07/10/24   type = Date | 31
2024-10-07 07:48:04.170 | GuillaumeCharron | info      | @00206 - wshTEC_Local.Range('S3').value = 07/10/24   type = Date après assignation | 31

2024-10-07 07:48:04.270 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:48:04.310 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:48:06.740 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_AfterUpdate @00333 | 31

2024-10-07 07:48:06.770 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:48:06.790 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:48:16.400 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtActivite_AfterUpdate @00351 | 31

2024-10-07 07:48:16.430 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:48:16.450 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:48:17.550 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtHeures_AfterUpdate @00369 | 31

2024-10-07 07:48:17.610 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:48:17.630 | GuillaumeCharron | info      | @00835 - Paramètres : add = Vrai  update = Faux  delete = Faux  clear = Vrai | 31

2024-10-07 07:48:18.680 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:cmdAdd_Click @00479 | 31

2024-10-07 07:48:18.710 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Ajoute_Ligne @00018 | 31
2024-10-07 07:48:18.770 | GuillaumeCharron | info      | @00031 - avant = 07/10/2024   type = String   après assignation | 31
2024-10-07 07:48:18.790 | GuillaumeCharron | info      | @00036 - ufSaisieHeures.txtDate.value --->   y = 2024   m = 10   d = 7   type = String | 31
2024-10-07 07:48:18.800 | GuillaumeCharron | info      | @00048 - ufSaisieHeures.txtDate.value = 2024-10-07   type = String   après assignation | 31
2024-10-07 07:48:18.820 | GuillaumeCharron | adjust    | @00051 - La date a été changée pour corriger la date - 07/10/2024 ---> 2024-10-07 | 31

2024-10-07 07:48:18.830 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB @00309 | 31
2024-10-07 07:48:19.020 | GuillaumeCharron | ADD++++++ | 1539 | GC | 07/10/24 | 1350 | Acier Altitube Inc. [Philippe Robillard] | répondre à Philippe pour délais | 0,40 | VRAI |  | 2024-10-07 07:48:19 | 31

2024-10-07 07:48:19.180 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Record_Add_Or_Update_Locally @00536 | 31
2024-10-07 07:48:19.210 | GuillaumeCharron | info      | @00550 - dateValue = 07/10/24   type = Date   après assignation | 31

2024-10-07 07:48:19.320 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Get_All_TEC_AF @00190 | 31
2024-10-07 07:48:19.360 | GuillaumeCharron | info      | @00203 - wshAdmin.Range('TEC_Date').value = 07/10/24   type = Date | 31
2024-10-07 07:48:19.370 | GuillaumeCharron | info      | @00206 - wshTEC_Local.Range('S3').value = 07/10/24   type = Date après assignation | 31

2024-10-07 07:48:19.460 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours @00621 | 31

2024-10-07 07:48:19.530 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:Buttons_Enabled_True_Or_False @00833 | 31
2024-10-07 07:48:19.540 | GuillaumeCharron | info      | @00835 - Paramètres : add = Faux  update = Faux  delete = Faux  clear = Faux | 31

2024-10-07 07:48:19.560 | GuillaumeCharron | entering  | E n t e r i n g   ufSaisieHeures:txtClient_Enter @00323 | 31

2024-10-07 07:48:19.600 | GuillaumeCharron | entering  | E n t e r i n g   modTEC_Saisie:TEC_TdB_Update_All @00726 | 31

