2025-01-06 09:28:17.90 | Annie | APP_v5.G.5.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2025-01-06 15:07:02.99 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-06 15:07:03.07 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-06 15:07:03.16 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-06 15:07:03.36 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0.2031 secondes'

2025-01-06 15:07:03.45 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-06 15:07:03.74 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0.3125 secondes'

2025-01-06 15:07:03.82 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0.7539 secondes'

2025-01-06 15:07:03.89 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-06 15:07:04.12 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0.2461 secondes'

2025-01-06 15:07:04.20 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-06 15:07:04.36 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0.1797 secondes'

2025-01-06 15:07:04.44 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1.4609 secondes'

2025-01-06 15:07:04.65 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06 = '1.8008 secondes'

2025-01-06 15:07:04.74 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtDate_AfterUpdate = '2.3047 secondes'

2025-01-06 15:07:12.11 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[2960-4105 Québec Inc. [Mini Excavation MB]]
2025-01-06 15:07:12.20 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 2960-4105 Québec Inc. [Mini Excavation MB]
2025-01-06 15:07:12.29 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 2040 = '0.1055 secondes'

2025-01-06 15:07:12.37 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0.2734 secondes'

2025-01-06 15:07:23.36 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Paies pour 2 semaines]
2025-01-06 15:07:23.45 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = '0.1172 secondes'

2025-01-06 15:07:29.56 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.25]
2025-01-06 15:07:29.66 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = '0.1055 secondes'

2025-01-06 15:07:29.74 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit[0.25]
2025-01-06 15:07:29.81 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit = '0.0859 secondes'

2025-01-06 15:07:33.58 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Paies]
2025-01-06 15:07:33.66 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = '0.0977 secondes'

2025-01-06 15:07:53.36 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.25]
2025-01-06 15:07:53.44 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = '0.1016 secondes'

2025-01-06 15:07:53.53 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit[0.25]
2025-01-06 15:07:53.61 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit = '0.0977 secondes'

2025-01-06 15:07:55.30 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-06 15:07:55.39 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-06 15:07:55.48 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-06 15:07:57.83 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = '2.3672 secondes'

2025-01-06 15:07:57.93 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-06 15:07:58.07 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = '0.1484 secondes'

2025-01-06 15:07:58.14 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 3/2025-01-06
2025-01-06 15:07:58.35 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0.2227 secondes'

2025-01-06 15:07:58.42 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06
2025-01-06 15:07:58.53 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-06 15:07:58.60 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-06 15:07:58.67 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-06 15:07:58.86 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0.1992 secondes'

2025-01-06 15:07:58.94 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-06 15:07:59.20 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0.2734 secondes'

2025-01-06 15:07:59.27 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0.6836 secondes'

2025-01-06 15:07:59.34 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-06 15:07:59.57 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0.2344 secondes'

2025-01-06 15:07:59.64 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-06 15:07:59.80 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0.1797 secondes'

2025-01-06 15:07:59.88 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1.3633 secondes'

2025-01-06 15:08:00.11 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06 = '1.6992 secondes'

2025-01-06 15:08:00.19 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = '4.8086 secondes'

2025-01-06 15:08:00.28 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click = '4.9961 secondes'

2025-01-06 15:08:05.55 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Constructions Gilles Garry Inc. [Gilles Garry]]
2025-01-06 15:08:05.63 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - Constructions Gilles Garry Inc. [Gilles Garry]
2025-01-06 15:08:05.72 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 2018 = '0.1055 secondes'

2025-01-06 15:08:05.80 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0.2695 secondes'

2025-01-06 15:08:33.68 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Annulation d'une paie, refaire les DAS de décembre, relevé emploi]
2025-01-06 15:08:33.76 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = '0.1016 secondes'

2025-01-06 15:08:35.61 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.75]
2025-01-06 15:08:35.69 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = '0.0938 secondes'

2025-01-06 15:08:35.76 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit[0.75]
2025-01-06 15:08:35.84 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit = '0.0977 secondes'

2025-01-06 15:08:43.39 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-06 15:08:43.48 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-06 15:08:43.56 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-06 15:08:45.72 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = '2.1758 secondes'

2025-01-06 15:08:45.80 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-06 15:08:45.96 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = '0.1719 secondes'

2025-01-06 15:08:46.04 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 3/2025-01-06
2025-01-06 15:08:46.23 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0.1992 secondes'

2025-01-06 15:08:46.30 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06
2025-01-06 15:08:46.43 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-06 15:08:46.50 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-06 15:08:46.59 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-06 15:08:46.84 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0.2617 secondes'

2025-01-06 15:08:46.92 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-06 15:08:47.20 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0.2891 secondes'

2025-01-06 15:08:47.27 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0.7773 secondes'

2025-01-06 15:08:47.34 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-06 15:08:47.55 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0.2266 secondes'

2025-01-06 15:08:47.63 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-06 15:08:47.78 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0.1680 secondes'

2025-01-06 15:08:47.86 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1.4492 secondes'

2025-01-06 15:08:48.07 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06 = '1.7812 secondes'

2025-01-06 15:08:48.14 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = '4.6875 secondes'

2025-01-06 15:08:48.22 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click = '4.8438 secondes'

2025-01-06 15:08:56.88 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Association de services aux entreprises Proteck [Pierre Dastous]]
2025-01-06 15:08:56.95 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - Association de services aux entreprises Proteck [Pierre Dastous]
2025-01-06 15:08:57.04 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 2036 = '0.1016 secondes'

2025-01-06 15:08:57.11 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0.2695 secondes'

2025-01-06 15:09:22.46 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Comptabilité de novembre et décembre. Mise à jour du fichier Excellence, états financiers.]
2025-01-06 15:09:22.54 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = '0.0977 secondes'

2025-01-06 15:09:29.75 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[1]
2025-01-06 15:09:29.84 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = '0.1094 secondes'

2025-01-06 15:09:29.92 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit[1.00]
2025-01-06 15:09:30.00 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit = '0.0977 secondes'

2025-01-06 15:09:31.45 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-06 15:09:31.54 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-06 15:09:31.62 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-06 15:09:33.91 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = '2.3086 secondes'

2025-01-06 15:09:33.00 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-06 15:09:34.15 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = '0.1719 secondes'

2025-01-06 15:09:34.23 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 3/2025-01-06
2025-01-06 15:09:34.42 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0.2070 secondes'

2025-01-06 15:09:34.50 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06
2025-01-06 15:09:34.61 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-06 15:09:34.70 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-06 15:09:34.79 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-06 15:09:34.98 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0.2109 secondes'

2025-01-06 15:09:35.07 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-06 15:09:35.34 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0.2773 secondes'

2025-01-06 15:09:35.44 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0.7500 secondes'

2025-01-06 15:09:35.52 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-06 15:09:35.76 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0.2617 secondes'

2025-01-06 15:09:35.84 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-06 15:09:35.99 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0.1641 secondes'

2025-01-06 15:09:36.06 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1.4648 secondes'

2025-01-06 15:09:36.27 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06 = '1.7852 secondes'

2025-01-06 15:09:36.35 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = '4.8320 secondes'

2025-01-06 15:09:36.43 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click = '4.9961 secondes'

2025-01-06 15:09:42.83 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2025-01-06 15:09:42.91 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2025-01-06 15:09:42.98 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 = '0.0859 secondes'

2025-01-06 15:09:43.05 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0.2383 secondes'

2025-01-06 15:09:56.50 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Revision des dossiers avec Michel]
2025-01-06 15:09:56.58 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = '0.0977 secondes'

2025-01-06 15:09:58.89 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[1]
2025-01-06 15:09:58.98 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = '0.1055 secondes'

2025-01-06 15:09:59.07 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit[1.00]
2025-01-06 15:09:59.16 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtHeures_Exit = '0.1016 secondes'

2025-01-06 15:09:59.24 | Annie | APP_v5.J.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate
2025-01-06 15:09:59.32 | Annie | APP_v5.J.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate = '0.0898 secondes'

2025-01-06 15:10:00.33 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-06 15:10:00.41 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-06 15:10:00.50 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-06 15:10:02.77 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = '2.2891 secondes'

2025-01-06 15:10:02.87 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-06 15:10:03.02 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = '0.1641 secondes'

2025-01-06 15:10:03.09 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 3/2025-01-06
2025-01-06 15:10:03.28 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = '0.1953 secondes'

2025-01-06 15:10:03.35 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06
2025-01-06 15:10:03.49 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-06 15:10:03.57 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-06 15:10:03.65 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-06 15:10:03.84 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0.2070 secondes'

2025-01-06 15:10:03.94 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-06 15:10:04.18 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0.2539 secondes'

2025-01-06 15:10:04.27 | Annie | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0.7148 secondes'

2025-01-06 15:10:04.35 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-06 15:10:04.54 | Annie | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0.2148 secondes'

2025-01-06 15:10:04.64 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2025-01-06 15:10:04.79 | Annie | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0.1680 secondes'

2025-01-06 15:10:04.87 | Annie | APP_v5.J.xlsb | wshTEC_TDB_Data:Worksheet_Change = '1.4023 secondes'

2025-01-06 15:10:05.14 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 3/2025-01-06 = '1.8164 secondes'

2025-01-06 15:10:05.23 | Annie | APP_v5.J.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = '4.8398 secondes'

2025-01-06 15:10:05.30 | Annie | APP_v5.J.xlsb | ufSaisieHeures:cmdAdd_Click = '4.9922 secondes'

2025-01-06 15:10:20.56 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate[morin]
2025-01-06 15:10:20.64 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - morin
2025-01-06 15:10:20.71 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 2032 = '0.0859 secondes'

2025-01-06 15:10:20.80 | Annie | APP_v5.J.xlsb | ufSaisieHeures:txtClient_AfterUpdate = '0.2539 secondes'

2025-01-06 15:10:20.89 | Annie | APP_v5.J.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2025-01-06 15:10:21.04 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - P. Morin Courtier en assurances Inc. [John Morin]
2025-01-06 15:10:21.11 | Annie | APP_v5.J.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1592 = '0.0820 secondes'

2025-01-06 15:10:21.18 | Annie | APP_v5.J.xlsb | ufSaisieHeures:lstboxNomClient_DblClick = '0.3047 secondes'

