2024-11-10 06:53:47.71 | Guillaume | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-10 06:54:31.97 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le nouvel enregistrement, TECID a été assigné à 2318 |  | 31
2024-11-10 06:54:32.17 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Création du RecordSet |  | 31
2024-11-10 06:54:32.36 | Guillaume | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le RecordSet a été ajouté pour le TECID = 2318 |  | 31
2024-11-10 06:54:33.17 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 2,7695 sec. | 31

2024-11-10 06:54:33.38 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally |  | 31
2024-11-10 06:54:33.63 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0,3750 sec. | 31

2024-11-10 06:54:33.83 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-11-10 |  | 31
2024-11-10 06:54:34.12 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,4199 sec. | 31

2024-11-10 06:54:34.32 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-10 06:54:34.52 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-10 06:54:34.72 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-10 06:54:35.18 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,5859 sec. | 31

2024-11-10 06:54:35.41 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-10 06:54:35.81 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,5410 sec. | 31

2024-11-10 06:54:36.02 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 1,6309 sec. | 31

2024-11-10 06:54:36.22 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-11-10 06:54:36.58 | Guillaume | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,4805 sec. | 31

2024-11-10 06:54:36.89 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2,7070 sec. | 31

2024-11-10 06:54:37.10 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-10 06:54:37.31 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-10 06:54:37.76 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,5801 sec. | 31

2024-11-10 06:54:37.96 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-11-10 06:54:38.29 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,4375 sec. | 31

2024-11-10 06:54:38.47 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 1,4980 sec. | 31

2024-11-10 06:54:38.67 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne | 8,4492 sec. | 31

2024-11-10 06:54:38.86 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click | 8,8281 sec. | 31

2024-11-10 09:14:52.20 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate |  | 31
2024-11-10 09:14:52.45 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate | 0,3789 sec. | 31

2024-11-10 09:14:53.46 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-10 09:14:53.67 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,3242 sec. | 31

2024-11-10 09:14:56.16 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate |  | 31
2024-11-10 09:14:56.37 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All |  | 31
2024-11-10 09:14:57.89 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All | 1,6406 sec. | 31

2024-11-10 09:14:58.09 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All |  | 31
2024-11-10 09:14:59.03 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary |  | 31
2024-11-10 09:14:59.25 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary | 0,3438 sec. | 31

2024-11-10 09:14:59.54 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All | 1,5859 sec. | 31

2024-11-10 09:14:59.75 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells |  | 31
2024-11-10 09:14:59.00 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells | 0,3828 sec. | 31

2024-11-10 09:15:00.24 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ) |  | 31
2024-11-10 09:15:00.50 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,3867 sec. | 31

2024-11-10 09:15:00.72 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 10 parsedDate='10/11/24' |  | 31
2024-11-10 09:15:00.93 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate | 4,8945 sec. | 31

2024-11-10 09:15:23.28 | Guillaume | APP_v5.D.1.xlsb | modImport:Fournisseur_List_Import_All |  | 31
2024-11-10 09:15:24.26 | Guillaume | APP_v5.D.1.xlsb | modImport:Fournisseur_List_Import_All | 1,1055 sec. | 31

2024-11-10 09:15:24.48 | Guillaume | APP_v5.D.1.xlsb | wshDEB_Saisie:Worksheet_Activate |  | 31
2024-11-10 09:15:24.70 | Guillaume | APP_v5.D.1.xlsb | modImport:DEB_Trans_Import_All |  | 31
2024-11-10 09:15:25.80 | Guillaume | APP_v5.D.1.xlsb | modImport:DEB_Trans_Import_All | 1,2266 sec. | 31

2024-11-10 09:15:25.00 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All |  | 31
2024-11-10 09:15:27.15 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All | 1,2734 sec. | 31

2024-11-10 09:15:27.37 | Guillaume | APP_v5.D.1.xlsb | modImport:Fournisseur_List_Import_All |  | 31
2024-11-10 09:15:28.22 | Guillaume | APP_v5.D.1.xlsb | modImport:Fournisseur_List_Import_All | 0,9883 sec. | 31

2024-11-10 09:15:28.44 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshDEB_Saisie) |  | 31
2024-11-10 09:15:28.68 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,3555 sec. | 31

2024-11-10 09:15:28.86 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells |  | 31
2024-11-10 09:15:29.12 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells | 0,3906 sec. | 31

2024-11-10 09:15:29.33 | Guillaume | APP_v5.D.1.xlsb | wshDEB_Saisie:Worksheet_Activate | 4,9688 sec. | 31

2024-11-10 09:15:58.41 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais de communications |  | 31
2024-11-10 09:15:58.64 | Guillaume | APP_v5.D.1.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5070 |  | 31
2024-11-10 09:15:58.83 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description | 0,5312 sec. | 31

2024-11-10 09:16:25.22 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais informatiques & Site web |  | 31
2024-11-10 09:16:25.45 | Guillaume | APP_v5.D.1.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5050 |  | 31
2024-11-10 09:16:25.65 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description | 0,5547 sec. | 31

2024-11-10 09:16:38.14 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais de poste |  | 31
2024-11-10 09:16:38.37 | Guillaume | APP_v5.D.1.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5120 |  | 31
2024-11-10 09:16:38.57 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description | 0,5664 sec. | 31

2024-11-10 09:17:17.20 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description - Frais de Formations |  | 31
2024-11-10 09:17:17.47 | Guillaume | APP_v5.D.1.xlsb |      modFunctions:Fn_GetGL_Code_From_GL_Description - 5040 |  | 31
2024-11-10 09:17:17.68 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_GetGL_Code_From_GL_Description | 0,6055 sec. | 31

2024-11-10 09:18:00.45 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_Update |  | 31
2024-11-10 09:18:00.73 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB |  | 31
2024-11-10 09:18:02.48 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_To_DB | 1,8828 sec. | 31

2024-11-10 09:18:02.69 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally |  | 31
2024-11-10 09:18:03.07 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Trans_Add_Record_Locally | 0,5039 sec. | 31

2024-11-10 09:18:03.28 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation |  | 31
2024-11-10 09:18:03.50 | Guillaume | APP_v5.D.1.xlsb | modGL_Posting:GL_Posting_To_DB |  | 31
2024-11-10 09:18:05.07 | Guillaume | APP_v5.D.1.xlsb | modGL_Posting:GL_Posting_To_DB | 1,7109 sec. | 31

2024-11-10 09:18:05.28 | Guillaume | APP_v5.D.1.xlsb | modGL_Posting:GL_Posting_Locally |  | 31
2024-11-10 09:18:05.74 | Guillaume | APP_v5.D.1.xlsb | modGL_Posting:GL_Posting_Locally | 0,5938 sec. | 31

2024-11-10 09:18:05.95 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_GL_Posting_Preparation | 2,7930 sec. | 31

2024-11-10 09:18:09.23 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells |  | 31
2024-11-10 09:18:09.45 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_Clear_All_Cells | 0,3438 sec. | 31

2024-11-10 09:18:09.65 | Guillaume | APP_v5.D.1.xlsb | modDEB_Saisie:DEB_Saisie_Update | 9,3242 sec. | 31

2024-11-10 09:18:11.73 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate |  | 31
2024-11-10 09:18:11.94 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All |  | 31
2024-11-10 09:18:13.25 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All | 1,4297 sec. | 31

2024-11-10 09:18:13.48 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All |  | 31
2024-11-10 09:18:14.51 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary |  | 31
2024-11-10 09:18:14.77 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary | 0,3633 sec. | 31

2024-11-10 09:18:15.01 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All | 1,6562 sec. | 31

2024-11-10 09:18:15.20 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells |  | 31
2024-11-10 09:18:15.43 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells | 0,3555 sec. | 31

2024-11-10 09:18:15.65 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ) |  | 31
2024-11-10 09:18:15.87 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,3398 sec. | 31

2024-11-10 09:18:16.07 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 10 parsedDate='10/11/24' |  | 31
2024-11-10 09:18:16.29 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate | 4,6758 sec. | 31

2024-11-10 09:32:47.31 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate |  | 31
2024-11-10 09:32:47.52 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All |  | 31
2024-11-10 09:32:48.80 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_Trans_Import_All | 1,4180 sec. | 31

2024-11-10 09:32:49.02 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All |  | 31
2024-11-10 09:32:49.91 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary |  | 31
2024-11-10 09:32:50.15 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:GL_EJ_Auto_Build_Summary | 0,3555 sec. | 31

2024-11-10 09:32:50.40 | Guillaume | APP_v5.D.1.xlsb | modImport:GL_EJ_Auto_Import_All | 1,5156 sec. | 31

2024-11-10 09:32:50.61 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells |  | 31
2024-11-10 09:32:50.82 | Guillaume | APP_v5.D.1.xlsb | modGL_EJ:wshGL_EJ_Clear_All_Cells | 0,3477 sec. | 31

2024-11-10 09:32:51.04 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder(wshGL_EJ) |  | 31
2024-11-10 09:32:51.27 | Guillaume | APP_v5.D.1.xlsb | modDev_Utils:SetTabOrder | 0,3789 sec. | 31

2024-11-10 09:32:51.50 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 10 parsedDate='10/11/24' |  | 31
2024-11-10 09:32:51.70 | Guillaume | APP_v5.D.1.xlsb | wshGL_EJ:Worksheet_Activate | 4,5195 sec. | 31

2024-11-10 09:38:56.20 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-10 09:38:56.46 | Guillaume | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,3789 sec. | 31

2024-11-10 09:38:57.83 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate |  | 31
2024-11-10 09:38:58.03 | Guillaume | APP_v5.D.1.xlsb | modImport:Client_List_Import_All |  | 31
2024-11-10 09:38:59.13 | Guillaume | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-10 09:38:59.43 | Guillaume | APP_v5.D.1.xlsb |      modImport:Client_List_Import_All - La mise en forme a été appliquée |  | 31
2024-11-10 09:38:59.70 | Guillaume | APP_v5.D.1.xlsb | modImport:Client_List_Import_All | 1,8164 sec. | 31

2024-11-10 09:38:59.92 | Guillaume | APP_v5.D.1.xlsb | modImport:TEC_Import_All |  | 31
2024-11-10 09:39:01.23 | Guillaume | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - Le .CopyFromRecordSet est complétée |  | 31
2024-11-10 09:39:01.65 | Guillaume | APP_v5.D.1.xlsb |      modImport:TEC_Import_All - La mise en forme a été appliquée |  | 31
2024-11-10 09:39:01.93 | Guillaume | APP_v5.D.1.xlsb | modImport:TEC_Import_All | 2,1484 sec. | 31

2024-11-10 09:39:02.18 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Activate | 4,4805 sec. | 31

2024-11-10 09:39:04.14 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 31
2024-11-10 09:39:04.36 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate | 0,3398 sec. | 31

2024-11-10 09:39:04.92 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 31
2024-11-10 09:39:05.17 | Guillaume | APP_v5.D.1.xlsb | modFunctions:Fn_Complete_Date @00608   y = 2024   m = 11   d = 10 parsedDate='10/11/24' |  | 31
2024-11-10 09:39:05.39 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_BeforeUpdate | 0,6211 sec. | 31

2024-11-10 09:39:05.61 | Guillaume | APP_v5.D.1.xlsb | ufSaisieHeures:txtDate_AfterUpdate - 10/11/24 |  | 31
2024-11-10 09:39:05.81 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/10/11/24 |  | 31
2024-11-10 09:39:06.11 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,4180 sec. | 31

2024-11-10 09:39:06.30 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-11-10 09:39:06.52 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-11-10 09:39:06.72 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-11-10 09:39:07.19 | Guillaume | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,6016 sec. | 31

