2024-11-25 08:45:15.73 | User                | APP_v5.D.1.xlsb | ADD    2565 | ML | 2024-11-22 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | Correction de fichiers Word avec Vladimir | 0,75 | VRAI |  | 31
2024-11-25 14:02:38.27 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2570 | VG | 2024-11-25 | 1193 | Solstice CNC Inc. [Alexandre Desmarais] | Suvii des courriel + révision documentaton légale + revoir mémo + conversation avocate + courriel Guillaume | 1,80 | VRAI |  | 31
2024-11-25 14:40:58.97 | vgervais            | APP_v5.D.1.xlsb | ADD    2573 | VG | 2024-11-25 | 156 | Laurent Harvey, CPA Inc. | Répondre question courriel de Michel Soins Plus | 0,20 | VRAI |  | 31
2024-11-25 14:42:03.79 | vgervais            | APP_v5.D.1.xlsb | ADD    2574 | VG | 2024-11-25 | 1798 | Mylène Lapierre CPA Inc. | Suivi avec Michel pour fusion (courriel) | 0,20 | VRAI |  | 31
2024-11-25 16:02:55.93 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2571 | VG | 2024-11-25 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | Discussion + suivis courriel à Me Drapeau + révision documentation légale + convos téléphonique avec ME Drapeau | 2,40 | VRAI |  | 31
2024-11-25 17:03:32.97 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2573 | VG | 2024-11-25 | 156 | Laurent Harvey, CPA Inc. | Répondre question courriel de Michel Soins Plus + révision du dossier  | 1,30 | VRAI |  | 31
2024-11-25 17:08:23.86 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2571 | VG | 2024-11-25 | 1775 | 9513-1926 Québec Inc. [Francis Desgagnés] | Discussion + suivis courriel à Me Drapeau + révision documentation légale + convos téléphonique avec ME Drapeau + courriel à Michel pou roulement | 2,60 | VRAI |  | 31
2024-11-25 17:24:18.47 | vgervais            | APP_v5.D.1.xlsb | ADD    2575 | VG | 2024-11-25 | 1669 | Ventilabec Inc. [Lora Stoycheva] | Révision de la documentation légale | 1,20 | VRAI |  | 31
2024-11-25 17:24:38.19 | vgervais            | APP_v5.D.1.xlsb | UPDATE 2569 | VG | 2024-11-25 | 5 | z_Administratif_Autres non chargeables | Suivis planning + autres documents + suivis de dossier Michel + formation Michel  | 1,20 | FAUX |  | 31
2024-11-25 17:37:06.39 | vgervais            | APP_v5.D.1.xlsb | ADD    2576 | VG | 2024-11-25 | 1739 | Groupe Coalitech Inc. [Techvac Équipement] | Révision de l'organigramme fait par Michel | 0,70 | VRAI |  | 31
2024-11-25 18:13:03.70 | Annie               | APP_v5.D.1.xlsb | ADD    2577 | AR | 2024-11-25 | 2040 | 2960-4105 Québec Inc. [Mini Excavation MB] | Paies | 0.25 | VRAI |  | 31
2024-11-25 18:13:29.50 | Annie               | APP_v5.D.1.xlsb | ADD    2578 | AR | 2024-11-25 | 2038 | 9471-5117 Québec Inc. [Sébastien Beaudoin] | Paie et DAS de novembre | 0.25 | VRAI |  | 31
2024-11-25 18:14:05.28 | Annie               | APP_v5.D.1.xlsb | ADD    2579 | AR | 2024-11-25 | 5 | z_Administratif_Autres non chargeables | Révision des messages Outlook (ménage) | 0.25 | FAUX |  | 31
2024-11-25 18:14:22.53 | Annie               | APP_v5.D.1.xlsb | ADD    2580 | AR | 2024-11-25 | 2000 | Peinture Ex Aequo Inc. [Gabriel Léger] | Fichier Excellence | 2.00 | VRAI |  | 31
2024-11-25 18:14:36.71 | Annie               | APP_v5.D.1.xlsb | UPDATE 2580 | AR | 2024-11-25 | 2000 | Peinture Ex Aequo Inc. [Gabriel Léger] | Fichier Excellence | 2.25 | VRAI |  | 31
