2025-01-13 12:16:33.97 | vgervais | APP_v5.M.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-13 12:16:43.59 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-13 12:16:43.63 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-13 12:16:43.66 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-13 12:16:43.79 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1328 secondes'

2025-01-13 12:16:43.85 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-13 12:16:43.00 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1562 secondes'

2025-01-13 12:16:44.05 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4336 secondes'

2025-01-13 12:16:44.09 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-13 12:16:44.29 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2031 secondes'

2025-01-13 12:16:44.32 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables
2025-01-13 12:16:44.39 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables *** = '0,0664 secondes'

2025-01-13 12:16:44.43 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8438 secondes'

2025-01-13 12:16:44.50 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/13-01-2025 *** = '0,9609 secondes'

2025-01-13 12:16:44.54 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,1602 secondes'

2025-01-13 12:16:49.83 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[au]
2025-01-13 12:16:49.88 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - au
2025-01-13 12:16:49.91 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 498 *** = '0,0430 secondes'

2025-01-13 12:16:49.95 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1289 secondes'

2025-01-13 12:16:50.03 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2025-01-13 12:16:50.10 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2025-01-13 12:16:50.14 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 *** = '0,0430 secondes'

2025-01-13 12:16:50.18 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lstboxNomClient_DblClick *** = '0,1523 secondes'

2025-01-13 12:16:50.22 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2025-01-13 12:16:50.26 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2025-01-13 12:16:50.30 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 *** = '0,0469 secondes'

2025-01-13 12:16:50.35 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1289 secondes'

2025-01-13 12:17:20.35 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Rencontrew Guillaume Déplacement + réflexion ]
2025-01-13 12:17:20.41 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0625 secondes'

2025-01-13 12:17:24.85 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[5.2]
2025-01-13 12:17:24.89 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0547 secondes'

2025-01-13 12:17:24.94 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_Exit[5,20]
2025-01-13 12:17:24.98 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0469 secondes'

2025-01-13 12:17:25.02 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate
2025-01-13 12:17:25.06 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate *** = '0,0469 secondes'

2025-01-13 12:17:26.01 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmdAdd_Click
2025-01-13 12:17:26.07 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-01-13 12:17:26.11 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-01-13 12:17:26.81 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,7070 secondes'

2025-01-13 12:17:26.85 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-01-13 12:17:26.92 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,0742 secondes'

2025-01-13 12:17:26.96 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-01-13
2025-01-13 12:17:27.04 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0781 secondes'

2025-01-13 12:17:27.09 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-13
2025-01-13 12:17:27.16 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-13 12:17:27.21 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-13 12:17:27.25 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-13 12:17:27.37 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1250 secondes'

2025-01-13 12:17:27.41 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-13 12:17:27.55 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1406 secondes'

2025-01-13 12:17:27.59 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3828 secondes'

2025-01-13 12:17:27.63 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-13 12:17:27.80 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1836 secondes'

2025-01-13 12:17:27.84 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables
2025-01-13 12:17:27.91 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables *** = '0,0742 secondes'

2025-01-13 12:17:27.95 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,8008 secondes'

2025-01-13 12:17:28.03 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-01-13 *** = '0,9609 secondes'

2025-01-13 12:17:28.08 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne *** = '2,0195 secondes'

2025-01-13 12:17:28.12 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmdAdd_Click *** = '2,1133 secondes'

2025-01-13 12:46:29.49 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lsbHresJour_dblClick[-1]
2025-01-13 12:46:34.16 | vgervais | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click
2025-01-13 12:46:34.23 | vgervais | APP_v5.M.xlsb | modMENU_TEC:SaisieHeures_Click *** = '0,0703 secondes'

2025-01-13 12:46:34.27 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate
2025-01-13 12:46:34.31 | vgervais | APP_v5.M.xlsb | modImport:Client_List_Import_All
2025-01-13 12:46:34.64 | vgervais | APP_v5.M.xlsb | modImport:ResizeTable
2025-01-13 12:46:34.68 | vgervais | APP_v5.M.xlsb | modImport:ResizeTable *** = '0,0430 secondes'

2025-01-13 12:46:34.72 | vgervais | APP_v5.M.xlsb | modImport:ApplyFormatting
2025-01-13 12:46:34.77 | vgervais | APP_v5.M.xlsb | modImport:ApplyFormatting *** = '0,0508 secondes'

2025-01-13 12:46:34.86 | vgervais | APP_v5.M.xlsb | modImport:Client_List_Import_All *** = '0,5547 secondes'

2025-01-13 12:46:34.89 | vgervais | APP_v5.M.xlsb | modImport:TEC_Import_All
2025-01-13 12:46:35.37 | vgervais | APP_v5.M.xlsb | modImport:TEC_Import_All *** = '0,4844 secondes'

2025-01-13 12:46:35.42 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:UserForm_Activate *** = '1,1523 secondes'

2025-01-13 12:46:37.07 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2025-01-13 12:46:37.11 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate *** = '0,0469 secondes'

2025-01-13 12:46:37.74 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2025-01-13 12:46:37.79 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date(13-01-2025, 600, 15)
2025-01-13 12:46:37.83 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Complete_Date *** = '0,0469 secondes'

2025-01-13 12:46:37.87 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_BeforeUpdate *** = '0,1406 secondes'

2025-01-13 12:46:37.91 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2025-01-13 12:46:37.95 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/13-01-2025
2025-01-13 12:46:38.02 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0781 secondes'

2025-01-13 12:46:38.06 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/13-01-2025
2025-01-13 12:46:38.11 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-13 12:46:38.16 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-13 12:46:38.20 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-13 12:46:38.30 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1016 secondes'

2025-01-13 12:46:38.34 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-13 12:46:38.48 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1406 secondes'

2025-01-13 12:46:38.52 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3633 secondes'

2025-01-13 12:46:38.55 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-13 12:46:38.71 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1641 secondes'

2025-01-13 12:46:38.75 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables
2025-01-13 12:46:38.82 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables *** = '0,0742 secondes'

2025-01-13 12:46:38.86 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,7617 secondes'

2025-01-13 12:46:38.93 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/13-01-2025 *** = '0,8789 secondes'

2025-01-13 12:46:38.98 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtDate_AfterUpdate *** = '1,0703 secondes'

2025-01-13 12:46:41.84 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lsbHresJour_dblClick[0]
2025-01-13 12:46:41.89 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-01-13 12:46:41.94 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3374
2025-01-13 12:46:41.98 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,0938 secondes'

2025-01-13 12:46:42.05 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3375] *** = '0,2070 secondes'

2025-01-13 12:46:42.77 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[z_Administratif_Autres non chargeables]
2025-01-13 12:46:42.82 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2025-01-13 12:46:42.86 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 *** = '0,0430 secondes'

2025-01-13 12:46:42.90 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1484 secondes'

2025-01-13 12:46:44.80 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Rencontrew Guillaume Déplacement + réflexion +]
2025-01-13 12:46:44.84 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0508 secondes'

2025-01-13 12:46:47.03 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_Exit[5,20]
2025-01-13 12:46:47.07 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0469 secondes'

2025-01-13 12:47:09.63 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Rencontrew Guillaume Déplacement + réflexion + Discussion téléphonique avec Guillaume]
2025-01-13 12:47:09.69 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0625 secondes'

2025-01-13 12:47:11.89 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[5,5]
2025-01-13 12:47:11.94 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0508 secondes'

2025-01-13 12:47:11.98 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_Exit[5,50]
2025-01-13 12:47:12.02 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0430 secondes'

2025-01-13 12:47:13.59 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmdUpdate_Click[3375]
2025-01-13 12:47:13.63 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2025-01-13 12:47:13.67 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - z_Administratif_Autres non chargeables
2025-01-13 12:47:13.71 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 5 *** = '0,0430 secondes'

2025-01-13 12:47:13.75 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(3375)
2025-01-13 12:47:14.41 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 3375 *** = '0,6719 secondes'

2025-01-13 12:47:14.45 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(3375)
2025-01-13 12:47:14.49 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Find_Row_Number_TECID
2025-01-13 12:47:14.55 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Find_Row_Number_TECID - Row # = 3374
2025-01-13 12:47:14.59 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_Find_Row_Number_TECID *** = '0,0977 secondes'

2025-01-13 12:47:14.64 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 3375 *** = '0,1953 secondes'

2025-01-13 12:47:14.69 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/13-01-2025
2025-01-13 12:47:14.77 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,0898 secondes'

2025-01-13 12:47:14.82 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/13-01-2025
2025-01-13 12:47:14.86 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-01-13 12:47:14.90 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-13 12:47:14.94 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-13 12:47:15.04 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1055 secondes'

2025-01-13 12:47:15.09 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-13 12:47:15.22 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1406 secondes'

2025-01-13 12:47:15.26 | vgervais | APP_v5.M.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3633 secondes'

2025-01-13 12:47:15.30 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-13 12:47:15.46 | vgervais | APP_v5.M.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,1641 secondes'

2025-01-13 12:47:15.50 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables
2025-01-13 12:47:15.56 | vgervais | APP_v5.M.xlsb | modAppli:UpdatePivotTables *** = '0,0938 secondes'

2025-01-13 12:47:15.63 | vgervais | APP_v5.M.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,7695 secondes'

2025-01-13 12:47:15.70 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/13-01-2025 *** = '0,8867 secondes'

2025-01-13 12:47:15.74 | vgervais | APP_v5.M.xlsb | modTEC_Saisie:TEC_Modifie_Ligne *** = '2,1133 secondes'

2025-01-13 12:47:15.78 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:cmdUpdate_Click *** = '2,1992 secondes'

2025-01-13 12:47:28.93 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[lauren]
2025-01-13 12:47:28.98 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - lauren
2025-01-13 12:47:29.03 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 156 *** = '0,0469 secondes'

2025-01-13 12:47:29.07 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1445 secondes'

2025-01-13 12:47:29.13 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2025-01-13 12:47:29.20 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - Laurent Harvey, CPA Inc.
2025-01-13 12:47:29.24 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 156 *** = '0,0469 secondes'

2025-01-13 12:47:29.29 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lstboxNomClient_DblClick *** = '0,1562 secondes'

2025-01-13 12:47:29.33 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Laurent Harvey, CPA Inc.]
2025-01-13 12:47:29.37 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - Laurent Harvey, CPA Inc.
2025-01-13 12:47:29.41 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 156 *** = '0,0430 secondes'

2025-01-13 12:47:29.45 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1289 secondes'

2025-01-13 12:47:35.50 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[9307]
2025-01-13 12:47:35.56 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9307
2025-01-13 12:47:35.60 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1388 *** = '0,0469 secondes'

2025-01-13 12:47:35.64 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1484 secondes'

2025-01-13 12:47:35.69 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2025-01-13 12:47:35.76 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9307-2411 Québec Inc. [Capitaine Vap]
2025-01-13 12:47:35.80 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1388 *** = '0,0469 secondes'

2025-01-13 12:47:35.85 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:lstboxNomClient_DblClick *** = '0,1680 secondes'

2025-01-13 12:47:35.89 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate[9307-2411 Québec Inc. [Capitaine Vap]]
2025-01-13 12:47:35.93 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9307-2411 Québec Inc. [Capitaine Vap]
2025-01-13 12:47:35.98 | vgervais | APP_v5.M.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1388 *** = '0,0508 secondes'

2025-01-13 12:47:36.02 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,1328 secondes'

2025-01-13 12:47:43.55 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Discussion avec Laurent]
2025-01-13 12:47:43.60 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0586 secondes'

2025-01-13 12:47:50.31 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.3]
2025-01-13 12:47:50.36 | vgervais | APP_v5.M.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0508 secondes'

