2025-02-13 05:49:38.89 | GuillaumeCharron | APP_v5.P.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-13 05:49:47.97 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 05:49:48.02 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0547 secondes

2025-02-13 05:49:48.04 | GuillaumeCharron | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,5664 secondes

2025-02-13 05:49:48.08 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/13/02/25 | 0,6387 secondes

2025-02-13 05:49:48.10 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,7852 secondes

2025-02-13 05:49:52.52 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 9280-2206 Québec Inc [Sébastien Kfoury] Hopital vétérinaire Rive-sud | 
2025-02-13 05:49:52.55 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0254 secondes

2025-02-13 05:49:52.66 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 9280-2206 Québec Inc [Sébastien Kfoury] | 
2025-02-13 05:49:52.68 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0215 secondes

2025-02-13 05:50:01.77 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | finaliser organigramme de Sébastien | 
2025-02-13 05:50:01.80 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0273 secondes

2025-02-13 05:50:05.23 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 1. | 
2025-02-13 05:50:05.25 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0293 secondes

2025-02-13 05:50:05.27 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 1,00 | 
2025-02-13 05:50:05.29 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0234 secondes

2025-02-13 05:50:06.86 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-13 05:50:06.88 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-13 05:50:06.90 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 9280-2206 Québec Inc [Sébastien Kfoury] | 
2025-02-13 05:50:06.92 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0215 secondes

2025-02-13 05:50:06.94 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-13 05:50:07.79 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,8496 secondes

2025-02-13 05:50:07.81 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-13 05:50:07.88 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,0742 secondes

2025-02-13 05:50:07.90 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/2025-02-13 | 
2025-02-13 05:50:07.98 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0918 secondes

2025-02-13 05:50:08.00 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-13 | 
2025-02-13 05:50:08.04 | GuillaumeCharron | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 05:50:08.06 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 05:50:08.08 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 05:50:08.22 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1367 secondes

2025-02-13 05:50:08.24 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 05:50:08.34 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0957 secondes

2025-02-13 05:50:08.36 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,2930 secondes

2025-02-13 05:50:08.37 | GuillaumeCharron | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-13 05:50:08.50 | GuillaumeCharron | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1309 secondes

2025-02-13 05:50:08.52 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 05:50:08.57 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0508 secondes

2025-02-13 05:50:08.59 | GuillaumeCharron | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,5488 secondes

2025-02-13 05:50:08.64 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-13 | 0,6387 secondes

2025-02-13 05:50:08.66 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 1,7812 secondes

2025-02-13 05:50:08.68 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 1,8223 secondes

2025-02-13 06:25:36.41 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | R.I. Résidence de Bellechasse Inc. [Sylvie Rocheleau] | 
2025-02-13 06:25:36.45 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0430 secondes

2025-02-13 06:25:36.79 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | R.I. Résidence de Bellechasse Inc. [Sylvie Rocheleau] | 
2025-02-13 06:25:36.82 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0273 secondes

2025-02-13 06:26:09.86 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | analyse des EF et T2 de 9518 et commentaires + ménage au dossier pour débuter la réorg | 
2025-02-13 06:26:09.89 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0371 secondes

2025-02-13 06:26:12.67 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 1.5 | 
2025-02-13 06:26:12.70 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0371 secondes

2025-02-13 06:26:12.73 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 1,50 | 
2025-02-13 06:26:12.75 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit |  | 0,0273 secondes

2025-02-13 06:26:13.79 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 
2025-02-13 06:26:13.82 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 
2025-02-13 06:26:13.84 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | R.I. Résidence de Bellechasse Inc. [Sylvie Rocheleau] | 
2025-02-13 06:26:13.87 | GuillaumeCharron | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0273 secondes

2025-02-13 06:26:13.89 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 
2025-02-13 06:26:14.72 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0 | 0,8379 secondes

2025-02-13 06:26:14.74 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 
2025-02-13 06:26:14.88 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0 | 0,1367 secondes

2025-02-13 06:26:14.90 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 1/2025-02-13 | 
2025-02-13 06:26:15.06 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,1602 secondes

2025-02-13 06:26:15.08 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-13 | 
2025-02-13 06:26:15.12 | GuillaumeCharron | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 06:26:15.13 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 06:26:15.15 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 06:26:15.32 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1660 secondes

2025-02-13 06:26:15.34 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 06:26:15.45 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1035 secondes

2025-02-13 06:26:15.47 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3340 secondes

2025-02-13 06:26:15.49 | GuillaumeCharron | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-13 06:26:15.67 | GuillaumeCharron | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1895 secondes

2025-02-13 06:26:15.69 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 06:26:15.75 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0566 secondes

2025-02-13 06:26:15.77 | GuillaumeCharron | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6562 secondes

2025-02-13 06:26:15.84 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 1/2025-02-13 | 0,7656 secondes

2025-02-13 06:26:15.86 | GuillaumeCharron | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 2,0449 secondes

2025-02-13 06:26:15.88 | GuillaumeCharron | APP_v5.P.3.xlsb | ufSaisieHeures:cmdAdd_Click |  | 2,0918 secondes

2025-02-13 07:12:35.55 | vgervais | APP_v5.P.3.xlsb | ----- Début d'une nouvelle session (modAppli:CodeEssentielDepart) ----- |  | 
2025-02-13 07:12:35.60 | vgervais | APP_v5.P.3.xlsb | Validation d'accès serveur terminée |  | 0,0039 secondes

2025-02-13 07:12:35.64 | vgervais | APP_v5.P.3.xlsb | modAppli:CreateUserActiveFile |  | 
2025-02-13 07:12:35.71 | vgervais | APP_v5.P.3.xlsb | modAppli:CreateUserActiveFile |  | 0,0762 secondes

2025-02-13 07:12:35.74 | vgervais | APP_v5.P.3.xlsb | modAppli:SetupUserDateFormat |  | 
2025-02-13 07:12:35.78 | vgervais | APP_v5.P.3.xlsb | modAppli:SetupUserDateFormat |  | 0,0410 secondes

2025-02-13 07:12:35.81 | vgervais | APP_v5.P.3.xlsb | modAppli:BackupMasterFile |  | 
2025-02-13 07:12:36.15 | vgervais | APP_v5.P.3.xlsb | modAppli:BackupMasterFile |  | 0,3379 secondes

2025-02-13 07:12:36.19 | vgervais | APP_v5.P.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 
2025-02-13 07:12:36.24 | vgervais | APP_v5.P.3.xlsb | modAppli:WriteInfoOnMainMenu |  | 0,0547 secondes

2025-02-13 07:12:36.28 | vgervais | APP_v5.P.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 
2025-02-13 07:12:36.31 | vgervais | APP_v5.P.3.xlsb | modMenu:HideDevShapesBasedOnUsername |  | 0,0410 secondes

2025-02-13 07:12:36.39 | vgervais | APP_v5.P.3.xlsb | modAppli:CodeEssentielDepart |  | 0,8398 secondes

2025-02-13 07:12:37.16 | vgervais | APP_v5.P.3.xlsb | modMenu:menuTEC_Click |  | 
2025-02-13 07:12:37.21 | vgervais | APP_v5.P.3.xlsb | modMenu:menuTEC_Click |  | 0,0527 secondes

2025-02-13 07:12:37.77 | vgervais | APP_v5.P.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 
2025-02-13 07:12:37.83 | vgervais | APP_v5.P.3.xlsb | modMENU_TEC:SaisieHeures_Click |  | 0,0801 secondes

2025-02-13 07:12:37.88 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 
2025-02-13 07:12:37.92 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 
2025-02-13 07:12:38.24 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 
2025-02-13 07:12:38.28 | vgervais | APP_v5.P.3.xlsb | modImport:ResizeTable |  | 0,0449 secondes

2025-02-13 07:12:38.32 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 
2025-02-13 07:12:38.36 | vgervais | APP_v5.P.3.xlsb | modImport:ApplyFormatting |  | 0,0430 secondes

2025-02-13 07:12:38.45 | vgervais | APP_v5.P.3.xlsb | modImport:Client_List_Import_All |  | 0,5293 secondes

2025-02-13 07:12:38.48 | vgervais | APP_v5.P.3.xlsb | modImport:TEC_Import_All |  | 
2025-02-13 07:12:38.93 | vgervais | APP_v5.P.3.xlsb | modImport:TEC_Import_All |  | 0,4531 secondes

2025-02-13 07:12:38.98 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:UserForm_Activate |  | 1,0996 secondes

2025-02-13 07:12:40.46 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 
2025-02-13 07:12:40.49 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate |  | 0,0391 secondes

2025-02-13 07:12:45.52 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 
2025-02-13 07:12:45.55 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Complete_Date | 2025-02-12, 600, 15 | 
2025-02-13 07:12:45.59 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Complete_Date |  | 0,0391 secondes

2025-02-13 07:12:45.63 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate |  | 0,1172 secondes

2025-02-13 07:12:45.66 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 
2025-02-13 07:12:45.70 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 2/02-12-2025 | 
2025-02-13 07:12:45.78 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF |  | 0,0820 secondes

2025-02-13 07:12:45.81 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/02-12-2025 | 
2025-02-13 07:12:45.86 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change | $U$7 | 
2025-02-13 07:12:45.89 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-02-13 07:12:45.93 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-02-13 07:12:46.06 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,1406 secondes

2025-02-13 07:12:46.10 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-02-13 07:12:46.19 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,0898 secondes

2025-02-13 07:12:46.23 | vgervais | APP_v5.P.3.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,3418 secondes

2025-02-13 07:12:46.26 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 
2025-02-13 07:12:46.41 | vgervais | APP_v5.P.3.xlsb | modStatsHeures:Stats_Heures_AF |  | 0,1484 secondes

2025-02-13 07:12:46.44 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 
2025-02-13 07:12:46.50 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:UpdatePivotTables |  | 0,0625 secondes

2025-02-13 07:12:46.54 | vgervais | APP_v5.P.3.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,6855 secondes

2025-02-13 07:12:46.62 | vgervais | APP_v5.P.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 2/02-12-2025 | 0,8086 secondes

2025-02-13 07:12:46.65 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate |  | 0,9980 secondes

2025-02-13 07:12:50.12 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | autre | 
2025-02-13 07:12:50.16 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0527 secondes

2025-02-13 07:12:50.28 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 
2025-02-13 07:12:50.34 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-13 07:12:50.38 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0430 secondes

2025-02-13 07:12:50.42 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | 5 | 
2025-02-13 07:12:50.45 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0371 secondes

2025-02-13 07:12:50.50 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 0,2363 secondes

2025-02-13 07:12:50.55 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client | z_Administratif_Autres non chargeables | 
2025-02-13 07:12:50.59 | vgervais | APP_v5.P.3.xlsb | modFunctions:Fn_Cell_From_BD_Client |  | 0,0430 secondes

2025-02-13 07:12:50.62 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate | z_Administratif_Autres non chargeables | 
2025-02-13 07:12:50.66 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate |  | 0,0410 secondes

2025-02-13 07:17:12.50 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | Planning + suvis dossier + discussion Olivier (répondre question sur les assurances maladies + salaires | 
2025-02-13 07:17:12.55 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 0,0605 secondes

2025-02-13 07:17:16.86 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 1.7 | 
2025-02-13 07:17:16.90 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 0,0449 secondes

2025-02-13 07:17:16.94 | vgervais | APP_v5.P.3.xlsb | ufSaisieHeures:txtHeures_Exit | 1,70 | 
